V,gm [S] Indo,gm [S] Voltando
-0.6,,
-0.58,-3.0489999999999988e-05,
-0.56,-2.925750000000015e-05,
-0.54,-2.8294999999999904e-05,
-0.52,-2.7523999999999908e-05,
-0.5,-2.679650000000011e-05,
-0.48,-2.611425000000002e-05,
-0.46,-2.5574999999999903e-05,
-0.44,-2.4964250000000018e-05,
-0.42,-2.431249999999992e-05,
-0.4,-2.373000000000002e-05,
-0.38,-2.313849999999992e-05,
-0.36,-2.2446499999999976e-05,
-0.34,-2.1740750000000058e-05,
-0.32,-2.1014250000000003e-05,
-0.3,-2.0276750000000046e-05,
-0.28,-1.9615750000000047e-05,
-0.26,-1.8879999999999982e-05,
-0.24,-1.8065999999999905e-05,
-0.22,-1.7268250000000002e-05,
-0.2,-1.6449999999999993e-05,
-0.18,-1.5519250000000002e-05,
-0.16,-1.4592500000000074e-05,
-0.14,-1.3645750000000048e-05,
-0.12,-1.2656500000000003e-05,
-0.1,-1.1700749999999998e-05,
-0.08,-1.0780000000000002e-05,
-0.06,-9.879249999999995e-06,
-0.04,-8.66925000000008e-06,
-0.02,-7.4817500000000305e-06,
0.0,-6.443249999999996e-06,
0.02,-5.424000000000021e-06,
0.04,-4.4667499999999924e-06,
0.06,-3.5409999999999717e-06,
0.08,-2.665749999999987e-06,
0.1,-1.807499999999945e-06,
0.12,-1.016750000000044e-06,
0.14,-2.507500000000179e-07,
0.16,4.567500000000088e-07,
0.18,1.1407499999999907e-06,
0.2,1.734999999999996e-06,
0.22,2.3360000000000264e-06,
0.24,2.875749999999987e-06,
0.26,3.32399999999997e-06,
0.28,3.885749999999952e-06,
0.3,4.388500000000034e-06,
0.32,4.801750000000009e-06,
0.34,5.224999999999978e-06,
0.36,5.650000000000002e-06,
0.38,6.0665e-06,
0.4,6.425000000000061e-06,
0.42,6.74924999999999e-06,
0.44,7.144249999999975e-06,
0.46,7.42575000000007e-06,
0.48,7.628250000000006e-06,
0.5,7.830999999999973e-06,
0.52,7.862499999999981e-06,
0.54,7.793250000000002e-06,
0.56,7.757500000000063e-06,
0.58,7.570749999999968e-06,
0.6,,
0.58,,1.0926499999999977e-05
0.56,,1.0083250000000063e-05
0.54,,9.498499999999936e-06
0.52,,9.108249999999945e-06
0.5,,8.806499999999991e-06
0.48,,8.511e-06
0.46,,8.28175000000005e-06
0.44,,8.058999999999985e-06
0.42,,7.773249999999958e-06
0.4,,7.486000000000016e-06
0.38,,7.16674999999995e-06
0.36,,6.890749999999995e-06
0.34,,6.604999999999968e-06
0.32,,6.220750000000017e-06
0.3,,5.865000000000026e-06
0.28,,5.440000000000002e-06
0.26,,4.936749999999966e-06
0.24,,4.4817499999999576e-06
0.22,,3.825000000000052e-06
0.2,,3.1467500000000254e-06
0.18,,2.4614999999999425e-06
0.16,,1.5757500000000094e-06
0.14,,6.167500000000886e-07
0.12,,-4.250000000000239e-07
0.1,,-1.5767500000000252e-06
0.08,,-2.819250000000073e-06
0.06,,-4.089999999999996e-06
0.04,,-5.373249999999954e-06
0.02,,-6.714000000000004e-06
0.0,,-8.133249999999989e-06
-0.02,,-9.5335e-06
-0.04,,-1.0901750000000049e-05
-0.06,,-1.218650000000003e-05
-0.08,,-1.3496749999999979e-05
-0.1,,-1.481000000000003e-05
-0.12,,-1.597650000000002e-05
-0.14,,-1.7111749999999977e-05
-0.16,,-1.812249999999998e-05
-0.18,,-1.9144999999999926e-05
-0.2,,-2.015600000000007e-05
-0.22,,-2.1002500000000062e-05
-0.24,,-2.184649999999996e-05
-0.26,,-2.267574999999998e-05
-0.28,,-2.334924999999996e-05
-0.3,,-2.3976000000000043e-05
-0.32,,-2.4595749999999962e-05
-0.34,,-2.5088250000000073e-05
-0.36,,-2.545100000000001e-05
-0.38,,-2.5795749999999937e-05
-0.4,,-2.603574999999992e-05
-0.42,,-2.619675000000007e-05
-0.44,,-2.6313250000000008e-05
-0.46,,-2.6177499999999903e-05
-0.48,,-2.5880000000000044e-05
-0.5,,-2.5564249999999924e-05
-0.52,,-2.5107500000000078e-05
-0.54,,-2.4397499999999957e-05
-0.56,,-2.3835000000000045e-05
-0.58,,-2.3288250000000083e-05
-0.6,,-2.2908499999999965e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
