V,gm [S] Indo,gm [S] Voltando
-0.6,,
-0.58,-3.0605749999999886e-05,
-0.56,-2.8805000000000128e-05,
-0.54,-2.7508499999999935e-05,
-0.52,-2.6536499999999918e-05,
-0.5,-2.578900000000002e-05,
-0.48,-2.5033500000000105e-05,
-0.46,-2.444675000000011e-05,
-0.44,-2.3827499999999927e-05,
-0.42,-2.2969249999999994e-05,
-0.4,-2.2188250000000056e-05,
-0.38,-2.1510750000000014e-05,
-0.36,-2.088675e-05,
-0.34,-2.028425e-05,
-0.32,-1.9612499999999914e-05,
-0.3,-1.8895e-05,
-0.28,-1.8199000000000047e-05,
-0.26,-1.744499999999994e-05,
-0.24,-1.6633499999999955e-05,
-0.22,-1.5816500000000048e-05,
-0.2,-1.5016500000000028e-05,
-0.18,-1.4230999999999912e-05,
-0.16,-1.3399249999999962e-05,
-0.14,-1.2521499999999992e-05,
-0.12,-1.1638249999999936e-05,
-0.1,-1.0753500000000018e-05,
-0.08,-9.868500000000016e-06,
-0.06,-8.960750000000007e-06,
-0.04,-7.999000000000016e-06,
-0.02,-7.1042499999999956e-06,
0.0,-6.249250000000032e-06,
0.02,-5.382500000000018e-06,
0.04,-4.722499999999981e-06,
0.06,-4.110749999999971e-06,
0.08,-3.0607500000000266e-06,
0.1,-2.0592499999999786e-06,
0.12,-1.4067499999999506e-06,
0.14,-7.56499999999985e-07,
0.16,-1.4424999999996732e-07,
0.18,4.639999999999874e-07,
0.2,9.49999999999996e-07,
0.22,1.4599999999999488e-06,
0.24,2.0759999999999984e-06,
0.26,2.5535000000000358e-06,
0.28,3.0189999999999926e-06,
0.3,3.495749999999991e-06,
0.32,3.920999999999992e-06,
0.34,4.3307500000000195e-06,
0.36,4.715749999999956e-06,
0.38,5.09750000000003e-06,
0.4,5.46825000000004e-06,
0.42,5.869250000000012e-06,
0.44,6.203499999999989e-06,
0.46,6.488249999999946e-06,
0.48,6.739000000000018e-06,
0.5,6.905999999999991e-06,
0.52,7.005999999999939e-06,
0.54,6.950000000000033e-06,
0.56,6.70250000000004e-06,
0.58,6.554999999999994e-06,
0.6,,
0.58,,1.0391749999999933e-05
0.56,,9.44500000000007e-06
0.54,,9.000749999999987e-06
0.52,,8.474999999999976e-06
0.5,,7.900999999999991e-06
0.48,,7.600000000000022e-06
0.46,,7.292500000000059e-06
0.44,,6.97349999999997e-06
0.42,,6.677499999999971e-06
0.4,,6.358999999999944e-06
0.38,,5.988999999999973e-06
0.36,,5.665999999999983e-06
0.34,,5.3749999999999545e-06
0.32,,5.010750000000047e-06
0.3,,4.566749999999995e-06
0.28,,4.12250000000002e-06
0.26,,3.6750000000000216e-06
0.24,,3.1617499999999905e-06
0.22,,2.5624999999999606e-06
0.2,,1.881500000000026e-06
0.18,,1.1532499999999707e-06
0.16,,3.935000000000158e-07
0.14,,-4.882499999999627e-07
0.12,,-1.4717499999999982e-06
0.1,,-2.5282499999999906e-06
0.08,,-3.6674999999999577e-06
