V,gm [S] Indo,gm [S] Voltando
-0.6,,
-0.58,-1.6117500000001426e-06,
-0.56,-1.6600000000001162e-06,
-0.54,-1.5707499999998223e-06,
-0.52,-1.639250000000196e-06,
-0.5,-1.779250000000232e-06,
-0.48,-1.7564999999998467e-06,
-0.46,-1.7314999999997784e-06,
-0.44,-1.6950000000001252e-06,
-0.42,-1.7285000000002732e-06,
-0.4,-1.724999999999947e-06,
-0.38,-1.6407499999998403e-06,
-0.36,-1.6760000000001513e-06,
-0.34,-1.7342500000000656e-06,
-0.32,-1.5749999999999705e-06,
-0.3,-1.4999999999999823e-06,
-0.28,-1.4914999999999026e-06,
-0.26,-1.3649999999999166e-06,
-0.24,-1.336750000000041e-06,
-0.22,-1.3800000000000444e-06,
-0.2,-1.26499999999986e-06,
-0.18,-1.1907499999996938e-06,
-0.16,-1.2257499999999196e-06,
-0.14,-1.1017500000003524e-06,
-0.12,-9.299999999996811e-07,
-0.1,-9.47499999999794e-07,
-0.08,-8.949999999998889e-07,
-0.06,-7.507500000001385e-07,
-0.04,-6.817500000002447e-07,
-0.02,-4.95750000000135e-07,
0.0,-4.93249999999933e-07,
0.02,-5.999999999999062e-07,
0.04,-5.749999999998378e-07,
0.06,-3.49999999999873e-07,
0.08,-2.0849999999997607e-07,
0.1,-1.709999999997651e-07,
0.12,-1.675000000003063e-07,
0.14,-2.1824999999983143e-07,
0.16,-1.6399999999998013e-07,
0.18,-1.232500000003956e-07,
0.2,6.325000000010142e-08,
0.22,1.62500000000336e-07,
0.24,1.449999999997894e-07,
0.26,1.3824999999987285e-07,
0.28,1.057500000002827e-07,
0.3,1.6675000000026738e-07,
0.32,1.6349999999980963e-07,
0.34,1.3149999999973946e-07,
0.36,1.1075000000003617e-07,
0.38,1.4099999999994325e-07,
0.4,3.417499999998786e-07,
0.42,2.9250000000021446e-07,
0.44,2.015000000001911e-07,
0.46,2.3324999999995918e-07,
0.48,2.0999999999983705e-07,
0.5,2.2249999999997966e-07,
0.52,2.467499999997923e-07,
0.54,3.292500000001697e-07,
0.56,3.942500000004342e-07,
0.58,4.099999999997335e-07,
0.6,,
0.58,,6.042499999996207e-07
0.56,,6.575000000002152e-07
0.54,,4.782500000000221e-07
0.52,,4.2074999999992986e-07
0.5,,4.517500000000927e-07
0.48,,4.375000000002207e-07
0.46,,5.067499999997661e-07
0.44,,4.467500000001224e-07
0.42,,3.2500000000002145e-07
0.4,,3.2999999999999176e-07
0.38,,2.8825000000028307e-07
0.36,,2.6575000000019985e-07
0.34,,3.3999999999993237e-07
0.32,,4.067500000001431e-07
0.3,,2.8075000000011077e-07
0.28,,8.924999999964343e-08
0.26,,8.249999999994373e-08
0.24,,1.4325000000006e-07
0.22,,1.1600000000009172e-07
0.2,,5.0749999999958814e-08
0.18,,1.3249999999747838e-08
0.16,,-2.149999999974221e-08
0.14,,4.425000000012752e-08
0.12,,-5.600000000044805e-08
