V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,1.2805999999999755e-05,
-0.56,1.329174999999995e-05,
-0.54,1.357649999999969e-05,
-0.52,1.402749999999996e-05,
-0.5,1.4521000000000412e-05,
-0.48,1.467924999999995e-05,
-0.46,1.4808249999999704e-05,
-0.44,1.5115750000000046e-05,
-0.42,1.545325000000021e-05,
-0.4,1.5684250000000052e-05,
-0.38,1.594600000000019e-05,
-0.36,1.604399999999978e-05,
-0.34,1.6216500000000057e-05,
-0.32,1.6297499999999923e-05,
-0.3,1.5940999999999785e-05,
-0.28,1.5861749999999866e-05,
-0.26,1.580574999999985e-05,
-0.24,1.5475750000000076e-05,
-0.22,1.5056749999999876e-05,
-0.2,1.469100000000027e-05,
-0.18,1.4519999999999637e-05,
-0.16,1.407075000000018e-05,
-0.14,1.3219000000000512e-05,
-0.12,1.2666749999999324e-05,
-0.1,1.2081000000000158e-05,
-0.08,1.1504000000000288e-05,
-0.06,1.0879000000000097e-05,
-0.04,9.655999999999814e-06,
-0.02,8.544249999999955e-06,
0.0,7.713250000000206e-06,
0.02,7.1200000000002164e-06,
0.04,6.445749999999927e-06,
0.06,5.439999999999785e-06,
0.08,4.621749999999831e-06,
0.1,3.859250000000022e-06,
0.12,3.2299999999998996e-06,
0.14,2.592500000000216e-06,
0.16,1.8617500000001758e-06,
0.18,1.3265000000000152e-06,
0.2,7.675000000002125e-07,
0.22,2.3599999999981275e-07,
0.24,2.999999999999531e-07,
0.26,7.842499999996359e-07,
0.28,1.1867499999998476e-06,
0.3,1.4307499999997864e-06,
0.32,1.852500000000274e-06,
0.34,2.426749999999856e-06,
0.36,2.7800000000004037e-06,
0.38,3.0892500000002585e-06,
0.4,3.4107499999993032e-06,
0.42,3.843250000000204e-06,
0.44,4.0859999999999334e-06,
0.46,4.4399999999996526e-06,
0.48,4.838249999999933e-06,
0.5,5.002500000000215e-06,
0.52,5.137499999999847e-06,
0.54,5.2707499999999664e-06,
0.56,5.3967500000004325e-06,
0.58,5.519250000000139e-06,
0.6,,
0.58,,7.010000000000002e-06
0.56,,6.925750000000546e-06
0.54,,6.8550000000000555e-06
0.52,,6.476749999999656e-06
0.5,,6.301750000000262e-06
0.48,,6.28750000000039e-06
0.46,,5.9914999999996325e-06
0.44,,5.864999999999863e-06
0.42,,5.479250000000376e-06
0.4,,5.058250000000361e-06
0.38,,4.963250000000058e-06
0.36,,4.717499999999739e-06
0.34,,4.4125000000002496e-06
0.32,,4.27925000000013e-06
0.3,,3.9609999999998084e-06
0.28,,3.6332500000001502e-06
0.26,,3.343249999999704e-06
0.24,,2.9299999999999465e-06
0.22,,2.644250000000299e-06
0.2,,2.357499999999877e-06
0.18,,1.993250000000349e-06
0.16,,1.426750000000157e-06
0.14,,7.54999999999853e-07
0.12,,1.4325000000006e-07
0.1,,5.65000000000114e-07
0.08,,1.3489999999998815e-06
0.06,,2.1175000000000013e-06
0.04,,2.98675e-06
0.02,,3.92425000000007e-06
0.0,,4.842499999999864e-06
-0.02,,5.863250000000351e-06
-0.04,,7.110750000000315e-06
-0.06,,8.384250000000038e-06
-0.08,,9.5999999999998e-06
-0.1,,1.0728250000000081e-05
-0.12,,1.1755999999999486e-05
-0.14,,1.2934250000000338e-05
-0.16,,1.386900000000012e-05
-0.18,,1.4871499999999805e-05
-0.2,,1.591750000000001e-05
-0.22,,1.668675000000017e-05
-0.24,,1.7656750000000047e-05
-0.26,,1.825325000000006e-05
-0.28,,1.8731749999999735e-05
-0.3,,1.923925000000019e-05
-0.32,,1.9649000000000055e-05
-0.34,,2.0072500000000056e-05
-0.36,,2.039500000000031e-05
-0.38,,2.056750000000015e-05
-0.4,,2.0777499999999772e-05
-0.42,,2.0907499999999867e-05
-0.44,,2.076749999999983e-05
-0.46,,2.0559249999999724e-05
-0.48,,2.054675000000023e-05
-0.5,,2.0353250000000166e-05
-0.52,,1.9647499999999544e-05
-0.54,,1.9164999999999807e-05
-0.56,,1.8435000000000673e-05
-0.58,,1.7559999999999798e-05
-0.6,,1.7289999999999948e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
