V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,2.7331750000000052e-05,
-0.56,2.876000000000018e-05,
-0.54,2.932399999999995e-05,
-0.52,2.962000000000006e-05,
-0.5,2.9729250000000017e-05,
-0.48,2.955649999999998e-05,
-0.46,2.9606750000000094e-05,
-0.44,2.9473500000000083e-05,
-0.42,2.870150000000007e-05,
-0.4,2.799749999999999e-05,
-0.38,2.7555999999999978e-05,
-0.36,2.717399999999998e-05,
-0.34,2.6425000000000005e-05,
-0.32,2.549925000000004e-05,
-0.3,2.475400000000004e-05,
-0.28,2.3947500000000028e-05,
-0.26,2.31234999999999e-05,
-0.24,2.2192499999999934e-05,
-0.22,2.1187500000000047e-05,
-0.2,2.0152500000000014e-05,
-0.18,1.904249999999994e-05,
-0.16,1.7900749999999986e-05,
-0.14,1.6698250000000026e-05,
-0.12,1.542924999999994e-05,
-0.1,1.4217500000000024e-05,
-0.08,1.2927500000000042e-05,
-0.06,1.1580000000000021e-05,
-0.04,1.0299249999999995e-05,
-0.02,8.940750000000018e-06,
0.0,7.620000000000066e-06,
0.02,6.385999999999989e-06,
0.04,5.328999999999935e-06,
0.06,4.372499999999945e-06,
0.08,3.065000000000012e-06,
0.1,1.6989999999999172e-06,
0.12,7.19250000000022e-07,
0.14,1.5325000000005482e-07,
0.16,9.567499999999667e-07,
0.18,1.7357499999999808e-06,
0.2,2.520749999999981e-06,
0.22,3.1709999999999464e-06,
0.24,3.7924999999999743e-06,
0.26,4.414000000000002e-06,
0.28,4.94925e-06,
0.3,5.4384999999999785e-06,
0.32,5.964999999999974e-06,
0.34,6.428999999999962e-06,
0.36,6.855000000000001e-06,
0.38,7.3010000000000306e-06,
0.4,7.680749999999965e-06,
0.42,8.008999999999957e-06,
0.44,8.340750000000003e-06,
0.46,8.619999999999982e-06,
0.48,8.781750000000062e-06,
0.5,8.861000000000036e-06,
0.52,8.918249999999989e-06,
0.54,8.839999999999976e-06,
0.56,8.596750000000077e-06,
0.58,8.311500000000058e-06,
0.6,,
0.58,,8.66500000000004e-06
0.56,,8.579250000000072e-06
0.54,,8.428249999999971e-06
0.52,,8.351499999999983e-06
0.5,,8.27075000000004e-06
0.48,,8.179999999999993e-06
0.46,,8.105999999999966e-06
0.44,,7.976000000000033e-06
0.42,,7.838250000000006e-06
0.4,,7.778999999999967e-06
0.38,,7.637499999999962e-06
0.36,,7.489249999999986e-06
0.34,,7.279249999999986e-06
0.32,,7.058249999999976e-06
0.3,,6.888250000000064e-06
0.28,,6.624250000000027e-06
0.26,,6.3374999999999304e-06
0.24,,6.018249999999972e-06
0.22,,5.624999999999988e-06
