V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,9.994249999999963e-06,
-0.56,8.699000000000087e-06,
-0.54,7.833250000000035e-06,
-0.52,7.218500000000033e-06,
-0.5,6.711749999999941e-06,
-0.48,6.210750000000022e-06,
-0.46,5.832500000000002e-06,
-0.44,5.463250000000016e-06,
-0.42,5.121500000000083e-06,
-0.4,4.844249999999973e-06,
-0.38,4.540999999999996e-06,
-0.36,4.243249999999997e-06,
-0.34,3.95749999999997e-06,
-0.32,3.695000000000011e-06,
-0.3,3.3975000000000433e-06,
-0.28,3.1185000000000414e-06,
-0.26,2.885750000000036e-06,
-0.24,2.5414999999999553e-06,
-0.22,2.1992500000000146e-06,
-0.2,1.8985000000000226e-06,
-0.18,1.598999999999969e-06,
-0.16,1.2239999999999734e-06,
-0.14,8.459999999999848e-07,
-0.12,5.44249999999977e-07,
-0.1,1.7400000000002917e-07,
-0.08,1.7324999999999025e-07,
-0.06,4.52499999999969e-07,
-0.04,7.549999999999614e-07,
-0.02,1.0582499999999928e-06,
0.0,1.3350000000000406e-06,
0.02,1.5974999999999995e-06,
0.04,1.827500000000043e-06,
0.06,2.052500000000062e-06,
0.08,2.2974999999999623e-06,
0.1,2.5182499999999415e-06,
0.12,2.6542499999999145e-06,
0.14,2.850000000000042e-06,
0.16,3.140749999999985e-06,
0.18,3.5534999999999517e-06,
0.2,4.004250000000083e-06,
0.22,4.356500000000018e-06,
0.24,4.720749999999926e-06,
0.26,5.109250000000026e-06,
0.28,5.496750000000001e-06,
0.3,5.835749999999972e-06,
0.32,6.212499999999968e-06,
0.34,6.592499999999988e-06,
0.36,6.92249999999998e-06,
0.38,7.232499999999982e-06,
0.4,7.546750000000024e-06,
0.42,7.86000000000005e-06,
0.44,8.127500000000034e-06,
0.46,8.416000000000022e-06,
0.48,8.706499999999989e-06,
0.5,8.957499999999983e-06,
0.52,9.214249999999987e-06,
0.54,9.469999999999975e-06,
0.56,9.625000000000085e-06,
0.58,9.787499999999879e-06,
0.6,,
0.58,,1.0319999999999969e-05
0.56,,1.0208250000000025e-05
0.54,,9.956749999999969e-06
0.52,,9.690749999999955e-06
0.5,,9.404999999999982e-06
0.48,,9.136750000000014e-06
0.46,,8.911749999999995e-06
0.44,,8.713250000000014e-06
0.42,,8.454000000000024e-06
0.4,,8.177499999999953e-06
0.38,,7.914249999999956e-06
0.36,,7.633500000000062e-06
0.34,,7.317499999999965e-06
0.32,,6.9299999999999896e-06
0.3,,6.544250000000069e-06
0.28,,6.147500000000029e-06
0.26,,5.613999999999977e-06
0.24,,5.039999999999992e-06
0.22,,4.442500000000017e-06
0.2,,3.800750000000023e-06
0.18,,3.105999999999953e-06
0.16,,2.4275000000000034e-06
0.14,,1.8075000000000534e-06
0.12,,1.2017499999999754e-06
0.1,,6.350000000000236e-07
0.08,,1.265000000000402e-07
0.06,,3.267499999999677e-07
0.04,,7.099999999999576e-07
0.02,,1.026750000000039e-06
0.0,,1.326499999999961e-06
-0.02,,1.5050000000000068e-06
-0.04,,1.7135000000000913e-06
-0.06,,1.8640000000000215e-06
-0.08,,2.011500000000013e-06
-0.1,,2.1992500000000146e-06
-0.12,,2.2424999999999637e-06
-0.14,,2.4492499999999935e-06
-0.16,,2.8224999999999886e-06
-0.18,,2.9690000000000185e-06
-0.2,,2.994999999999994e-06
-0.22,,3.2350000000000326e-06
-0.24,,3.365999999999981e-06
-0.26,,3.4225000000000032e-06
-0.28,,3.585000000000014e-06
-0.3,,3.664249999999988e-06
-0.32,,3.742499999999946e-06
-0.34,,3.764999999999975e-06
-0.36,,3.8057500000000474e-06
-0.38,,3.904250000000026e-06
-0.4,,3.9600000000000095e-06
