V,|gm| [S] Indo,|gm| [S] Voltando
-0.6,,
-0.58,2.938824999999996e-05,
-0.56,2.747250000000002e-05,
-0.54,2.6203499999999987e-05,
-0.52,2.524000000000005e-05,
-0.5,2.4515750000000003e-05,
-0.48,2.390924999999994e-05,
-0.46,2.3349250000000014e-05,
-0.44,2.2789999999999963e-05,
-0.42,2.2208250000000046e-05,
-0.4,2.166500000000003e-05,
-0.38,2.1135749999999964e-05,
-0.36,2.0567500000000043e-05,
-0.34,2.000674999999997e-05,
-0.32,1.9371749999999945e-05,
-0.3,1.868575000000004e-05,
-0.28,1.800399999999996e-05,
-0.26,1.7244999999999988e-05,
-0.24,1.6434999999999974e-05,
-0.22,1.563500000000001e-05,
-0.2,1.4789999999999985e-05,
-0.18,1.3825999999999986e-05,
-0.16,1.2787500000000006e-05,
-0.14,1.1775749999999986e-05,
-0.12,1.0756749999999988e-05,
-0.1,9.712499999999945e-06,
-0.08,8.624500000000053e-06,
-0.06,7.536750000000002e-06,
-0.04,6.531324999999971e-06,
-0.02,5.413925000000028e-06,
0.0,4.270749999999969e-06,
0.02,3.224824999999978e-06,
0.04,2.260750000000007e-06,
0.06,1.4273249999999737e-06,
0.08,5.645999999999776e-07,
0.1,2.6100000000001664e-07,
0.12,9.696749999999832e-07,
0.14,1.6403250000000206e-06,
0.16,2.242500000000018e-06,
0.18,2.8175749999999897e-06,
0.2,3.3636750000000284e-06,
0.22,3.821850000000035e-06,
0.24,4.249999999999995e-06,
0.26,4.651900000000029e-06,
0.28,5.014750000000001e-06,
0.3,5.396925000000004e-06,
0.32,5.728075000000009e-06,
0.34,6.018249999999972e-06,
0.36,6.367500000000023e-06,
0.38,6.672500000000001e-06,
0.4,6.968249999999968e-06,
0.42,7.2842499999999566e-06,
0.44,7.530000000000004e-06,
0.46,7.795000000000002e-06,
0.48,8.124999999999994e-06,
0.5,8.401500000000011e-06,
0.52,8.596749999999968e-06,
0.54,8.778499999999984e-06,
0.56,8.925750000000053e-06,
0.58,9.04574999999999e-06,
0.6,,
0.58,,1.1587499999999977e-05
0.56,,1.065175000000007e-05
0.54,,1.0009250000000036e-05
0.52,,9.453249999999956e-06
0.5,,8.988999999999937e-06
0.48,,8.534999999999999e-06
0.46,,8.146e-06
0.44,,7.805749999999982e-06
0.42,,7.448249999999991e-06
0.4,,7.124249999999985e-06
0.38,,6.796750000000033e-06
0.36,,6.457250000000054e-06
0.34,,6.132425000000092e-06
0.32,,5.791499999999953e-06
0.3,,5.475249999999988e-06
0.28,,5.103499999999989e-06
0.26,,4.711249999999993e-06
0.24,,4.366174999999984e-06
0.22,,3.981400000000016e-06
0.2,,3.5161500000000358e-06
0.18,,2.989349999999992e-06
0.16,,2.428099999999991e-06
0.14,,1.7660000000000234e-06
0.12,,1.025399999999958e-06
0.1,,2.508999999999877e-07
0.08,,5.743249999999871e-07
0.06,,1.5343999999999764e-06
0.04,,2.500074999999978e-06
0.02,,3.5569250000000354e-06
0.0,,4.69724999999999e-06
-0.02,,5.810924999999963e-06
-0.04,,6.983925000000028e-06
-0.06,,8.174150000000058e-06
-0.08,,9.374250000000013e-06
-0.1,,1.0525175000000058e-05
-0.12,,1.168749999999998e-05
-0.14,,1.2867500000000073e-05
-0.16,,1.396574999999999e-05
-0.18,,1.500999999999998e-05
-0.2,,1.6083249999999992e-05
-0.22,,1.7115e-05
-0.24,,1.8054249999999964e-05
-0.26,,1.899924999999999e-05
-0.28,,1.9907500000000005e-05
-0.3,,2.066675000000006e-05
-0.32,,2.1422499999999953e-05
-0.34,,2.2170749999999998e-05
-0.36,,2.283824999999999e-05
-0.38,,2.3465750000000005e-05
-0.4,,2.3957500000000023e-05
-0.42,,2.432599999999997e-05
-0.44,,2.464749999999999e-05
-0.46,,2.485250000000002e-05
-0.48,,2.4919250000000068e-05
-0.5,,2.4911500000000027e-05
-0.52,,2.4750749999999963e-05
-0.54,,2.4386749999999924e-05
-0.56,,2.3984250000000146e-05
-0.58,,2.350749999999993e-05
-0.6,,2.320999999999988e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
