V,IDS Indo,IDS Voltando
-0.6,9.85339e-05,
-0.58,9.823337e-05,
-0.56,9.79453e-05,
-0.54,9.764913e-05,
-0.52,9.735267e-05,
-0.5,9.705603e-05,
-0.48,9.675873e-05,
-0.46,9.64622e-05,
-0.44,9.615617e-05,
-0.42,9.585127e-05,
-0.4,9.555097e-05,
-0.38,9.525293e-05,
-0.36,9.496133e-05,
-0.34,9.466563e-05,
-0.32,9.436823e-05,
-0.3,9.407303e-05,
-0.28,9.378237e-05,
-0.26,9.349777e-05,
-0.24,9.321167e-05,
-0.22,9.293133e-05,
-0.2,9.265893e-05,
-0.18,9.238977e-05,
-0.16,9.213083e-05,
-0.14,9.18743e-05,
-0.12,9.162313e-05,
-0.1,9.139143e-05,
-0.08,9.115873e-05,
-0.06,9.09359e-05,
-0.04,9.0731e-05,
-0.02,9.0536e-05,
0.0,9.03528e-05,
0.02,9.018277e-05,
0.04,9.00227e-05,
0.06,8.98645e-05,
0.08,8.971757e-05,
0.1,8.959693e-05,
0.12,8.94909e-05,
0.14,8.939173e-05,
0.16,8.93036e-05,
0.18,8.922007e-05,
0.2,8.91452e-05,
0.22,8.908653e-05,
0.24,8.90362e-05,
0.26,8.899167e-05,
0.28,8.896153e-05,
0.3,8.893657e-05,
0.32,8.892237e-05,
0.34,8.891197e-05,
0.36,8.891123e-05,
0.38,8.89206e-05,
0.4,8.893257e-05,
0.42,8.89539e-05,
0.44,8.89818e-05,
0.46,8.901017e-05,
0.48,8.904927e-05,
0.5,8.908573e-05,
0.52,8.912823e-05,
0.54,8.91686e-05,
0.56,8.920353e-05,
0.58,8.92345e-05,
0.6,8.9274e-05,
0.58,,8.911407e-05
0.56,,8.897323e-05
0.54,,8.884107e-05
0.52,,8.87184e-05
0.5,,8.860737e-05
0.48,,8.850097e-05
0.46,,8.839637e-05
0.44,,8.830173e-05
0.42,,8.82187e-05
0.4,,8.813787e-05
0.38,,8.806837e-05
0.36,,8.800267e-05
0.34,,8.794093e-05
0.32,,8.78892e-05
0.3,,8.784253e-05
0.28,,8.780907e-05
0.26,,8.778747e-05
0.24,,8.77719e-05
0.22,,8.776577e-05
0.2,,8.77761e-05
0.18,,8.780507e-05
0.16,,8.784053e-05
0.14,,8.789627e-05
0.12,,8.796193e-05
0.1,,8.805557e-05
0.08,,8.817157e-05
0.06,,8.83078e-05
0.04,,8.846937e-05
0.02,,8.865427e-05
0.0,,8.885623e-05
-0.02,,8.908723e-05
-0.04,,8.933447e-05
-0.06,,8.95993e-05
-0.08,,8.988523e-05
-0.1,,9.019113e-05
-0.12,,9.05196e-05
-0.14,,9.085083e-05
-0.16,,9.119323e-05
-0.18,,9.155307e-05
-0.2,,9.191913e-05
-0.22,,9.228983e-05
-0.24,,9.266237e-05
-0.26,,9.30527e-05
-0.28,,9.343223e-05
-0.3,,9.38175e-05
-0.32,,9.41944e-05
-0.34,,9.456997e-05
-0.36,,9.495657e-05
-0.38,,9.533193e-05
-0.4,,9.56962e-05
-0.42,,9.604947e-05
-0.44,,9.639867e-05
-0.46,,9.672863e-05
-0.48,,9.70556e-05
-0.5,,9.736893e-05
-0.52,,9.76664e-05
-0.54,,9.79588e-05
-0.56,,9.822797e-05
-0.58,,9.848203e-05
-0.6,,9.872353e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
