V,IDS Indo,IDS Voltando
-0.6,9.509777e-05,
-0.58,9.484897e-05,
-0.56,9.458553e-05,
-0.54,9.43173e-05,
-0.52,9.404247e-05,
-0.5,9.37562e-05,
-0.48,9.346163e-05,
-0.46,9.316903e-05,
-0.44,9.28693e-05,
-0.42,9.25644e-05,
-0.4,9.225117e-05,
-0.38,9.193703e-05,
-0.36,9.161333e-05,
-0.34,9.129527e-05,
-0.32,9.096467e-05,
-0.3,9.064337e-05,
-0.28,9.032703e-05,
-0.26,9.00089e-05,
-0.24,8.96948e-05,
-0.22,8.938987e-05,
-0.2,8.909253e-05,
-0.18,8.880223e-05,
-0.16,8.851173e-05,
-0.14,8.82394e-05,
-0.12,8.798297e-05,
-0.1,8.773273e-05,
-0.08,8.749973e-05,
-0.06,8.727257e-05,
-0.04,8.706457e-05,
-0.02,8.688633e-05,
0.0,8.67228e-05,
0.02,8.65778e-05,
0.04,8.6438e-05,
0.06,8.631997e-05,
0.08,8.62204e-05,
0.1,8.61351e-05,
0.12,8.606603e-05,
0.14,8.60059e-05,
0.16,8.596233e-05,
0.18,8.593143e-05,
0.2,8.590927e-05,
0.22,8.590073e-05,
0.24,8.589983e-05,
0.26,8.591273e-05,
0.28,8.59312e-05,
0.3,8.59602e-05,
0.32,8.598843e-05,
0.34,8.60343e-05,
0.36,8.60855e-05,
0.38,8.61455e-05,
0.4,8.620907e-05,
0.42,8.628193e-05,
0.44,8.63628e-05,
0.46,8.644537e-05,
0.48,8.65404e-05,
0.5,8.66389e-05,
0.52,8.67405e-05,
0.54,8.68444e-05,
0.56,8.695133e-05,
0.58,8.706027e-05,
0.6,8.71721e-05,
0.58,,8.70305e-05
0.56,,8.68917e-05
0.54,,8.675347e-05
0.52,,8.66175e-05
0.5,,8.64944e-05
0.48,,8.636543e-05
0.46,,8.62429e-05
0.44,,8.612577e-05
0.42,,8.60083e-05
0.4,,8.59066e-05
0.38,,8.580597e-05
0.36,,8.570807e-05
0.34,,8.561727e-05
0.32,,8.553157e-05
0.3,,8.54461e-05
0.28,,8.537313e-05
0.26,,8.530077e-05
0.24,,8.52394e-05
0.22,,8.518357e-05
0.2,,8.513363e-05
0.18,,8.508927e-05
0.16,,8.50539e-05
0.14,,8.50322e-05
0.12,,8.50237e-05
0.1,,8.502647e-05
0.08,,8.50463e-05
0.06,,8.508043e-05
