V,IDS Indo,IDS Voltando
-0.6,0.0001000907,
-0.58,9.987853e-05,
-0.56,9.966293e-05,
-0.54,9.944097e-05,
-0.52,9.922547e-05,
-0.5,9.899073e-05,
-0.48,9.874413e-05,
-0.46,9.849393e-05,
-0.44,9.823567e-05,
-0.42,9.797467e-05,
-0.4,9.770787e-05,
-0.38,9.743863e-05,
-0.36,9.71649e-05,
-0.34,9.688873e-05,
-0.32,9.66125e-05,
-0.3,9.63383e-05,
-0.28,9.60576e-05,
-0.26,9.578037e-05,
-0.24,9.55075e-05,
-0.22,9.52346e-05,
-0.2,9.4964e-05,
-0.18,9.47085e-05,
-0.16,9.446037e-05,
-0.14,9.42133e-05,
-0.12,9.397403e-05,
-0.1,9.37535e-05,
-0.08,9.35294e-05,
-0.06,9.33273e-05,
-0.04,9.313663e-05,
-0.02,9.296293e-05,
0.0,9.28028e-05,
0.02,9.265297e-05,
0.04,9.25146e-05,
0.06,9.23879e-05,
0.08,9.227513e-05,
0.1,9.21776e-05,
0.12,9.209513e-05,
0.14,9.202153e-05,
0.16,9.19602e-05,
0.18,9.191027e-05,
0.2,9.186863e-05,
0.22,9.1839e-05,
0.24,9.181743e-05,
0.26,9.180233e-05,
0.28,9.18029e-05,
0.3,9.180667e-05,
0.32,9.181937e-05,
0.34,9.18399e-05,
0.36,9.18594e-05,
0.38,9.189017e-05,
0.4,9.193553e-05,
0.42,9.198023e-05,
0.44,9.20346e-05,
0.46,9.209057e-05,
0.48,9.21628e-05,
0.5,9.223367e-05,
0.52,9.23065e-05,
0.54,9.239053e-05,
0.56,9.24635e-05,
0.58,9.254767e-05,
0.6,9.262423e-05,
0.58,,9.249647e-05
0.56,,9.237377e-05
0.54,,9.225123e-05
0.52,,9.213837e-05
0.5,,9.202907e-05
0.48,,9.192187e-05
0.46,,9.182323e-05
0.44,,9.17243e-05
0.42,,9.16353e-05
0.4,,9.154803e-05
0.38,,9.146933e-05
0.36,,9.13927e-05
0.34,,9.131967e-05
0.32,,9.125637e-05
0.3,,9.119437e-05
0.28,,9.113637e-05
0.26,,9.10844e-05
0.24,,9.103803e-05
0.22,,9.100247e-05
0.2,,9.097203e-05
0.18,,9.09505e-05
0.16,,9.093593e-05
0.14,,9.093207e-05
0.12,,9.094263e-05
0.1,,9.096423e-05
0.08,,9.099707e-05
0.06,,9.104547e-05
0.04,,9.111223e-05
0.02,,9.119047e-05
0.0,,9.128623e-05
-0.02,,9.14003e-05
-0.04,,9.153593e-05
-0.06,,9.169997e-05
-0.08,,9.187337e-05
-0.1,,9.2067e-05
-0.12,,9.227967e-05
-0.14,,9.251013e-05
-0.16,,9.276e-05
-0.18,,9.30241e-05
-0.2,,9.331187e-05
-0.22,,9.361117e-05
-0.24,,9.392473e-05
-0.26,,9.424503e-05
-0.28,,9.457573e-05
-0.3,,9.49173e-05
-0.32,,9.52752e-05
-0.34,,9.563963e-05
-0.36,,9.59997e-05
-0.38,,9.636983e-05
-0.4,,9.673423e-05
-0.42,,9.709727e-05
-0.44,,9.746473e-05
-0.46,,9.782593e-05
-0.48,,9.8187e-05
-0.5,,9.853803e-05
-0.52,,9.88816e-05
-0.54,,9.92123e-05
-0.56,,9.952977e-05
