V,IDS Indo,IDS Voltando
-0.6,6.18987e-05,
-0.58,6.188907e-05,
-0.56,6.18806e-05,
-0.54,6.187053e-05,
-0.52,6.186463e-05,
-0.5,6.185467e-05,
-0.48,6.184463e-05,
-0.46,6.183823e-05,
-0.44,6.18273e-05,
-0.42,6.182103e-05,
-0.4,6.181193e-05,
-0.38,6.18038e-05,
-0.36,6.179727e-05,
-0.34,6.17835e-05,
-0.32,6.177223e-05,
-0.3,6.176793e-05,
-0.28,6.176197e-05,
-0.26,6.17539e-05,
-0.24,6.17468e-05,
-0.22,6.17408e-05,
-0.2,6.173427e-05,
-0.18,6.17274e-05,
-0.16,6.17259e-05,
-0.14,6.17236e-05,
-0.12,6.171963e-05,
-0.1,6.171553e-05,
-0.08,6.1709e-05,
-0.06,6.17055e-05,
-0.04,6.170083e-05,
-0.02,6.16956e-05,
0.0,6.169393e-05,
0.02,6.16891e-05,
0.04,6.168377e-05,
0.06,6.168357e-05,
0.08,6.168517e-05,
0.1,6.168223e-05,
0.12,6.168683e-05,
0.14,6.168327e-05,
0.16,6.168293e-05,
0.18,6.16832e-05,
0.2,6.167803e-05,
0.22,6.167903e-05,
0.24,6.168153e-05,
0.26,6.168357e-05,
0.28,6.168413e-05,
0.3,6.168817e-05,
0.32,6.168947e-05,
0.34,6.169237e-05,
0.36,6.16913e-05,
0.38,6.169527e-05,
0.4,6.170013e-05,
0.42,6.170127e-05,
0.44,6.169897e-05,
0.46,6.16994e-05,
0.48,6.170203e-05,
0.5,6.169977e-05,
0.52,6.170103e-05,
0.54,6.16998e-05,
0.56,6.17067e-05,
0.58,6.171183e-05,
0.6,6.171277e-05,
0.58,,6.171213e-05
0.56,,6.17144e-05
0.54,,6.171163e-05
0.52,,6.170417e-05
0.5,,6.170333e-05
0.48,,6.170467e-05
0.46,,6.170197e-05
0.44,,6.169863e-05
0.42,,6.169227e-05
0.4,,6.16932e-05
0.38,,6.169313e-05
0.36,,6.169567e-05
0.34,,6.169527e-05
0.32,,6.16892e-05
0.3,,6.168977e-05
0.28,,6.168803e-05
0.26,,6.168707e-05
0.24,,6.168863e-05
0.22,,6.168313e-05
0.2,,6.168143e-05
0.18,,6.168207e-05
0.16,,6.16826e-05
0.14,,6.168847e-05
0.12,,6.168523e-05
0.1,,6.168953e-05
0.08,,6.168583e-05
0.06,,6.16852e-05
0.04,,6.168563e-05
0.02,,6.16868e-05
0.0,,6.169007e-05
-0.02,,6.168853e-05
-0.04,,6.169343e-05
-0.06,,6.16923e-05
-0.08,,6.169457e-05
-0.1,,6.169757e-05
-0.12,,6.170053e-05
-0.14,,6.17015e-05
-0.16,,6.170927e-05
-0.18,,6.171083e-05
-0.2,,6.171483e-05
-0.22,,6.17225e-05
-0.24,,6.17263e-05
-0.26,,6.173087e-05
-0.28,,6.17361e-05
-0.3,,6.174263e-05
-0.32,,6.175043e-05
-0.34,,6.175863e-05
-0.36,,6.17664e-05
-0.38,,6.177837e-05
-0.4,,6.178383e-05
-0.42,,6.179617e-05
-0.44,,6.180423e-05
-0.46,,6.181253e-05
-0.48,,6.182793e-05
-0.5,,6.183803e-05
-0.52,,6.184657e-05
-0.54,,6.185677e-05
-0.56,,6.187223e-05
-0.58,,6.188057e-05
-0.6,,6.188957e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
