V,IDS Indo,IDS Voltando
-0.6,6.270757e-05,
-0.58,6.269797e-05,
-0.56,6.26887e-05,
-0.54,6.268043e-05,
-0.52,6.266977e-05,
-0.5,6.266193e-05,
-0.48,6.265037e-05,
-0.46,6.264157e-05,
-0.44,6.26306e-05,
-0.42,6.26177e-05,
-0.4,6.260847e-05,
-0.38,6.259637e-05,
-0.36,6.258933e-05,
-0.34,6.258063e-05,
-0.32,6.257e-05,
-0.3,6.25639e-05,
-0.28,6.255687e-05,
-0.26,6.254793e-05,
-0.24,6.253847e-05,
-0.22,6.25351e-05,
-0.2,6.25272e-05,
-0.18,6.251997e-05,
-0.16,6.251277e-05,
-0.14,6.25076e-05,
-0.12,6.250453e-05,
-0.1,6.250407e-05,
-0.08,6.2498e-05,
-0.06,6.249357e-05,
-0.04,6.24884e-05,
-0.02,6.248413e-05,
0.0,6.24802e-05,
0.02,6.247817e-05,
0.04,6.247693e-05,
0.06,6.24788e-05,
0.08,6.24781e-05,
0.1,6.247383e-05,
0.12,6.24795e-05,
0.14,6.24775e-05,
0.16,6.247577e-05,
0.18,6.247233e-05,
0.2,6.247573e-05,
0.22,6.24792e-05,
0.24,6.247987e-05,
0.26,6.247843e-05,
0.28,6.247843e-05,
0.3,6.248003e-05,
0.32,6.248233e-05,
0.34,6.248077e-05,
0.36,6.247813e-05,
0.38,6.248063e-05,
0.4,6.24816e-05,
0.42,6.24827e-05,
0.44,6.2485e-05,
0.46,6.248683e-05,
0.48,6.249237e-05,
0.5,6.248947e-05,
0.52,6.249117e-05,
0.54,6.249317e-05,
0.56,6.249593e-05,
0.58,6.250047e-05,
0.6,6.250113e-05,
0.58,,6.250413e-05
0.56,,6.250483e-05
0.54,,6.250307e-05
0.52,,6.250037e-05
0.5,,6.250197e-05
0.48,,6.250223e-05
0.46,,6.24973e-05
0.44,,6.24953e-05
0.42,,6.249213e-05
0.4,,6.249217e-05
0.38,,6.248817e-05
0.36,,6.2483e-05
0.34,,6.24862e-05
0.32,,6.248243e-05
0.3,,6.248117e-05
0.28,,6.247823e-05
0.26,,6.24765e-05
0.24,,6.24777e-05
0.22,,6.247507e-05
0.2,,6.247673e-05
0.18,,6.248063e-05
0.16,,6.247737e-05
0.14,,6.2473e-05
0.12,,6.247177e-05
0.1,,6.246933e-05
0.08,,6.247253e-05
0.06,,6.247267e-05
0.04,,6.247387e-05
0.02,,6.24767e-05
0.0,,6.247603e-05
-0.02,,6.24753e-05
-0.04,,6.247957e-05
-0.06,,6.24806e-05
-0.08,,6.24805e-05
-0.1,,6.24812e-05
-0.12,,6.248627e-05
-0.14,,6.248907e-05
-0.16,,6.24948e-05
-0.18,,6.250153e-05
-0.2,,6.250767e-05
-0.22,,6.251403e-05
-0.24,,6.252177e-05
-0.26,,6.25283e-05
-0.28,,6.253633e-05
-0.3,,6.254657e-05
-0.32,,6.25539e-05
-0.34,,6.256403e-05
-0.36,,6.256967e-05
-0.38,,6.25821e-05
-0.4,,6.259177e-05
-0.42,,6.260697e-05
-0.44,,6.26215e-05
-0.46,,6.26352e-05
-0.48,,6.26446e-05
-0.5,,6.265533e-05
-0.52,,6.266603e-05
-0.54,,6.268063e-05
-0.56,,6.26893e-05
-0.58,,6.270027e-05
-0.6,,6.271143e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
