V,IDS Indo,IDS Voltando
-0.6,2.53412e-05,
-0.58,2.481453e-05,
-0.56,2.424793e-05,
-0.54,2.366413e-05,
-0.52,2.307497e-05,
-0.5,2.247933e-05,
-0.48,2.18858e-05,
-0.46,2.129707e-05,
-0.44,2.070153e-05,
-0.42,2.011813e-05,
-0.4,1.955347e-05,
-0.38,1.899823e-05,
-0.36,1.845123e-05,
-0.34,1.791127e-05,
-0.32,1.739423e-05,
-0.3,1.68913e-05,
-0.28,1.640407e-05,
-0.26,1.59334e-05,
-0.24,1.547913e-05,
-0.22,1.50457e-05,
-0.2,1.463163e-05,
-0.18,1.42396e-05,
-0.16,1.386993e-05,
-0.14,1.352357e-05,
-0.12,1.3202e-05,
-0.1,1.29064e-05,
-0.08,1.26333e-05,
-0.06,1.23893e-05,
-0.04,1.21701e-05,
-0.02,1.197733e-05,
0.0,1.181247e-05,
0.02,1.167253e-05,
0.04,1.155703e-05,
0.06,1.145937e-05,
0.08,1.138213e-05,
0.1,1.133677e-05,
0.12,1.131417e-05,
0.14,1.1308e-05,
0.16,1.13203e-05,
0.18,1.134627e-05,
0.2,1.138973e-05,
0.22,1.14471e-05,
0.24,1.151657e-05,
0.26,1.15988e-05,
0.28,1.169313e-05,
0.3,1.179677e-05,
0.32,1.191067e-05,
0.34,1.203537e-05,
0.36,1.216783e-05,
0.38,1.230957e-05,
0.4,1.245987e-05,
0.42,1.26168e-05,
0.44,1.278023e-05,
0.46,1.295043e-05,
0.48,1.312503e-05,
0.5,1.33017e-05,
0.52,1.347947e-05,
0.54,1.365843e-05,
0.56,1.383307e-05,
0.58,1.40023e-05,
0.6,1.416553e-05,
0.58,,1.39927e-05
0.56,,1.381893e-05
0.54,,1.364953e-05
0.52,,1.34818e-05
0.5,,1.331547e-05
0.48,,1.315097e-05
0.46,,1.298827e-05
0.44,,1.282673e-05
0.42,,1.266923e-05
0.4,,1.25132e-05
0.38,,1.235807e-05
0.36,,1.22077e-05
0.34,,1.20585e-05
0.32,,1.191653e-05
0.3,,1.177617e-05
0.28,,1.1641e-05
0.26,,1.15112e-05
0.24,,1.13875e-05
0.22,,1.127047e-05
0.2,,1.11625e-05
0.18,,1.106293e-05
0.16,,1.097453e-05
0.14,,1.08957e-05
0.12,,1.08301e-05
0.1,,1.078523e-05
0.08,,1.075873e-05
0.06,,1.07519e-05
0.04,,1.076723e-05
0.02,,1.080673e-05
0.0,,1.087153e-05
-0.02,,1.096477e-05
-0.04,,1.108883e-05
-0.06,,1.124263e-05
-0.08,,1.14286e-05
-0.1,,1.164673e-05
-0.12,,1.189863e-05
-0.14,,1.218117e-05
-0.16,,1.24962e-05
-0.18,,1.284387e-05
-0.2,,1.322023e-05
-0.22,,1.362693e-05
-0.24,,1.40632e-05
-0.26,,1.452587e-05
-0.28,,1.50167e-05
-0.3,,1.553167e-05
-0.32,,1.606887e-05
-0.34,,1.663117e-05
-0.36,,1.722923e-05
-0.38,,1.784517e-05
-0.4,,1.84628e-05
-0.42,,1.91005e-05
-0.44,,1.975323e-05
-0.46,,2.041753e-05
-0.48,,2.109357e-05
-0.5,,2.177573e-05
-0.52,,2.246303e-05
-0.54,,2.314817e-05
-0.56,,2.382737e-05
-0.58,,2.44995e-05
-0.6,,2.51596e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
