V,IDS Indo,IDS Voltando
-0.6,2.432147e-05,
-0.58,2.382423e-05,
-0.56,2.32954e-05,
-0.54,2.275437e-05,
-0.52,2.22047e-05,
-0.5,2.164953e-05,
-0.48,2.109287e-05,
-0.46,2.053427e-05,
-0.44,1.997573e-05,
-0.42,1.941823e-05,
-0.4,1.886413e-05,
-0.38,1.831587e-05,
-0.36,1.777083e-05,
-0.34,1.723463e-05,
-0.32,1.670857e-05,
-0.3,1.619323e-05,
-0.28,1.569003e-05,
-0.26,1.519973e-05,
-0.24,1.472277e-05,
-0.22,1.425707e-05,
-0.2,1.38107e-05,
-0.18,1.339477e-05,
-0.16,1.29989e-05,
-0.14,1.26271e-05,
-0.12,1.228203e-05,
-0.1,1.196353e-05,
-0.08,1.167373e-05,
-0.06,1.141433e-05,
-0.04,1.118673e-05,
-0.02,1.098763e-05,
0.0,1.08203e-05,
0.02,1.068283e-05,
0.04,1.05755e-05,
0.06,1.049763e-05,
0.08,1.044513e-05,
0.1,1.041727e-05,
0.12,1.04126e-05,
0.14,1.042923e-05,
0.16,1.04668e-05,
0.18,1.052227e-05,
0.2,1.05906e-05,
0.22,1.067603e-05,
0.24,1.07756e-05,
0.26,1.088603e-05,
0.28,1.100803e-05,
0.3,1.113947e-05,
0.32,1.127927e-05,
0.34,1.14272e-05,
0.36,1.15816e-05,
0.38,1.174273e-05,
0.4,1.19088e-05,
0.42,1.208243e-05,
0.44,1.22595e-05,
0.46,1.244323e-05,
0.48,1.263143e-05,
0.5,1.28231e-05,
0.52,1.302073e-05,
0.54,1.32207e-05,
0.56,1.342353e-05,
0.58,1.362887e-05,
0.6,1.383527e-05,
0.58,,1.367053e-05
0.56,,1.349697e-05
0.54,,1.332153e-05
0.52,,1.314677e-05
0.5,,1.29728e-05
0.48,,1.280047e-05
0.46,,1.26307e-05
0.44,,1.246307e-05
0.42,,1.22971e-05
0.4,,1.2134e-05
0.38,,1.1974e-05
0.36,,1.18175e-05
0.34,,1.16638e-05
0.32,,1.151267e-05
0.3,,1.136603e-05
0.28,,1.122183e-05
0.26,,1.107973e-05
0.24,,1.0944e-05
0.22,,1.08143e-05
0.2,,1.069057e-05
0.18,,1.057397e-05
0.16,,1.046407e-05
0.14,,1.036297e-05
0.12,,1.027033e-05
0.1,,1.01911e-05
0.08,,1.012463e-05
0.06,,1.007387e-05
0.04,,1.004097e-05
0.02,,1.002767e-05
0.0,,1.003797e-05
-0.02,,1.007287e-05
-0.04,,1.01358e-05
-0.06,,1.02286e-05
-0.08,,1.035237e-05
-0.1,,1.050977e-05
-0.12,,1.070213e-05
-0.14,,1.09316e-05
-0.16,,1.11969e-05
-0.18,,1.14981e-05
-0.2,,1.183543e-05
-0.22,,1.220977e-05
-0.24,,1.261953e-05
-0.26,,1.306297e-05
-0.28,,1.353773e-05
-0.3,,1.404443e-05
-0.32,,1.45831e-05
-0.34,,1.51565e-05
-0.36,,1.57566e-05
-0.38,,1.637043e-05
-0.4,,1.70063e-05
-0.42,,1.76597e-05
-0.44,,1.833237e-05
-0.46,,1.902e-05
-0.48,,1.972053e-05
-0.5,,2.043187e-05
-0.52,,2.114763e-05
-0.54,,2.186427e-05
-0.56,,2.25791e-05
-0.58,,2.32837e-05
-0.6,,2.39702e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
