V,IDS Indo,IDS Voltando
-0.6,2.835773e-05,
-0.58,2.77714e-05,
-0.56,2.719087e-05,
-0.54,2.661133e-05,
-0.52,2.603617e-05,
-0.5,2.54614e-05,
-0.48,2.48836e-05,
-0.46,2.430653e-05,
-0.44,2.372927e-05,
-0.42,2.315117e-05,
-0.4,2.257757e-05,
-0.38,2.200467e-05,
-0.36,2.143593e-05,
-0.34,2.087347e-05,
-0.32,2.031597e-05,
-0.3,1.976653e-05,
-0.28,1.922727e-05,
-0.26,1.869673e-05,
-0.24,1.818197e-05,
-0.22,1.767917e-05,
-0.2,1.71912e-05,
-0.18,1.67178e-05,
-0.16,1.626157e-05,
-0.14,1.58224e-05,
-0.12,1.541697e-05,
-0.1,1.503533e-05,
-0.08,1.467857e-05,
-0.06,1.43475e-05,
-0.04,1.404743e-05,
-0.02,1.37736e-05,
0.0,1.35325e-05,
0.02,1.332067e-05,
0.04,1.31397e-05,
0.06,1.298763e-05,
0.08,1.28642e-05,
0.1,1.276787e-05,
0.12,1.269603e-05,
0.14,1.26489e-05,
0.16,1.262447e-05,
0.18,1.261967e-05,
0.2,1.263483e-05,
0.22,1.26662e-05,
0.24,1.271377e-05,
0.26,1.27769e-05,
0.28,1.285143e-05,
0.3,1.293887e-05,
0.32,1.30371e-05,
0.34,1.31453e-05,
0.36,1.326273e-05,
0.38,1.33888e-05,
0.4,1.352253e-05,
0.42,1.366273e-05,
0.44,1.380953e-05,
0.46,1.396423e-05,
0.48,1.41241e-05,
0.5,1.4288e-05,
0.52,1.445677e-05,
0.54,1.462773e-05,
0.56,1.480307e-05,
0.58,1.497847e-05,
0.6,1.515403e-05,
0.58,,1.497357e-05
0.56,,1.479547e-05
0.54,,1.462343e-05
0.52,,1.44564e-05
0.5,,1.429353e-05
0.48,,1.413567e-05
0.46,,1.398227e-05
0.44,,1.383443e-05
0.42,,1.369023e-05
0.4,,1.355113e-05
0.38,,1.341717e-05
0.36,,1.32865e-05
0.34,,1.316157e-05
0.32,,1.30414e-05
0.3,,1.292557e-05
0.28,,1.281647e-05
0.26,,1.271183e-05
0.24,,1.2614e-05
0.22,,1.252217e-05
0.2,,1.243847e-05
0.18,,1.236213e-05
0.16,,1.229373e-05
0.14,,1.22403e-05
0.12,,1.219783e-05
0.1,,1.21707e-05
0.08,,1.215997e-05
0.06,,1.21678e-05
0.04,,1.219707e-05
0.02,,1.22496e-05
0.0,,1.23292e-05
-0.02,,1.24409e-05
-0.04,,1.25797e-05
-0.06,,1.27532e-05
-0.08,,1.296303e-05
-0.1,,1.32088e-05
-0.12,,1.349253e-05
-0.14,,1.381377e-05
-0.16,,1.417177e-05
-0.18,,1.456623e-05
-0.2,,1.49977e-05
-0.22,,1.54611e-05
-0.24,,1.595813e-05
-0.26,,1.64836e-05
-0.28,,1.70409e-05
-0.3,,1.762203e-05
-0.32,,1.82287e-05
-0.34,,1.885917e-05
-0.36,,1.950857e-05
-0.38,,2.01783e-05
-0.4,,2.086813e-05
-0.42,,2.15795e-05
-0.44,,2.23072e-05
-0.46,,2.30334e-05
-0.48,,2.376413e-05
-0.5,,2.449697e-05
-0.52,,2.522537e-05
-0.54,,2.594707e-05
-0.56,,2.665413e-05
-0.58,,2.73399e-05
-0.6,,2.799807e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
