V,IDS Indo,IDS Voltando
-0.6,2.11361e-05,
-0.58,2.081177e-05,
-0.56,2.040957e-05,
-0.54,1.996423e-05,
-0.52,1.949217e-05,
-0.5,1.900537e-05,
-0.48,1.850593e-05,
-0.46,1.800253e-05,
-0.44,1.749687e-05,
-0.42,1.69974e-05,
-0.4,1.650403e-05,
-0.38,1.601607e-05,
-0.36,1.553787e-05,
-0.34,1.506903e-05,
-0.32,1.462363e-05,
-0.3,1.419027e-05,
-0.28,1.37736e-05,
-0.26,1.337787e-05,
-0.24,1.300293e-05,
-0.22,1.264743e-05,
-0.2,1.2315e-05,
-0.18,1.200743e-05,
-0.16,1.172483e-05,
-0.14,1.14685e-05,
-0.12,1.123857e-05,
-0.1,1.103657e-05,
-0.08,1.085627e-05,
-0.06,1.07023e-05,
-0.04,1.058627e-05,
-0.02,1.049447e-05,
0.0,1.042923e-05,
0.02,1.038653e-05,
0.04,1.036877e-05,
0.06,1.037037e-05,
0.08,1.039413e-05,
0.1,1.043493e-05,
0.12,1.049267e-05,
0.14,1.056517e-05,
0.16,1.06509e-05,
0.18,1.07496e-05,
0.2,1.085887e-05,
0.22,1.09774e-05,
0.24,1.11046e-05,
0.26,1.123913e-05,
0.28,1.138037e-05,
0.3,1.152553e-05,
0.32,1.1677e-05,
0.34,1.183197e-05,
0.36,1.199017e-05,
0.38,1.215153e-05,
0.4,1.231607e-05,
0.42,1.2482e-05,
0.44,1.264917e-05,
0.46,1.281533e-05,
0.48,1.298257e-05,
0.5,1.314913e-05,
0.52,1.331663e-05,
0.54,1.34762e-05,
0.56,1.363173e-05,
0.58,1.37831e-05,
0.6,1.3928e-05,
0.58,,1.377823e-05
0.56,,1.362767e-05
0.54,,1.347883e-05
0.52,,1.333313e-05
0.5,,1.318667e-05
0.48,,1.30407e-05
0.46,,1.289663e-05
0.44,,1.27517e-05
0.42,,1.260683e-05
0.4,,1.246363e-05
0.38,,1.23191e-05
0.36,,1.21771e-05
0.34,,1.203317e-05
0.32,,1.188993e-05
0.3,,1.174837e-05
0.28,,1.16067e-05
0.26,,1.146507e-05
0.24,,1.13266e-05
0.22,,1.118927e-05
0.2,,1.105577e-05
0.18,,1.092467e-05
0.16,,1.079563e-05
0.14,,1.06727e-05
0.12,,1.05541e-05
0.1,,1.044167e-05
0.08,,1.033717e-05
0.06,,1.024647e-05
0.04,,1.016663e-05
0.02,,1.010203e-05
0.0,,1.005293e-05
-0.02,,1.002237e-05
-0.04,,1.001313e-05
-0.06,,1.002653e-05
-0.08,,1.006567e-05
-0.1,,1.013297e-05
-0.12,,1.022887e-05
-0.14,,1.035633e-05
-0.16,,1.051637e-05
-0.18,,1.07076e-05
-0.2,,1.09306e-05
-0.22,,1.11859e-05
-0.24,,1.147067e-05
-0.26,,1.17844e-05
-0.28,,1.212603e-05
-0.3,,1.24947e-05
-0.32,,1.28899e-05
-0.34,,1.331143e-05
-0.36,,1.37579e-05
-0.38,,1.422983e-05
-0.4,,1.472903e-05
-0.42,,1.525353e-05
-0.44,,1.580813e-05
-0.46,,1.638673e-05
-0.48,,1.699147e-05
-0.5,,1.762847e-05
-0.52,,1.828757e-05
-0.54,,1.895077e-05
-0.56,,1.963503e-05
-0.58,,2.032557e-05
-0.6,,2.102327e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
