V,IDS Indo,IDS Voltando
-0.6,7.170947e-06,
-0.58,7.06366e-06,
-0.56,6.974847e-06,
-0.54,6.89577e-06,
-0.52,6.82265e-06,
-0.5,6.755823e-06,
-0.48,6.694287e-06,
-0.46,6.637087e-06,
-0.44,6.583557e-06,
-0.42,6.532583e-06,
-0.4,6.485363e-06,
-0.38,6.440807e-06,
-0.36,6.39848e-06,
-0.34,6.359667e-06,
-0.32,6.322483e-06,
-0.3,6.288267e-06,
-0.28,6.25574e-06,
-0.26,6.22681e-06,
-0.24,6.20258e-06,
-0.22,6.179147e-06,
-0.2,6.1605e-06,
-0.18,6.14559e-06,
-0.16,6.13448e-06,
-0.14,6.128343e-06,
-0.12,6.125083e-06,
-0.1,6.127563e-06,
-0.08,6.133997e-06,
-0.06,6.145083e-06,
-0.04,6.16299e-06,
-0.02,6.18388e-06,
0.0,6.209317e-06,
0.02,6.23911e-06,
0.04,6.27324e-06,
0.06,6.30968e-06,
0.08,6.348453e-06,
0.1,6.391467e-06,
0.12,6.437477e-06,
0.14,6.487933e-06,
0.16,6.540787e-06,
0.18,6.596723e-06,
0.2,6.656413e-06,
0.22,6.72069e-06,
0.24,6.78973e-06,
0.26,6.863773e-06,
0.28,6.94251e-06,
0.3,7.027073e-06,
0.32,7.11789e-06,
0.34,7.214617e-06,
0.36,7.31613e-06,
0.38,7.422943e-06,
0.4,7.535733e-06,
0.42,7.650453e-06,
0.44,7.772737e-06,
0.46,7.899363e-06,
0.48,8.027193e-06,
0.5,8.161353e-06,
0.52,8.29827e-06,
0.54,8.43782e-06,
0.56,8.58024e-06,
0.58,8.724703e-06,
0.6,8.87172e-06,
0.58,,8.759097e-06
0.56,,8.62586e-06
0.54,,8.489663e-06
0.52,,8.351757e-06
0.5,,8.216073e-06
0.48,,8.08255e-06
0.46,,7.95145e-06
0.44,,7.820927e-06
0.42,,7.698937e-06
0.4,,7.576673e-06
0.38,,7.45896e-06
0.36,,7.344253e-06
0.34,,7.231953e-06
0.32,,7.12381e-06
0.3,,7.02042e-06
0.28,,6.922007e-06
0.26,,6.829243e-06
0.24,,6.74054e-06
0.22,,6.659967e-06
0.2,,6.585973e-06
0.18,,6.519177e-06
0.16,,6.46006e-06
0.14,,6.40887e-06
0.12,,6.36452e-06
0.1,,6.32718e-06
0.08,,6.297503e-06
0.06,,6.27562e-06
0.04,,6.260167e-06
0.02,,6.250333e-06
0.0,,6.244353e-06
-0.02,,6.243877e-06
-0.04,,6.247773e-06
-0.06,,6.256337e-06
-0.08,,6.267497e-06
-0.1,,6.28329e-06
-0.12,,6.30105e-06
-0.14,,6.321167e-06
-0.16,,6.344003e-06
-0.18,,6.36842e-06
-0.2,,6.396163e-06
-0.22,,6.425447e-06
-0.24,,6.457957e-06
-0.26,,6.490993e-06
-0.28,,6.52527e-06
-0.3,,6.561683e-06
-0.32,,6.598977e-06
-0.34,,6.636467e-06
-0.36,,6.675903e-06
-0.38,,6.716083e-06
-0.4,,6.756503e-06
-0.42,,6.798917e-06
-0.44,,6.841943e-06
-0.46,,6.88517e-06
-0.48,,6.928557e-06
-0.5,,6.971377e-06
-0.52,,7.01528e-06
-0.54,,7.063203e-06
-0.56,,7.113717e-06
-0.58,,7.164363e-06
-0.6,,7.21758e-06
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
