V,IDS Indo,IDS Voltando
-0.6,1.53101e-05,
-0.58,1.509373e-05,
-0.56,1.491033e-05,
-0.54,1.474577e-05,
-0.52,1.4597e-05,
-0.5,1.445703e-05,
-0.48,1.432853e-05,
-0.46,1.42086e-05,
-0.44,1.409523e-05,
-0.42,1.399007e-05,
-0.4,1.389037e-05,
-0.38,1.37963e-05,
-0.36,1.370873e-05,
-0.34,1.362657e-05,
-0.32,1.355043e-05,
-0.3,1.347877e-05,
-0.28,1.341453e-05,
-0.26,1.335403e-05,
-0.24,1.32991e-05,
-0.22,1.325237e-05,
-0.2,1.321113e-05,
-0.18,1.317643e-05,
-0.16,1.314717e-05,
-0.14,1.312747e-05,
-0.12,1.311333e-05,
-0.1,1.31057e-05,
-0.08,1.310637e-05,
-0.06,1.311263e-05,
-0.04,1.312447e-05,
-0.02,1.314283e-05,
0.0,1.31668e-05,
0.02,1.319623e-05,
0.04,1.32307e-05,
0.06,1.326933e-05,
0.08,1.33128e-05,
0.1,1.336123e-05,
0.12,1.341353e-05,
0.14,1.34674e-05,
0.16,1.352753e-05,
0.18,1.359303e-05,
0.2,1.366967e-05,
0.22,1.37532e-05,
0.24,1.384393e-05,
0.26,1.394203e-05,
0.28,1.40483e-05,
0.3,1.41619e-05,
0.32,1.428173e-05,
0.34,1.44104e-05,
0.36,1.454543e-05,
0.38,1.46873e-05,
0.4,1.483473e-05,
0.42,1.498917e-05,
0.44,1.514913e-05,
0.46,1.531427e-05,
0.48,1.548577e-05,
0.5,1.566253e-05,
0.52,1.584407e-05,
0.54,1.60311e-05,
0.56,1.622287e-05,
0.58,1.64161e-05,
0.6,1.661437e-05,
0.58,,1.640853e-05
0.56,,1.620157e-05
0.54,,1.60002e-05
0.52,,1.58033e-05
0.5,,1.561257e-05
0.48,,1.54271e-05
0.46,,1.52471e-05
0.44,,1.507063e-05
0.42,,1.489857e-05
0.4,,1.473247e-05
0.38,,1.457147e-05
0.36,,1.44159e-05
0.34,,1.426613e-05
0.32,,1.41232e-05
0.3,,1.398893e-05
0.28,,1.386143e-05
0.26,,1.374303e-05
0.24,,1.363687e-05
0.22,,1.354143e-05
0.2,,1.345917e-05
0.18,,1.33894e-05
0.16,,1.333493e-05
0.14,,1.32923e-05
0.12,,1.326263e-05
0.1,,1.324423e-05
0.08,,1.323723e-05
0.06,,1.323917e-05
0.04,,1.32503e-05
0.02,,1.326757e-05
0.0,,1.329137e-05
-0.02,,1.332063e-05
-0.04,,1.335157e-05
-0.06,,1.338917e-05
-0.08,,1.342613e-05
-0.1,,1.346963e-05
-0.12,,1.35141e-05
-0.14,,1.355933e-05
-0.16,,1.361207e-05
-0.18,,1.367223e-05
-0.2,,1.373083e-05
-0.22,,1.379203e-05
-0.24,,1.386023e-05
-0.26,,1.392667e-05
