V,IDS Indo,IDS Voltando
-0.6,6.398997e-05,
-0.58,6.397283e-05,
-0.56,6.396257e-05,
-0.54,6.394887e-05,
-0.52,6.393497e-05,
-0.5,6.39172e-05,
-0.48,6.390377e-05,
-0.46,6.388993e-05,
-0.44,6.38746e-05,
-0.42,6.385877e-05,
-0.4,6.384817e-05,
-0.38,6.383593e-05,
-0.36,6.381773e-05,
-0.34,6.380777e-05,
-0.32,6.379097e-05,
-0.3,6.377873e-05,
-0.28,6.37676e-05,
-0.26,6.375473e-05,
-0.24,6.374077e-05,
-0.22,6.373397e-05,
-0.2,6.372083e-05,
-0.18,6.37111e-05,
-0.16,6.37001e-05,
-0.14,6.36914e-05,
-0.12,6.368173e-05,
-0.1,6.367787e-05,
-0.08,6.366793e-05,
-0.06,6.36636e-05,
-0.04,6.365683e-05,
-0.02,6.365107e-05,
0.0,6.36516e-05,
0.02,6.364147e-05,
0.04,6.3638e-05,
0.06,6.36353e-05,
0.08,6.363893e-05,
0.1,6.363737e-05,
0.12,6.36345e-05,
0.14,6.363433e-05,
0.16,6.363153e-05,
0.18,6.363327e-05,
0.2,6.362703e-05,
0.22,6.36296e-05,
0.24,6.362893e-05,
0.26,6.36246e-05,
0.28,6.363233e-05,
0.3,6.363263e-05,
0.32,6.363e-05,
0.34,6.36384e-05,
0.36,6.36367e-05,
0.38,6.363737e-05,
0.4,6.363903e-05,
0.42,6.363637e-05,
0.44,6.363917e-05,
0.46,6.363677e-05,
0.48,6.364007e-05,
0.5,6.364043e-05,
0.52,6.364493e-05,
0.54,6.36468e-05,
0.56,6.365207e-05,
0.58,6.365397e-05,
0.6,6.366047e-05,
0.58,,6.365817e-05
0.56,,6.365863e-05
0.54,,6.365867e-05
0.52,,6.365753e-05
0.5,,6.365053e-05
0.48,,6.364957e-05
0.46,,6.36481e-05
0.44,,6.364433e-05
0.42,,6.36368e-05
0.4,,6.36308e-05
0.38,,6.363337e-05
0.36,,6.363467e-05
0.34,,6.363207e-05
0.32,,6.362863e-05
0.3,,6.36266e-05
0.28,,6.362173e-05
0.26,,6.362063e-05
0.24,,6.36212e-05
0.22,,6.362377e-05
0.2,,6.36197e-05
