V,IDS Indo,IDS Voltando
-0.6,1.48764e-05,
-0.58,1.441217e-05,
-0.56,1.399883e-05,
-0.54,1.361267e-05,
-0.52,1.3244e-05,
-0.5,1.288893e-05,
-0.48,1.254553e-05,
-0.46,1.22076e-05,
-0.44,1.187697e-05,
-0.42,1.155733e-05,
-0.4,1.124353e-05,
-0.38,1.09393e-05,
-0.36,1.064263e-05,
-0.34,1.03575e-05,
-0.32,1.008017e-05,
-0.3,9.812137e-06,
-0.28,9.555043e-06,
-0.26,9.30781e-06,
-0.24,9.073633e-06,
-0.22,8.853673e-06,
-0.2,8.641903e-06,
-0.18,8.446583e-06,
-0.16,8.26385e-06,
-0.14,8.093627e-06,
-0.12,7.94031e-06,
-0.1,7.801257e-06,
-0.08,7.67845e-06,
-0.06,7.568913e-06,
-0.04,7.47464e-06,
-0.02,7.397017e-06,
0.0,7.334257e-06,
0.02,7.28572e-06,
0.04,7.25178e-06,
0.06,7.230817e-06,
0.08,7.222443e-06,
0.1,7.22883e-06,
0.12,7.244723e-06,
0.14,7.27673e-06,
0.16,7.314417e-06,
0.18,7.36413e-06,
0.2,7.420473e-06,
0.22,7.485627e-06,
0.24,7.559493e-06,
0.26,7.638693e-06,
0.28,7.726473e-06,
0.3,7.81632e-06,
0.32,7.91406e-06,
0.34,8.016237e-06,
0.36,8.12501e-06,
0.38,8.2357e-06,
0.4,8.355283e-06,
0.42,8.480073e-06,
0.44,8.60681e-06,
0.46,8.74146e-06,
0.48,8.881517e-06,
0.5,9.025943e-06,
0.52,9.177713e-06,
0.54,9.33326e-06,
0.56,9.49459e-06,
0.58,9.660967e-06,
0.6,9.83026e-06,
0.58,,9.623597e-06
0.56,,9.433083e-06
0.54,,9.25346e-06
0.52,,9.082993e-06
0.5,,8.919883e-06
0.48,,8.76507e-06
0.46,,8.618003e-06
0.44,,8.47701e-06
0.42,,8.34345e-06
0.4,,8.21553e-06
0.38,,8.09381e-06
0.36,,7.978197e-06
0.34,,7.86843e-06
0.32,,7.762907e-06
0.3,,7.66424e-06
0.28,,7.571507e-06
0.26,,7.482663e-06
0.24,,7.400353e-06
