V,IDS Indo,IDS Voltando
-0.6,2.555823e-05,
-0.58,2.493373e-05,
-0.56,2.433863e-05,
-0.54,2.376343e-05,
-0.52,2.320683e-05,
-0.5,2.266247e-05,
-0.48,2.213497e-05,
-0.46,2.16179e-05,
-0.44,2.111197e-05,
-0.42,2.061933e-05,
-0.4,2.013947e-05,
-0.38,1.967013e-05,
-0.36,1.921393e-05,
-0.34,1.877227e-05,
-0.32,1.83443e-05,
-0.3,1.79317e-05,
-0.28,1.753323e-05,
-0.26,1.714707e-05,
-0.24,1.677803e-05,
-0.22,1.642443e-05,
-0.2,1.60873e-05,
-0.18,1.576643e-05,
-0.16,1.546653e-05,
-0.14,1.518273e-05,
-0.12,1.49207e-05,
-0.1,1.467647e-05,
-0.08,1.445267e-05,
-0.06,1.424527e-05,
-0.04,1.40575e-05,
-0.02,1.38985e-05,
0.0,1.375823e-05,
0.02,1.364077e-05,
0.04,1.354127e-05,
0.06,1.34621e-05,
0.08,1.339963e-05,
0.1,1.335547e-05,
0.12,1.332733e-05,
0.14,1.33148e-05,
0.16,1.33173e-05,
0.18,1.333307e-05,
0.2,1.336293e-05,
0.22,1.340247e-05,
0.24,1.345637e-05,
0.26,1.35175e-05,
0.28,1.358933e-05,
0.3,1.367293e-05,
0.32,1.376487e-05,
0.34,1.3865e-05,
0.36,1.397387e-05,
0.38,1.4091e-05,
0.4,1.421653e-05,
0.42,1.4348e-05,
0.44,1.44865e-05,
0.46,1.463377e-05,
0.48,1.478353e-05,
0.5,1.49389e-05,
0.52,1.509677e-05,
0.54,1.52534e-05,
0.56,1.54085e-05,
0.58,1.55637e-05,
0.6,1.571133e-05,
0.58,,1.548323e-05
0.56,,1.527427e-05
0.54,,1.50799e-05
0.52,,1.489433e-05
0.5,,1.471557e-05
0.48,,1.454207e-05
0.46,,1.437513e-05
0.44,,1.42108e-05
0.42,,1.405277e-05
0.4,,1.389987e-05
0.38,,1.375333e-05
0.36,,1.36132e-05
0.34,,1.34777e-05
0.32,,1.3349e-05
0.3,,1.322887e-05
0.28,,1.31144e-05
0.26,,1.301127e-05
0.24,,1.291693e-05
0.22,,1.2832e-05
0.2,,1.276393e-05
0.18,,1.270613e-05
0.16,,1.266547e-05
0.14,,1.26431e-05
0.12,,1.26408e-05
0.1,,1.26601e-05
0.08,,1.270387e-05
0.06,,1.277287e-05
0.04,,1.286747e-05
0.02,,1.29878e-05
0.0,,1.313603e-05
-0.02,,1.331313e-05
-0.04,,1.351737e-05
-0.06,,1.37492e-05
-0.08,,1.400483e-05
-0.1,,1.428907e-05
-0.12,,1.459723e-05
-0.14,,1.492813e-05
-0.16,,1.52817e-05
-0.18,,1.565303e-05
-0.2,,1.60475e-05
-0.22,,1.645927e-05
-0.24,,1.68876e-05
-0.26,,1.733313e-05
-0.28,,1.779463e-05
-0.3,,1.82671e-05
-0.32,,1.875367e-05
-0.34,,1.925093e-05
-0.36,,1.97572e-05
-0.38,,2.026897e-05
-0.4,,2.078903e-05
-0.42,,2.13104e-05
-0.44,,2.18369e-05
-0.46,,2.236293e-05
-0.48,,2.2884e-05
-0.5,,2.339813e-05
-0.52,,2.390657e-05
-0.54,,2.440243e-05
-0.56,,2.488247e-05
-0.58,,2.535583e-05
-0.6,,2.5814e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
