V,IDS Indo,IDS Voltando
-0.6,2.37416e-05,
-0.58,2.310763e-05,
-0.56,2.251737e-05,
-0.54,2.195543e-05,
-0.52,2.141703e-05,
-0.5,2.089397e-05,
-0.48,2.038547e-05,
-0.46,1.989263e-05,
-0.44,1.94076e-05,
-0.42,1.893953e-05,
-0.4,1.848883e-05,
-0.38,1.8052e-05,
-0.36,1.76284e-05,
-0.34,1.721653e-05,
-0.32,1.681703e-05,
-0.3,1.643203e-05,
-0.28,1.606123e-05,
-0.26,1.570407e-05,
-0.24,1.536343e-05,
-0.22,1.503873e-05,
-0.2,1.473077e-05,
-0.18,1.443807e-05,
-0.16,1.416153e-05,
-0.14,1.39021e-05,
-0.12,1.366067e-05,
-0.1,1.343657e-05,
-0.08,1.323053e-05,
-0.06,1.304183e-05,
-0.04,1.28721e-05,
-0.02,1.272187e-05,
0.0,1.258793e-05,
0.02,1.24719e-05,
0.04,1.237263e-05,
0.06,1.2283e-05,
0.08,1.22082e-05,
0.1,1.216057e-05,
0.12,1.212583e-05,
0.14,1.21043e-05,
0.16,1.209557e-05,
0.18,1.209853e-05,
0.2,1.211413e-05,
0.22,1.213653e-05,
0.24,1.217253e-05,
0.26,1.221957e-05,
0.28,1.227467e-05,
0.3,1.234033e-05,
0.32,1.24145e-05,
0.34,1.249717e-05,
0.36,1.258773e-05,
0.38,1.26858e-05,
0.4,1.279163e-05,
0.42,1.290453e-05,
0.44,1.30264e-05,
0.46,1.315267e-05,
0.48,1.328593e-05,
0.5,1.342223e-05,
0.52,1.356217e-05,
0.54,1.370247e-05,
0.56,1.384017e-05,
0.58,1.397057e-05,
0.6,1.410237e-05,
0.58,,1.388277e-05
0.56,,1.36867e-05
0.54,,1.350497e-05
0.52,,1.332667e-05
0.5,,1.316597e-05
0.48,,1.301063e-05
0.46,,1.286197e-05
0.44,,1.271893e-05
0.42,,1.258303e-05
0.4,,1.245183e-05
0.38,,1.232867e-05
0.36,,1.221227e-05
0.34,,1.210203e-05
0.32,,1.199727e-05
0.3,,1.19016e-05
0.28,,1.18146e-05
0.26,,1.17367e-05
0.24,,1.16676e-05
0.22,,1.161023e-05
0.2,,1.15651e-05
0.18,,1.153497e-05
0.16,,1.151897e-05
0.14,,1.151923e-05
0.12,,1.15385e-05
0.1,,1.15781e-05
0.08,,1.163963e-05
0.06,,1.17248e-05
0.04,,1.1833e-05
0.02,,1.19642e-05
0.0,,1.21222e-05
-0.02,,1.230393e-05
-0.04,,1.25113e-05
-0.06,,1.274107e-05
-0.08,,1.299573e-05
-0.1,,1.327353e-05
-0.12,,1.357327e-05
-0.14,,1.38934e-05
-0.16,,1.423303e-05
-0.18,,1.45906e-05
-0.2,,1.49662e-05
-0.22,,1.535817e-05
-0.24,,1.576687e-05
-0.26,,1.61877e-05
-0.28,,1.66223e-05
-0.3,,1.706823e-05
-0.32,,1.75245e-05
-0.34,,1.799253e-05
-0.36,,1.846563e-05
-0.38,,1.89433e-05
-0.4,,1.942447e-05
-0.42,,1.99076e-05
-0.44,,2.038697e-05
-0.46,,2.086633e-05
-0.48,,2.13382e-05
-0.5,,2.18028e-05
-0.52,,2.22594e-05
-0.54,,2.270267e-05
-0.56,,2.313447e-05
-0.58,,2.35516e-05
-0.6,,2.3959e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
