V,IDS Indo,IDS Voltando
-0.6,6.182877e-05,
-0.58,6.19328e-05,
-0.56,6.18831e-05,
-0.54,6.1755e-05,
-0.52,6.156703e-05,
-0.5,6.133563e-05,
-0.48,6.106113e-05,
-0.46,6.074853e-05,
-0.44,6.041037e-05,
-0.42,6.003483e-05,
-0.4,5.96274e-05,
-0.38,5.919113e-05,
-0.36,5.873647e-05,
-0.34,5.826317e-05,
-0.32,5.77661e-05,
-0.3,5.726777e-05,
-0.28,5.675583e-05,
-0.26,5.62344e-05,
-0.24,5.5718e-05,
-0.22,5.519113e-05,
-0.2,5.466917e-05,
-0.18,5.41523e-05,
-0.16,5.363907e-05,
-0.14,5.313823e-05,
-0.12,5.26352e-05,
-0.1,5.214373e-05,
-0.08,5.166977e-05,
-0.06,5.121113e-05,
-0.04,5.075027e-05,
-0.02,5.030487e-05,
0.0,4.990577e-05,
0.02,4.953003e-05,
0.04,4.917127e-05,
0.06,4.88394e-05,
0.08,4.85337e-05,
0.1,4.825263e-05,
0.12,4.799827e-05,
0.14,4.776963e-05,
0.16,4.757143e-05,
0.18,4.739563e-05,
0.2,4.725013e-05,
0.22,4.713153e-05,
0.24,4.703587e-05,
0.26,4.69624e-05,
0.28,4.691803e-05,
0.3,4.689097e-05,
0.32,4.688557e-05,
0.34,4.689243e-05,
0.36,4.692347e-05,
0.38,4.697077e-05,
0.4,4.703253e-05,
0.42,4.711153e-05,
0.44,4.72078e-05,
0.46,4.731467e-05,
0.48,4.74338e-05,
0.5,4.75685e-05,
0.52,4.770823e-05,
0.54,4.785647e-05,
0.56,4.80254e-05,
0.58,4.819373e-05,
0.6,4.836373e-05,
0.58,,4.845907e-05
0.56,,4.846873e-05
0.54,,4.842923e-05
0.52,,4.83539e-05
0.5,,4.825657e-05
0.48,,4.814407e-05
0.46,,4.802197e-05
0.44,,4.788977e-05
0.42,,4.775163e-05
0.4,,4.76073e-05
0.38,,4.74587e-05
0.36,,4.730893e-05
0.34,,4.715937e-05
0.32,,4.70067e-05
0.3,,4.685827e-05
0.28,,4.671653e-05
0.26,,4.657673e-05
0.24,,4.644197e-05
0.22,,4.63182e-05
0.2,,4.62143e-05
0.18,,4.612347e-05
0.16,,4.60495e-05
0.14,,4.599133e-05
0.12,,4.595833e-05
0.1,,4.59524e-05
0.08,,4.597143e-05
0.06,,4.602903e-05
0.04,,4.612203e-05
0.02,,4.62548e-05
0.0,,4.642e-05
-0.02,,4.66274e-05
-0.04,,4.687113e-05
-0.06,,4.715127e-05
-0.08,,4.746747e-05
-0.1,,4.78239e-05
-0.12,,4.821033e-05
-0.14,,4.863393e-05
-0.16,,4.908643e-05
-0.18,,4.956063e-05
-0.2,,5.005577e-05
-0.22,,5.05741e-05
-0.24,,5.110907e-05
-0.26,,5.166273e-05
-0.28,,5.223373e-05
-0.3,,5.280827e-05
-0.32,,5.33969e-05
-0.34,,5.398457e-05
-0.36,,5.45819e-05
-0.38,,5.518743e-05
-0.4,,5.578997e-05
-0.42,,5.640767e-05
-0.44,,5.701443e-05
-0.46,,5.772137e-05
-0.48,,5.830903e-05
-0.5,,5.888953e-05
-0.52,,5.945747e-05
-0.54,,6.000673e-05
-0.56,,6.05583e-05
-0.58,,6.108437e-05
-0.6,,6.155327e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
-0.22,,
-0.2,,
-0.18,,
-0.16,,
-0.14,,
-0.12,,
-0.1,,
-0.08,,
-0.06,,
-0.04,,
-0.02,,
0.0,,
0.02,,
0.04,,
0.06,,
0.08,,
0.1,,
0.12,,
0.14,,
0.16,,
0.18,,
0.2,,
0.22,,
0.24,,
0.26,,
0.28,,
0.3,,
0.32,,
0.34,,
0.36,,
0.38,,
0.4,,
0.42,,
0.44,,
0.46,,
0.48,,
0.5,,
0.52,,
0.54,,
0.56,,
0.58,,
0.6,,
0.58,,
0.56,,
0.54,,
0.52,,
0.5,,
0.48,,
0.46,,
0.44,,
0.42,,
0.4,,
0.38,,
0.36,,
0.34,,
0.32,,
0.3,,
0.28,,
0.26,,
0.24,,
0.22,,
0.2,,
0.18,,
0.16,,
0.14,,
0.12,,
0.1,,
0.08,,
0.06,,
0.04,,
0.02,,
0.0,,
-0.02,,
-0.04,,
-0.06,,
-0.08,,
-0.1,,
-0.12,,
-0.14,,
-0.16,,
-0.18,,
-0.2,,
-0.22,,
-0.24,,
-0.26,,
-0.28,,
-0.3,,
-0.32,,
-0.34,,
-0.36,,
-0.38,,
-0.4,,
-0.42,,
-0.44,,
-0.46,,
-0.48,,
-0.5,,
-0.52,,
-0.54,,
-0.56,,
-0.58,,
-0.6,,
