V,IDS Indo,IDS Voltando
-0.6,5.441813e-05,
-0.58,5.442407e-05,
-0.56,5.42802e-05,
-0.54,5.406507e-05,
-0.52,5.380353e-05,
-0.5,5.35057e-05,
-0.48,5.317507e-05,
-0.46,5.281467e-05,
-0.44,5.240153e-05,
-0.42,5.19855e-05,
-0.4,5.1558e-05,
-0.38,5.11114e-05,
-0.36,5.064993e-05,
-0.34,5.017517e-05,
-0.32,4.969003e-05,
-0.3,4.919117e-05,
-0.28,4.869373e-05,
-0.26,4.818563e-05,
-0.24,4.768273e-05,
-0.22,4.717947e-05,
-0.2,4.667603e-05,
-0.18,4.61801e-05,
-0.16,4.569e-05,
-0.14,4.521077e-05,
-0.12,4.474017e-05,
-0.1,4.428497e-05,
-0.08,4.38423e-05,
-0.06,4.34191e-05,
-0.04,4.301943e-05,
-0.02,4.263263e-05,
0.0,4.22704e-05,
0.02,4.193243e-05,
0.04,4.163003e-05,
0.06,4.13353e-05,
0.08,4.105803e-05,
0.1,4.083603e-05,
0.12,4.06456e-05,
0.14,4.046713e-05,
0.16,4.03201e-05,
0.18,4.01923e-05,
0.2,4.00932e-05,
0.22,4.00102e-05,
0.24,3.99496e-05,
0.26,3.991847e-05,
0.28,3.990197e-05,
0.3,3.990477e-05,
0.32,3.992997e-05,
0.34,3.9964e-05,
0.36,4.001433e-05,
0.38,4.00835e-05,
0.4,4.016653e-05,
0.42,4.02592e-05,
0.44,4.03678e-05,
0.46,4.049267e-05,
0.48,4.062383e-05,
0.5,4.076543e-05,
0.52,4.091847e-05,
0.54,4.10787e-05,
0.56,4.12612e-05,
0.58,4.14421e-05,
0.6,4.16149e-05,
0.58,,4.168983e-05
0.56,,4.16584e-05
0.54,,4.15756e-05
0.52,,4.1469e-05
0.5,,4.134463e-05
0.48,,4.12093e-05
0.46,,4.107113e-05
0.44,,4.092823e-05
0.42,,4.077807e-05
0.4,,4.062773e-05
0.38,,4.047393e-05
0.36,,4.032313e-05
0.34,,4.01752e-05
0.32,,4.002913e-05
0.3,,3.98891e-05
0.28,,3.975427e-05
0.26,,3.963087e-05
0.24,,3.951687e-05
0.22,,3.941787e-05
0.2,,3.933537e-05
0.18,,3.926547e-05
0.16,,3.921677e-05
0.14,,3.918913e-05
0.12,,3.91879e-05
0.1,,3.921457e-05
0.08,,3.92683e-05
0.06,,3.935697e-05
0.04,,3.948013e-05
0.02,,3.96415e-05
0.0,,3.98363e-05
-0.02,,4.00718e-05
-0.04,,4.033827e-05
-0.06,,4.065383e-05
-0.08,,4.10017e-05
-0.1,,4.138593e-05
-0.12,,4.179997e-05
-0.14,,4.224157e-05
-0.16,,4.271313e-05
-0.18,,4.320303e-05
-0.2,,4.37198e-05
-0.22,,4.425237e-05
-0.24,,4.479783e-05
-0.26,,4.535373e-05
-0.28,,4.592313e-05
-0.3,,4.650023e-05
-0.32,,4.70839e-05
-0.34,,4.767027e-05
-0.36,,4.829933e-05
-0.38,,4.892443e-05
-0.4,,4.9502e-05
-0.42,,5.008177e-05
-0.44,,5.064953e-05
-0.46,,5.121277e-05
-0.48,,5.176213e-05
