V,IDS Indo,IDS Voltando
-0.6,6.743373e-05,
-0.58,6.739997e-05,
-0.56,6.73683e-05,
-0.54,6.733883e-05,
-0.52,6.731057e-05,
-0.5,6.727327e-05,
-0.48,6.724017e-05,
-0.46,6.720997e-05,
-0.44,6.7181e-05,
-0.42,6.714787e-05,
-0.4,6.71151e-05,
-0.38,6.708213e-05,
-0.36,6.704797e-05,
-0.34,6.70189e-05,
-0.32,6.69899e-05,
-0.3,6.695913e-05,
-0.28,6.6929e-05,
-0.26,6.69027e-05,
-0.24,6.687723e-05,
-0.22,6.68515e-05,
-0.2,6.682843e-05,
-0.18,6.6808e-05,
-0.16,6.678907e-05,
-0.14,6.676853e-05,
-0.12,6.675037e-05,
-0.1,6.673367e-05,
-0.08,6.671753e-05,
-0.06,6.67018e-05,
-0.04,6.668877e-05,
-0.02,6.667863e-05,
0.0,6.667523e-05,
0.02,6.66671e-05,
0.04,6.665923e-05,
0.06,6.665327e-05,
0.08,6.66505e-05,
0.1,6.664363e-05,
0.12,6.664277e-05,
0.14,6.663523e-05,
0.16,6.663607e-05,
0.18,6.66366e-05,
0.2,6.663793e-05,
0.22,6.663713e-05,
0.24,6.663407e-05,
0.26,6.663737e-05,
0.28,6.66448e-05,
0.3,6.664493e-05,
0.32,6.664863e-05,
0.34,6.665407e-05,
0.36,6.665867e-05,
0.38,6.66608e-05,
0.4,6.666543e-05,
0.42,6.667277e-05,
0.44,6.667663e-05,
0.46,6.668687e-05,
0.48,6.669343e-05,
0.5,6.670317e-05,
0.52,6.67117e-05,
0.54,6.671737e-05,
0.56,6.67239e-05,
0.58,6.67334e-05,
0.6,6.673903e-05,
0.58,,6.673117e-05
0.56,,6.672077e-05
0.54,,6.670953e-05
0.52,,6.669697e-05
0.5,,6.66884e-05
0.48,,6.668083e-05
0.46,,6.66679e-05
0.44,,6.665713e-05
0.42,,6.664853e-05
0.4,,6.663953e-05
0.38,,6.663247e-05
0.36,,6.662763e-05
0.34,,6.662113e-05
0.32,,6.66157e-05
0.3,,6.66062e-05
0.28,,6.660077e-05
0.26,,6.659907e-05
0.24,,6.65986e-05
0.22,,6.659743e-05
0.2,,6.659503e-05
0.18,,6.659223e-05
0.16,,6.65922e-05
0.14,,6.65915e-05
0.12,,6.659107e-05
0.1,,6.659053e-05
