V,IDS Indo,IDS Voltando
-0.6,6.539033e-05,
-0.58,6.535843e-05,
-0.56,6.53239e-05,
-0.54,6.52886e-05,
-0.52,6.525887e-05,
-0.5,6.522627e-05,
-0.48,6.51926e-05,
-0.46,6.51604e-05,
-0.44,6.51323e-05,
-0.42,6.50945e-05,
-0.4,6.506117e-05,
-0.38,6.50286e-05,
-0.36,6.499423e-05,
-0.34,6.496467e-05,
-0.32,6.493413e-05,
-0.3,6.490123e-05,
-0.28,6.487207e-05,
-0.26,6.48483e-05,
-0.24,6.482107e-05,
-0.22,6.47956e-05,
-0.2,6.477063e-05,
-0.18,6.4747e-05,
-0.16,6.472757e-05,
-0.14,6.470563e-05,
-0.12,6.468467e-05,
-0.1,6.466783e-05,
-0.08,6.46524e-05,
-0.06,6.463867e-05,
-0.04,6.462843e-05,
-0.02,6.461387e-05,
0.0,6.460533e-05,
0.02,6.459157e-05,
0.04,6.458397e-05,
0.06,6.457643e-05,
0.08,6.457377e-05,
0.1,6.457167e-05,
0.12,6.456737e-05,
0.14,6.456553e-05,
0.16,6.456193e-05,
0.18,6.45579e-05,
0.2,6.45577e-05,
0.22,6.45549e-05,
0.24,6.45551e-05,
0.26,6.455587e-05,
0.28,6.45596e-05,
0.3,6.455997e-05,
0.32,6.456323e-05,
0.34,6.45684e-05,
0.36,6.457217e-05,
0.38,6.457557e-05,
0.4,6.45789e-05,
0.42,6.45807e-05,
0.44,6.458513e-05,
0.46,6.45925e-05,
0.48,6.459827e-05,
0.5,6.460637e-05,
0.52,6.46143e-05,
0.54,6.462247e-05,
0.56,6.462797e-05,
0.58,6.463333e-05,
0.6,6.46387e-05,
0.58,,6.462523e-05
0.56,,6.46199e-05
0.54,,6.460833e-05
0.52,,6.4601e-05
0.5,,6.459187e-05
0.48,,6.45806e-05
0.46,,6.457277e-05
0.44,,6.456577e-05
0.42,,6.455733e-05
0.4,,6.455303e-05
0.38,,6.454483e-05
0.36,,6.45379e-05
0.34,,6.453093e-05
0.32,,6.452463e-05
0.3,,6.451787e-05
0.28,,6.450953e-05
0.26,,6.45084e-05
0.24,,6.450537e-05
0.22,,6.450353e-05
0.2,,6.449693e-05
0.18,,6.44961e-05
0.16,,6.4495e-05
0.14,,6.449657e-05
0.12,,6.44934e-05
0.1,,6.449447e-05
0.08,,6.44991e-05
0.06,,6.45049e-05
0.04,,6.45081e-05
0.02,,6.45166e-05
0.0,,6.452297e-05
-0.02,,6.453033e-05
-0.04,,6.454127e-05
-0.06,,6.455453e-05
-0.08,,6.456693e-05
-0.1,,6.457877e-05
-0.12,,6.45934e-05
-0.14,,6.46126e-05
-0.16,,6.4631e-05
-0.18,,6.465577e-05
-0.2,,6.46767e-05
-0.22,,6.47044e-05
-0.24,,6.47333e-05
-0.26,,6.47638e-05
-0.28,,6.479367e-05
-0.3,,6.4825e-05
-0.32,,6.485987e-05
-0.34,,6.48964e-05
-0.36,,6.493183e-05
-0.38,,6.49673e-05
-0.4,,6.500507e-05
-0.42,,6.50467e-05
-0.44,,6.508823e-05
-0.46,,6.512727e-05
-0.48,,6.517103e-05
-0.5,,6.521357e-05
-0.52,,6.52558e-05
-0.54,,6.529523e-05
-0.56,,6.533133e-05
-0.58,,6.536397e-05
-0.6,,6.539977e-05
-0.6,,
-0.58,,
-0.56,,
-0.54,,
-0.52,,
-0.5,,
-0.48,,
-0.46,,
-0.44,,
-0.42,,
-0.4,,
-0.38,,
-0.36,,
-0.34,,
-0.32,,
-0.3,,
-0.28,,
-0.26,,
-0.24,,
