Type,Chip,Disp,Electrolyte,Potential [V],Period [s],Pulses #,IDSant (2-3s) [A],Std IDSant [A],"IDSdep (+3, +4s) [A]",Std IDSdep [A],delIDS [A],Std del IDS [A],RatioIDS,Std RazIDS
Standard,1,2,MgCl2,-0.5,0.25,10,1.0040387014925372e-05,1.4454989127994818e-07,1.0255024427860695e-05,1.380876037513724e-07,2.146374129353237e-07,1.999071218812398e-07,1.021377404338723,0.020133964734161
Standard,1,2,MgCl2,-0.5,0.15,10,1.1947319900497511e-05,1.2579104579416657e-07,1.19689631840796e-05,1.3336374559006274e-07,2.1643283582089854e-08,1.8332832797961444e-07,1.0018115597273989,0.0153578177588387
Standard,1,2,MgCl2,-0.5,0.125,10,1.205081194029851e-05,1.233999848327237e-07,1.2102410945273631e-05,1.2825628241767337e-07,5.159900497512112e-08,1.7798098279400085e-07,1.0042817865908746,0.0147996440262757
Standard,1,2,MgCl2,-0.5,0.11,10,1.20348592039801e-05,1.4471057330880565e-07,1.2050809950248758e-05,1.3220480967233193e-07,1.5950746268657027e-08,1.9600832055772722e-07,1.0013253787184633,0.0162984843272214
Standard,1,2,MgCl2,-0.5,0.105,10,1.208147064676617e-05,1.4439797499992724e-07,1.2102291542288558e-05,1.4008314594593256e-07,2.0820895522388053e-08,2.011816665657909e-07,1.0017233742589078,0.0166668744350446
Standard,1,2,MgCl2,-0.5,0.25,20,1.0482231343283584e-05,1.398932795479702e-07,1.0638032835820895e-05,1.359496543446061e-07,1.55801492537313e-07,1.9507034161836185e-07,1.014863390001132,0.0187523842313304
Standard,1,2,MgCl2,-0.5,0.15,20,1.1369844278606964e-05,1.2594593593920348e-07,1.15188815920398e-05,1.2906076440751746e-07,1.4903731343283546e-07,1.8033041809149855e-07,1.0131081226603305,0.0159621616383524
Standard,1,2,MgCl2,-0.5,0.125,20,1.144830895522388e-05,1.4649985911052246e-07,1.157842537313433e-05,1.4074730158331648e-07,1.3011641791044988e-07,2.031551417571999e-07,1.0113655578670488,0.0178505931514626
Standard,1,2,MgCl2,-0.5,0.11,20,1.1493973134328358e-05,1.3004602675447968e-07,1.1638142288557213e-05,1.351461888206113e-07,1.441691542288547e-07,1.8755388939545658e-07,1.0125430216813605,0.0164163051381925
Standard,1,2,MgCl2,-0.5,0.105,20,1.1504057711442786e-05,1.2745849855045477e-07,1.1636248756218906e-05,1.34783854785895e-07,1.321910447761205e-07,1.8550567744325648e-07,1.01149081898682,0.0162129769228896
Standard,1,2,MgCl2,-0.5,0.25,50,1.1017489054726367e-05,1.3369088891768965e-07,1.114399552238806e-05,1.278083030552037e-07,1.2650646766169222e-07,1.8495463257094377e-07,1.0114823320480109,0.0168883545723614
Standard,1,2,MgCl2,-0.5,0.15,50,1.1419903482587064e-05,1.340265915324676e-07,1.1619755721393037e-05,1.3501091170569124e-07,1.998522388059741e-07,1.902395161826609e-07,1.0175003439486776,0.0168039234407226
Standard,1,2,MgCl2,-0.5,0.125,50,1.143240945273632e-05,1.35495953667255e-07,1.1702018905472635e-05,1.3263547052276788e-07,2.696094527363164e-07,1.896083371083533e-07,1.0235829073347076,0.0167860337466075
Standard,1,2,MgCl2,-0.5,0.11,50,1.1476894029850748e-05,1.3049059760832982e-07,1.1723544278606967e-05,1.529128695682676e-07,2.4665024875621963e-07,2.010227393699058e-07,1.0214910278089784,0.017675023465725
Standard,1,2,MgCl2,-0.5,0.105,50,1.150316766169154e-05,1.255714748619484e-07,1.1769212437810944e-05,1.4380076840729114e-07,2.66044776119404e-07,1.9091059764594608e-07,1.0231279577890011,0.0167634913792242
Standard,1,2,MgCl2,0.5,0.25,10,9.940038805970147e-06,1.3272377836908953e-07,9.968560746268656e-06,1.3924778751183205e-07,2.852194029850732e-08,1.923682605616309e-07,1.002869399290612,0.0193793222572885
Standard,1,2,MgCl2,0.5,0.15,10,1.1534244278606964e-05,1.286063267479557e-07,1.1454e-05,1.3436902098326064e-07,-8.024427860696306e-08,1.8599629318779962e-07,0.9930429530822582,0.0160720342976674
Standard,1,2,MgCl2,0.5,0.125,10,1.162568656716418e-05,1.2164086882564065e-07,1.156282487562189e-05,1.386474402147743e-07,-6.286169154228988e-08,1.844440664449961e-07,0.9945928620061169,0.0158279648544443
Standard,1,2,MgCl2,0.5,0.11,10,1.164828606965174e-05,1.2785466555810596e-07,1.1629602487562188e-05,1.275927049003237e-07,-1.8683582089554543e-08,1.8062866286599202e-07,0.9983960230734518,0.0154944307434757
Standard,1,2,MgCl2,0.5,0.105,10,1.1686656218905473e-05,1.2798288351819497e-07,1.1616968656716418e-05,1.3422040367502464e-07,-6.968756218905514e-08,1.854581765151335e-07,0.9940369973340774,0.0158242312400082
Standard,1,2,MgCl2,0.5,0.25,20,1.033894577114428e-05,1.261835409018441e-07,1.0242979651741294e-05,1.4321551634295114e-07,-9.596611940298612e-08,1.908742259078094e-07,0.9907179976056336,0.0183869785373693
Standard,1,2,MgCl2,0.5,0.15,20,1.1105264676616917e-05,1.3180458488239309e-07,1.0979890049751243e-05,1.3405410624258238e-07,-1.2537462686567338e-07,1.879972127360337e-07,0.9887103432005848,0.0168349854282596
Standard,1,2,MgCl2,0.5,0.125,20,1.1137944278606966e-05,1.2761404930336624e-07,1.1044528855721392e-05,1.3457219164145368e-07,-9.341542288557217e-08,1.854589451678892e-07,0.9916128667419356,0.0165851157232322
Standard,1,2,MgCl2,0.5,0.11,20,1.1157749253731344e-05,1.2835866005821472e-07,1.1033025373134328e-05,1.3494182970074605e-07,-1.24723880597016e-07,1.8623974606652974e-07,0.9888217706133424,0.0166031483677144
Standard,1,2,MgCl2,0.5,0.105,20,1.117275671641791e-05,1.251788858680418e-07,1.1092630348258706e-05,1.2658329994267865e-07,-8.012636815920349e-08,1.7802551865264257e-07,0.9928284155653848,0.0158774983524022
Standard,1,2,MgCl2,0.5,0.25,50,1.0799588557213927e-05,1.317042942291859e-07,1.0569236815920398e-05,1.2459319258214268e-07,-2.3035174129353134e-07,1.812994339655225e-07,0.9786703224781966,0.0165996221295743
Standard,1,2,MgCl2,0.5,0.15,50,1.1052896019900497e-05,1.315988924120551e-07,1.085131094527363e-05,1.2822797073806496e-07,-2.0158507462686602e-07,1.837407983102329e-07,0.9817617867512808,0.0164689402343798
Standard,1,2,MgCl2,0.5,0.125,50,1.1140909950248755e-05,1.312826751726882e-07,1.0911148258706469e-05,1.3731674227658037e-07,-2.2976169154229e-07,1.899763893486513e-07,0.9793767571438668,0.0168851177197061
Standard,1,2,MgCl2,0.5,0.11,50,1.1115409452736318e-05,1.370118697784943e-07,1.0914232338308458e-05,1.297947560535672e-07,-2.0117711442786053e-07,1.887297834450199e-07,0.9819010612894394,0.016817853550267
Standard,1,2,MgCl2,0.5,0.105,50,1.1091388557213934e-05,1.326732132663109e-07,1.083772736318408e-05,1.294247070597901e-07,-2.536611940298548e-07,1.8534545129546745e-07,0.9771298974225484,0.0165160331146296
Standard,1,2,MgCl2,-0.8,0.25,10,9.997742487562187e-06,1.3785362653837274e-07,1.0178572288557216e-05,1.3099586598338265e-07,1.808298009950271e-07,1.901671350536614e-07,1.0180870632765338,0.0192025629349315
Standard,1,2,MgCl2,-0.8,0.15,10,1.1477778109452735e-05,1.234434498805341e-07,1.133882935323383e-05,1.3209779439521153e-07,-1.3894875621890709e-07,1.807985414832971e-07,0.9878941067779944,0.0156634438784403
Standard,1,2,MgCl2,-0.8,0.125,10,1.1560516417910448e-05,1.376280435779876e-07,1.137162686567164e-05,1.2439444390577425e-07,-1.888895522388076e-07,1.8551403195912506e-07,0.9836608032538956,0.015903436589042
Standard,1,2,MgCl2,-0.8,0.11,10,1.16314407960199e-05,1.4675408589665622e-07,1.1454533830845772e-05,1.2906504464707388e-07,-1.7690696517412934e-07,1.9543425359213346e-07,0.9847906232532548,0.01665862362295
Standard,1,2,MgCl2,-0.8,0.105,10,1.1605941791044776e-05,1.3188958429222578e-07,1.1455662189054729e-05,1.388754199388216e-07,-1.5027960199004949e-07,1.915234834373064e-07,0.9870514944245192,0.0164012093327703
Standard,1,2,MgCl2,-0.8,0.25,20,1.030940646766169e-05,1.3104842643832158e-07,1.0436211044776122e-05,1.3450826219754285e-07,1.2680457711443265e-07,1.8779287172670615e-07,1.012299891124886,0.0183251312494706
