Type,Electrolyte,Potential [V],Period [s],Pulses #,IDSant (2-3s) [A],IDSant (2-3s) [A],"IDSdep (+3, +4s) [A]","IDSdep (+3, +4s) [A]",delIDS [A],delIDS [A],RatioIDS,RatioIDS
,,,,,mean,std,mean,std,mean,std,mean,std
Enode,KCl,-0.8,0.105,10,8.163345074626865e-06,4.407788637973949e-07,8.286547810945274e-06,4.019958128362816e-07,1.232027363184076e-07,4.2210393960029784e-08,1.015297198017857,0.005967164241893848
Enode,KCl,-0.8,0.105,20,8.064557578772803e-06,4.468395352841103e-07,8.377921840796019e-06,3.896639269583279e-07,3.133642620232176e-07,6.356407365869794e-08,1.0392140896044157,0.010148669678052655
Enode,KCl,-0.8,0.105,50,8.093460199004975e-06,4.983513522549398e-07,8.583365870646765e-06,4.352875599420806e-07,4.89905671641791e-07,6.522496242692341e-08,1.0610232127764376,0.012120310509123556
Enode,KCl,-0.8,0.11,10,8.112656451077942e-06,5.413478112710334e-07,8.296788407960199e-06,5.156392175224972e-07,1.841319568822559e-07,2.5708681012498255e-08,1.022914080133645,0.004882626208110615
Enode,KCl,-0.8,0.11,20,8.036722172470977e-06,4.862053962311904e-07,8.35038303482587e-06,4.3761493310139055e-07,3.136608623548924e-07,6.855885243426636e-08,1.039391936459116,0.010540754789086677
Enode,KCl,-0.8,0.11,50,8.080471956882255e-06,4.802089939825453e-07,8.54574464344942e-06,3.8943938967327857e-07,4.652726865671635e-07,9.582376136821014e-08,1.0581878949936439,0.01574124702217883
Enode,KCl,-0.8,0.125,10,7.996946301824211e-06,5.261232222759111e-07,8.248610414593698e-06,4.7481116410057006e-07,2.5166411276948645e-07,7.84055457810908e-08,1.0318727735746236,0.011354977880096486
Enode,KCl,-0.8,0.125,20,7.947384411276948e-06,5.772931482533918e-07,8.300524825870648e-06,4.578284640095654e-07,3.5314041459369843e-07,1.197882130875737e-07,1.0453616349403563,0.019164706331836947
Enode,KCl,-0.8,0.125,50,7.976484908789386e-06,4.638060948849502e-07,8.445414610281923e-06,3.9289040795424743e-07,4.6892970149253603e-07,7.695211788052553e-08,1.0592850137555274,0.013179164936236653
Enode,KCl,-0.8,0.15,10,7.923325174129353e-06,5.003627150119159e-07,8.157058490878937e-06,5.157186112319779e-07,2.337333167495845e-07,1.6153137619511377e-08,1.0294963149260126,0.0006237817780127542
Enode,KCl,-0.8,0.15,20,7.933269237147596e-06,5.176743422056581e-07,8.267292603648424e-06,4.525931806684345e-07,3.3402336650082793e-07,6.689216194814452e-08,1.0426020897511639,0.011598715617115448
Enode,KCl,-0.8,0.15,50,7.940524461028192e-06,5.010495207458832e-07,8.42528943615257e-06,4.48531542063566e-07,4.847649751243785e-07,7.158742723105135e-08,1.0615210973997902,0.012533561223653714
Enode,KCl,-0.8,0.25,10,7.772188358208955e-06,5.292370137971439e-07,8.060722205638474e-06,5.229404963723018e-07,2.885338474295172e-07,1.3642078163072182e-08,1.037282650389681,0.0037958515557373635
Enode,KCl,-0.8,0.25,20,7.736484958540631e-06,4.798484790269423e-07,8.085552603648424e-06,5.080476718969718e-07,3.490676451077937e-07,3.321307669195683e-08,1.045084490605671,0.002413750313756567
Enode,KCl,-0.8,0.25,50,7.804293731343285e-06,5.071598089961512e-07,8.25908782752902e-06,4.983676251980641e-07,4.547940961857366e-07,2.6984780587771093e-08,1.0584980556022383,0.005994652113737836
Enode,KCl,-0.5,0.105,10,8.334449320066334e-06,4.7670739263946287e-07,8.379978043117744e-06,4.346659532939438e-07,4.5528723051409194e-08,4.4107567358705924e-08,1.0056755648267275,0.005791401806153964
