Type,Chip,Disp,Electrolyte,Potential [V],Period [s],A1_first [A],A2_first [A],Rat_first,A1_last [A],A2_last [A],Rat_last
Standard,1,2,MgCl2,-0.5,2.1,1.3304484715719063e-05,1.6225084715719067e-05,1.2195199635615617,-1.2563945284280937e-05,-7.604845284280935e-06,0.6052911814090393
Standard,1,2,MgCl2,-0.5,1.6,2.235776150501672e-05,1.944906150501672e-05,0.8699020025172316,-1.946081849498328e-05,-1.7923018494983276e-05,0.920979685392142
Standard,1,2,MgCl2,-0.5,1.1,2.1643949464882942e-05,1.8306149464882945e-05,0.8457860010523707,-1.931633053511705e-05,-1.8028870535117056e-05,0.9333486244885176
Standard,1,2,MgCl2,-0.5,0.85,1.808455668896321e-05,1.243405668896321e-05,0.6875510913989707,-1.6450363311036786e-05,-1.3529743311036788e-05,0.8224586323853096
Standard,1,2,MgCl2,-0.5,0.6,1.3093848227424753e-05,1.4548248227424749e-05,1.1110750617189675,-1.372821177257525e-05,-7.99424177257525e-06,0.5823221483620532
Standard,1,2,MgCl2,-0.5,0.5,1.3288190233333337e-05,1.5779690233333335e-05,1.1874973157556163,-1.2842459766666663e-05,-7.799909766666665e-06,0.6073532569603041
Standard,1,2,MgCl2,-0.5,0.3,2.388588793333333e-05,2.8511187933333336e-05,1.1936415348221276,-1.0148368066666663e-05,-2.1020212066666665e-05,2.0712898791786696
Standard,1,2,MgCl2,-0.5,0.2,2.70711535e-05,2.58670535e-05,0.9555209200819612,-2.41769465e-05,-2.23769465e-05,0.9255489108188248
Standard,1,2,MgCl2,-0.5,0.18,2.564473493333333e-05,2.538243493333333e-05,0.9897717796389052,-2.3207265066666665e-05,-2.0894565066666666e-05,0.900345861808516
Standard,1,2,MgCl2,-0.5,0.15,2.2021686633333333e-05,1.979248663333333e-05,0.898772512881654,-2.023791336666667e-05,-1.740078336666667e-05,0.8598111401804417
Standard,1,2,MgCl2,-0.5,0.14,2.096595673333333e-05,1.8653256733333336e-05,0.8896926083834237,-1.9314843266666668e-05,-1.6227363266666665e-05,0.8401498807226492
Standard,1,2,MgCl2,-0.5,0.12,2.0404666254180603e-05,1.80085662541806e-05,0.8825709781207973,-1.88509737458194e-05,-1.55846437458194e-05,0.8267288446717836
Standard,1,2,MgCl2,-0.5,0.11,1.8511437926421407e-05,1.7045137926421407e-05,0.9207895137142672,-1.8252742073578595e-05,-1.5427482073578593e-05,0.8452144894936278
Standard,1,2,MgCl2,-0.5,0.105,1.872992233333333e-05,1.4271422333333335e-05,0.7619584363110102,-1.7771997666666663e-05,-1.4350697666666664e-05,0.8074892837501874
Standard,1,2,MgCl2,-0.5,0.102,1.9661142976588627e-05,1.331924297658863e-05,0.6774399124429555,-1.7615587023411373e-05,-1.4611517023411373e-05,0.8294652346238846
Standard,1,2,MgCl2,-0.5,0.101,1.5883363666666666e-05,1.0828863666666666e-05,0.6817739550591834,-1.5230256333333332e-05,-1.0521496333333331e-05,0.6908285785253472
Standard,1,2,MgCl2,0.5,2.1,-2.26360545819398e-05,-2.25525545819398e-05,0.9963111946166352,2.8612045418060205e-05,2.9041245418060205e-05,1.0150006751956673
Standard,1,2,MgCl2,0.5,1.6,-2.3903759397993312e-05,-2.2532859397993308e-05,0.9426491884738812,2.811914060200669e-05,2.8810540602006693e-05,1.0245882336798962
Standard,1,2,MgCl2,0.5,1.1,-2.3238592943143814e-05,-2.289289294314381e-05,0.9851238841849934,2.843860705685619e-05,2.809290705685619e-05,0.9878439897105772
Standard,1,2,MgCl2,0.5,0.85,-2.163337411371237e-05,-2.206257411371237e-05,1.0198397160675898,2.6443725886287623e-05,2.7135125886287624e-05,1.0261460886023828
Standard,1,2,MgCl2,0.5,0.6,-2.133177070234113e-05,-2.2106670702341137e-05,1.0363260983259566,2.6149329297658863e-05,2.5541329297658865e-05,0.976748925638623
Standard,1,2,MgCl2,0.5,0.5,-2.1125989866666667e-05,-2.1555189866666663e-05,1.0203162077947034,2.627161013333333e-05,2.643851013333333e-05,1.00635286528511
Standard,1,2,MgCl2,0.5,0.3,-1.87771377e-05,-1.7155887700000002e-05,0.9136582994755372,2.19209423e-05,2.20162423e-05,1.004347440848836
Standard,1,2,MgCl2,0.5,0.2,-1.2000677066666666e-05,-9.962203066666666e-06,0.8301367507286644,1.3188252933333335e-05,1.2329952933333334e-05,0.9349193555553786
Standard,1,2,MgCl2,0.5,0.18,-1.87379577e-05,-9.1535267e-06,0.4885018339005003,1.27929223e-05,1.27094223e-05,0.9934729534001782
Standard,1,2,MgCl2,0.5,0.15,-2.2634312e-05,-2.2634312e-05,1.0,2.8184688e-05,2.7850888e-05,0.988156689901978
Standard,1,2,MgCl2,0.5,0.14,-2.35360375e-05,-2.19982375e-05,0.9346618988009346,2.83080625e-05,2.82246625e-05,0.9970538428760356
Standard,1,2,MgCl2,0.5,0.12,-2.317739337792642e-05,-2.317739337792642e-05,1.0,2.729580662207358e-05,2.737930662207358e-05,1.0030590779439532
Standard,1,2,MgCl2,0.5,0.11,-2.258358635451505e-05,-2.241668635451505e-05,0.992609676896308,2.815191364548496e-05,2.798501364548496e-05,0.9940714509819204
Standard,1,2,MgCl2,0.5,0.105,-2.168452533333333e-05,-2.168452533333333e-05,1.0,2.7334374666666666e-05,2.794227466666667e-05,1.0222393966356698
Standard,1,2,MgCl2,0.5,0.102,-2.1692115284280936e-05,-1.9033695284280937e-05,0.8774476363802839,2.6551984715719065e-05,2.7076484715719063e-05,1.0197537022416816
Standard,1,2,MgCl2,0.5,0.101,-2.2603788466666666e-05,-1.7465868466666667e-05,0.7726965102519526,2.718991153333333e-05,2.727341153333333e-05,1.003070991970593
Standard,1,2,MgCl2,-0.8,2.1,4.205871163879599e-05,3.776721163879599e-05,0.8979640642144298,-4.228188836120401e-05,-3.602338836120401e-05,0.851981540026426
Standard,1,2,MgCl2,-0.8,1.6,4.167521541806021e-05,3.66207154180602e-05,0.8787168836610355,-4.11990845819398e-05,-3.41776845819398e-05,0.8295738832246304
Standard,1,2,MgCl2,-0.8,1.1,4.176810408026756e-05,3.525930408026756e-05,0.8441681722614999,-4.016439591973244e-05,-3.416819591973244e-05,0.850708572538144
