Type	Chip	Disp	Electrolyte	Potential [V]	Period [s]	A1_first [A]	A2_first [A]	Rat_first	A1_last [A]	A2_last [A]	Rat_last
Bicamada	1	1	MgCl2	-0.5	2.1	1.6195017725752496e-05	1.1748517725752496e-05	0.7254402511131927	-1.53119822742475e-05	-1.2570182274247504e-05	0.8209376192518654
Bicamada	1	1	MgCl2	-0.5	1.6	1.6176736789297652e-05	1.2326336789297651e-05	0.76197918961336	-1.550906321070234e-05	-1.242156321070234e-05	0.800922856651367
Bicamada	1	1	MgCl2	-0.5	1.1	1.4416840133779255e-05	1.243794013377926e-05	0.8627369117201106	-1.366885986622074e-05	-1.2989359866220748e-05	0.9502884654133288
Bicamada	1	1	MgCl2	-0.5	0.85	1.2819251170568556e-05	1.239005117056855e-05	0.966519105188812	-1.295384882943145e-05	-1.039084882943144e-05	0.8021437463299083
Bicamada	1	1	MgCl2	-0.5	0.6	1.1623614381270897e-05	1.4448814381270896e-05	1.2430569276758046	-1.1407685618729102e-05	-7.294885618729097e-06	0.6394711304764901
Bicamada	1	1	MgCl2	-0.5	0.5	1.2774609000000004e-05	2.1133009e-05	1.6542979123666322	-6.739890999999995e-06	-6.394191000000003e-06	0.9487083693193268
Bicamada	1	1	MgCl2	-0.5	0.3	2.525523766666665e-05	2.325523766666665e-05	0.920808506085068	-1.9468462333333344e-05	-2.1864562333333347e-05	1.1230759758513371
Bicamada	1	1	MgCl2	-0.5	0.2	2.1329348999999983e-05	1.9329348999999992e-05	0.9062324874519144	-1.904865100000001e-05	-1.639025100000001e-05	0.8604415609273328
Bicamada	1	1	MgCl2	-0.5	0.18	2.2325689999999995e-05	1.8325689999999992e-05	0.8208342049002739	-1.7848310000000004e-05	-1.6477410000000013e-05	0.9231916074967328
Bicamada	1	1	MgCl2	-0.5	0.15	1.5768495333333326e-05	1.1834595333333326e-05	0.7505215357051822	-1.4021904666666673e-05	-1.162580466666667e-05	0.8291173662237136
Bicamada	1	1	MgCl2	-0.5	0.14	1.2600364999999986e-05	1.294606499999998e-05	1.0274357131718004	-1.291043500000002e-05	-6.580435000000018e-06	0.5096989373324763
Bicamada	1	1	MgCl2	-0.5	0.12	1.2097053177257536e-05	1.3467953177257526e-05	1.1133251197553866	-1.2388546822742473e-05	-7.0002468227424686e-06	0.5650579460935364
Bicamada	1	1	MgCl2	-0.5	0.11	1.1064245484949832e-05	1.4402045484949834e-05	1.3016744345143327	-1.1800154515050173e-05	-6.399954515050161e-06	0.542361924743233
Bicamada	1	1	MgCl2	-0.5	0.105	1.207619966666666e-05	1.618889966666666e-05	1.3405624379789018	-1.2325900333333348e-05	-7.867500333333342e-06	0.6382901143583805
Bicamada	1	1	MgCl2	-0.5	0.102	1.1614038461538466e-05	1.4010138461538457e-05	1.2063106651433102	-1.1679461538461535e-05	-7.137561538461532e-06	0.6111207708469168
Bicamada	1	1	MgCl2	-0.5	0.101	1.1501048999999993e-05	1.1751448999999998e-05	1.0217719270650882	-1.1625551000000004e-05	-6.737951000000008e-06	0.5795812172687561
Bicamada	1	1	MgCl2	0.5	2.1	-2.3245527759197325e-05	-2.264952775919733e-05	0.9743606595567964	2.5578972240802668e-05	2.5578972240802668e-05	1.0
Bicamada	1	1	MgCl2	0.5	1.6	-2.262616321070234e-05	-2.254266321070234e-05	0.9963095819992802	2.560233678929765e-05	2.6602336789297663e-05	1.0390589346679493
Bicamada	1	1	MgCl2	0.5	1.1	-2.217447993311037e-05	-2.268707993311037e-05	1.0231166639103269	2.4624820066889622e-05	2.5624820066889623e-05	1.04060943378606
Bicamada	1	1	MgCl2	0.5	0.85	-2.144386421404682e-05	-2.083586421404681e-05	0.9716469012333264	2.3675935785953185e-05	2.3675935785953185e-05	1.0
Bicamada	1	1	MgCl2	0.5	0.6	-1.9477437458193967e-05	-2.0323837458193967e-05	1.0434554084343333	2.275886254180604e-05	2.1758862541806023e-05	0.9560610729924178
Bicamada	1	1	MgCl2	0.5	0.5	-1.793378133333334e-05	-1.836288133333335e-05	1.02392691156563	2.075281866666665e-05	2.075281866666665e-05	1.0
Bicamada	1	1	MgCl2	0.5	0.3	-1.6649439000000004e-05	-1.5362039e-05	0.9226760733499788	1.7761561000000003e-05	1.7515861e-05	0.9861667564016472
Bicamada	1	1	MgCl2	0.5	0.2	-8.192090666666671e-06	-7.762990666666672e-06	0.9476202086305036	1.303910933333333e-05	1.3468209333333329e-05	1.0329086894687691
Bicamada	1	1	MgCl2	0.5	0.18	-2.322433633333333e-05	-2.314093633333333e-05	0.996408939364166	2.677896366666668e-05	2.577896366666667e-05	0.9626572554320028
Bicamada	1	1	MgCl2	0.5	0.15	-2.182999e-05	-2.242609e-05	1.0273064715100648	2.480241e-05	2.580241e-05	1.0403186625815797
Bicamada	1	1	MgCl2	0.5	0.14	-2.1571080333333343e-05	-2.226248033333334e-05	1.0320521730630057	2.4882519666666656e-05	2.4882519666666656e-05	1.0
Bicamada	1	1	MgCl2	0.5	0.12	-1.987146622073577e-05	-2.020526622073577e-05	1.0167979552335036	2.2877433779264226e-05	2.2877433779264226e-05	1.0
Bicamada	1	1	MgCl2	0.5	0.11	-2.051939464882943e-05	-1.7431794648829435e-05	0.8495277247286566	2.182560535117056e-05	2.182560535117056e-05	1.0
Bicamada	1	1	MgCl2	0.5	0.105	-1.8598356e-05	-1.825265600000001e-05	0.9814123355849306	2.186304399999999e-05	2.186304399999999e-05	1.0
Bicamada	1	1	MgCl2	0.5	0.102	-1.9562005685618737e-05	-1.6391005685618737e-05	0.8379000573376174	2.184119431438126e-05	2.184119431438126e-05	1.0
Bicamada	1	1	MgCl2	0.5	0.101	-2.0604568e-05	-1.2045368000000004e-05	0.5845969689828004	2.2907232e-05	2.1907231999999987e-05	0.9563456641116652
Bicamada	1	1	MgCl2	-0.8	2.1	2.8821816387959863e-05	2.182181638795986e-05	0.7571284229357518	-2.6948483612040137e-05	-2.1977483612040134e-05	0.8155369307021401
Bicamada	1	1	MgCl2	-0.8	1.6	2.876209230769232e-05	2.1762092307692305e-05	0.7566241035208734	-2.6495607692307685e-05	-2.2037207692307687e-05	0.8317306003404338
Bicamada	1	1	MgCl2	-0.8	1.1	2.777413110367893e-05	2.1774131103678923e-05	0.7839716397390644	-2.587566889632107e-05	-2.167946889632107e-05	0.837832211533801
Bicamada	1	1	MgCl2	-0.8	0.85	2.4698063545150505e-05	2.3698063545150508e-05	0.9595109957437796	-2.312643645484949e-05	-1.1908836454849498e-05	0.5149447247568606
Bicamada	1	1	MgCl2	-0.8	0.6	2.3768154180602008e-05	3.0768154180602e-05	1.2945117213061892	-1.226794581939799e-05	-1.3817645819397994e-05	1.126321066526853
Bicamada	1	1	MgCl2	-0.8	0.5	2.6819656333333333e-05	4.781965633333332e-05	1.7830077961849091	-1.3849543666666667e-05	-2.155054366666668e-05	1.556047201651482
Bicamada	1	1	MgCl2	-0.8	0.3	4.587075566666666e-05	4.2870755666666666e-05	0.9345988537489904	-3.6138344333333336e-05	-3.871324433333334e-05	1.071251188937977
Bicamada	1	1	MgCl2	-0.8	0.2	3.790131033333332e-05	3.390131033333332e-05	0.8944627516879781	-3.3973889666666687e-05	-3.0123389666666687e-05	0.8866629627110993
Bicamada	1	1	MgCl2	-0.8	0.18	3.6890784000000006e-05	3.3890784e-05	0.9186788765454263	-3.3042716e-05	-2.9621316e-05	0.8964552429648942
Bicamada	1	1	MgCl2	-0.8	0.15	3.090588133333333e-05	2.4905881333333333e-05	0.8058621938236481	-2.7627418666666668e-05	-2.2584818666666663e-05	0.8174784238498526
Bicamada	1	1	MgCl2	-0.8	0.14	2.392285066666667e-05	2.392285066666667e-05	1.0	-2.3676549333333333e-05	-1.2458949333333334e-05	0.5262147434547332
Bicamada	1	1	MgCl2	-0.8	0.12	2.181105117056856e-05	2.7811051170568564e-05	1.2750899052539155	-2.164254882943144e-05	-1.3429048829431434e-05	0.6204929435653823
Bicamada	1	1	MgCl2	-0.8	0.11	2.1962791304347816e-05	2.696279130434783e-05	1.2276577658419128	-2.201530869565217e-05	-1.3706408695652173e-05	0.6225853511815196
Bicamada	1	1	MgCl2	-0.8	0.105	2.4939776e-05	3.5939776e-05	1.441062501924636	-1.2275123999999993e-05	-2.3230424e-05	1.892479782688958
Bicamada	1	1	MgCl2	-0.8	0.102	2.2993532107023403e-05	2.79935321070234e-05	1.2174524547480352	-7.083467892976601e-06	-1.3926067892976602e-05	1.96599576695824
