Type,Electrolyte,Potential [V],Period [s],A1_first [A],A1_first [A],A2_first [A],A2_first [A],Rat_first,Rat_first,A1_last [A],A1_last [A],A2_last [A],A2_last [A],Rat_last,Rat_last
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Bare,Nenhum,-0.8,0.101,1.852003092588889e-05,9.635161149857011e-07,2.3081730925888887e-05,1.2857611856303123e-06,1.2499948935332805,0.12176350507786866,-3.164323574077778e-05,1.1908070674306254e-06,-1.7147402407444444e-05,1.6580053862193852e-06,0.5411193349922316,0.031553192578884066
Bare,Nenhum,-0.8,0.102,1.8723323518617617e-05,5.581269460845267e-07,2.5033490185284282e-05,2.562287533586603e-06,1.3368460989994844,0.12601311402445087,-3.171807648138239e-05,2.3846924847245563e-06,-1.5712243148049053e-05,1.6197732527288019e-06,0.4996316547982611,0.08927991509504811
Bare,Nenhum,-0.8,0.105,1.9818251417444442e-05,2.3476171602891757e-07,3.251801808411111e-05,2.633207076327586e-06,1.642022789974409,0.15336285013097706,-2.897011524922222e-05,1.825529105656074e-06,-1.7327348582555557e-05,5.273915423570771e-07,0.5994009694767862,0.0347410021778077
Bare,Nenhum,-0.8,0.11,1.980343897246377e-05,2.644734820021661e-06,2.0832605639130436e-05,2.345189257585907e-06,1.075319993560874,0.26770525786322025,-3.4548027694202903e-05,9.573497144302187e-07,-1.665476102753623e-05,3.0669746869036663e-06,0.48133840163830444,0.08061351640329499
Bare,Nenhum,-0.8,0.12,2.2092757690301005e-05,4.6235943788982605e-06,2.0777457690301004e-05,4.616399510484665e-06,1.0065190058419775,0.47416723514233927,-3.4972742309699e-05,1.4384998627946152e-06,-2.0278242309699e-05,4.793131379687912e-06,0.576700849215908,0.11628491311678686
Bare,Nenhum,-0.8,0.14,3.0256611329444443e-05,2.2643766169123707e-06,1.5673344662777777e-05,1.56444385994845e-06,0.5223930239054544,0.09131615476511089,-3.768078867055555e-05,2.2939943992189468e-07,-2.960235533722222e-05,1.7542521455119082e-06,0.7855603096708363,0.04502633109841312
Bare,Nenhum,-0.8,0.15,3.949564626588889e-05,4.666609132278606e-07,2.9676779599222223e-05,1.2876607190390816e-06,0.7513490261680875,0.02989630597907637,-4.222632040077777e-05,7.381583043141938e-07,-3.729502040077778e-05,9.706941117357216e-07,0.8831434378558304,0.00961858299637929
Bare,Nenhum,-0.8,0.18,4.5601761940777784e-05,2.0607473294214722e-06,4.055129527411111e-05,1.7214909808615903e-06,0.8893316154858116,0.0066175565362120575,-4.5708571392555555e-05,1.1493438243943193e-06,-4.3284638059222226e-05,8.861181705497982e-07,0.9470514290891673,0.006595064067945378
Bare,Nenhum,-0.8,0.2,4.536715801633333e-05,1.6201427027421223e-06,4.0030591349666664e-05,1.666304580226398e-06,0.882259360778066,0.007512624849521149,-4.517624198366666e-05,6.11823383655885e-07,-4.231920865033333e-05,7.85002749777784e-07,0.9368225867230512,0.017845835898133103
