Type	Electrolyte	Potential [V]	Period [s]	A1_first [A]	A1_first [A]	A2_first [A]	A2_first [A]	Rat_first	Rat_first	A1_last [A]	A1_last [A]	A2_last [A]	A2_last [A]	Rat_last	Rat_last
				mean	std	mean	std	mean	std	mean	std	mean	std	mean	std
Enode	KCl	-0.8	0.101	1.66957696e-05	1.1122123599263052e-06	1.7923636266666667e-05	4.551691920002637e-07	1.0774145146929366	0.08997636890739466	-1.8424373333333402e-07	4.024325170973801e-08	-1.5621857066666666e-05	1.7993872405288903e-06	89.6609874751652	33.5002830803861
Enode	KCl	-0.8	0.102	2.4555881767337804e-05	4.6303643516887797e-07	2.1416681767337805e-05	4.0387822279028264e-07	0.8721610994690826	0.0005907591416162993	-1.7179311565995527e-05	1.507543055916779e-06	-1.5422944899328858e-05	1.525948418948284e-06	0.8975742819643039	0.03348650602570062
Enode	KCl	-0.8	0.105	1.677933531111111e-05	8.632153482550304e-07	2.233053531111111e-05	9.577319101692203e-07	1.3317330712377793	0.04710018499245138	-2.477146888888886e-07	8.11916847243837e-08	-1.5466764688888888e-05	1.7214412210913225e-06	65.45259709431112	14.821025547358785
Enode	KCl	-0.8	0.11	2.4850903266219234e-05	1.0065227488166797e-06	2.3623036599552572e-05	1.370274110781283e-06	0.9501939476320261	0.01967189022469426	-1.7377006733780762e-05	1.0253378557250311e-06	-1.6105436733780758e-05	1.2307911083075147e-06	0.9262013543046219	0.016552886714060747
Enode	KCl	-0.8	0.12	2.5103356353467564e-05	1.2376221141286624e-06	2.417352302013423e-05	1.1726729009249536e-06	0.9630040354626018	0.007967522381995013	-1.7951036979865772e-05	1.8635988832003948e-06	-1.6464896979865773e-05	1.4735876982308072e-06	0.9180804611213061	0.012562237318703581
Enode	KCl	-0.8	0.14	2.5334550377777778e-05	1.0723654953687003e-06	2.467888371111111e-05	9.529664596544062e-07	0.9742298464326247	0.006979527371984366	-1.820067628888889e-05	1.5613058325763436e-06	-1.644432962222222e-05	1.3730483012198413e-06	0.9037015403282963	0.015330602514769738
Enode	KCl	-0.8	0.15	2.6280427266666664e-05	1.331117541820564e-06	2.5612893933333334e-05	1.0931279854538643e-06	0.9748552309652377	0.007572880107411493	-1.8836306066666668e-05	1.6748695770464472e-06	-1.7425632733333332e-05	1.5973990634673642e-06	0.9249950526429744	0.00965024429837475
Enode	KCl	-0.8	0.18	2.8620153866666665e-05	9.112335196933473e-07	2.7563120533333335e-05	6.137467358659066e-07	0.963348778358247	0.01811139194259606	-2.1169612799999997e-05	1.5912667663759965e-06	-1.9822512799999998e-05	1.5345959418555038e-06	0.936347665051953	0.015547325264210559
Enode	KCl	-0.8	0.2	2.8751707844444445e-05	1.4466832314395244e-06	2.7996707844444443e-05	1.233309782764106e-06	0.9739898917469514	0.013280026278230075	-2.1451292155555558e-05	1.6919147005848098e-06	-2.0136025488888888e-05	1.4603975192321546e-06	0.9392239559399327	0.027781295524542834
