Type,Electrolyte,Width [s],Interval [s],Train pulses #,Resistor,Measure #,Polarization,IDSmed [A],IDSmed [A],delIDS [A],delIDS [A],Gn [S],Gn [S]
,,,,,,,,mean,std,mean,std,mean,std
Standard,KCl,0.1,0.03,10,0,1,neg,6.63286355973014e-06,2.6574031595249617e-06,0.0,0.0,0.0,0.0
Standard,KCl,0.1,0.03,10,0,2,neg,6.64265823028624e-06,2.6744224299516006e-06,9.794670556099542e-09,1.99833802484425e-08,2.1640339047767742e-07,2.495668037925061e-07
Standard,KCl,0.1,0.03,10,0,3,neg,6.650787753414988e-06,2.6875359858923057e-06,8.129523128748891e-09,1.4631170558648459e-08,2.962669525778418e-07,4.147639528373002e-07
Standard,KCl,0.1,0.03,10,0,4,neg,6.6612185586715595e-06,2.6936574277408544e-06,1.0430805256570563e-08,6.459136885260779e-09,5.01382486611941e-07,7.40812661821519e-07
Standard,KCl,0.1,0.03,10,0,5,neg,6.671065420960076e-06,2.6981767819976284e-06,9.846862288517189e-09,4.52015609185893e-09,6.240600215775919e-07,6.27181161462549e-07
Standard,KCl,0.1,0.03,10,0,6,neg,6.679678165255609e-06,2.7055613723626614e-06,8.612744295532765e-09,7.498128801762303e-09,7.436449518871219e-07,7.851074994904555e-07
Standard,KCl,0.1,0.03,10,0,7,neg,6.683775628365158e-06,2.7100901810628744e-06,4.097463109549629e-09,5.591037428280999e-09,5.88195961551178e-07,8.662450517958735e-07
Standard,KCl,0.1,0.03,10,0,8,neg,6.684870011023729e-06,2.708529874523259e-06,1.094382658569278e-09,1.86110515761945e-09,4.572479644326233e-07,5.085906544244978e-07
Standard,KCl,0.1,0.03,10,0,9,neg,6.689300211822531e-06,2.7118670875351253e-06,4.430200798803505e-09,4.956417163023291e-09,4.671445150362685e-07,5.471346686871751e-07
Standard,KCl,0.1,0.03,10,0,10,neg,6.693757867992645e-06,2.713413065130854e-06,4.45765617011271e-09,5.375054290863447e-09,4.964312366682742e-07,6.208170377925913e-07
Standard,KCl,0.1,0.03,10,0,11,pos,6.812983031068143e-06,2.6700719372793746e-06,1.1922516307549813e-07,8.2694022733548e-08,1.6087537090733705e-06,1.5749731864196282e-07
