Type	Chip	Disp	Electrolyte	Potential [V]	Width [s]	VDS [V]	IDSant (5sp 1sa) [A]	Std IDSant [A]	IDSdep (5sp 10sd) [A]	Std IDSdep [A]	delIDS [A]	Std del IDS [A]	RatioIDS	Std RazIDS
Standard	1	1	KCl	0.1	0.01	0.1	5.689653678528588e-06	1.7922811716464073e-07	5.770993410635746e-06	1.815949683173045e-07	8.133973210715825e-08	2.551459396121071e-07	1.0142960778815264	0.0451613214128924
Standard	1	1	KCl	-0.1	0.01	0.1	5.764959172331068e-06	1.8167775401978786e-07	5.76588856457417e-06	1.7595035591910224e-07	9.293922431028635e-10	2.5291368894097704e-07	1.0001612140199645	0.0438745048544281
Standard	1	1	KCl	0.2	0.01	0.1	5.735602463014794e-06	1.7953689349482305e-07	5.724358396641344e-06	1.751156584832669e-07	-1.1244066373450441e-08	2.507967104485216e-07	0.9980396015159774	0.0436823984154559
Standard	1	1	KCl	-0.2	0.01	0.1	5.742346997201119e-06	1.775278530067316e-07	5.7825713274690125e-06	1.7726774819621638e-07	4.022433026789366e-08	2.508784429633939e-07	1.0070048588647638	0.043842691647358
Standard	1	1	KCl	0.3	0.01	0.1	5.725349720111955e-06	1.7437584333043905e-07	5.745125809676129e-06	1.793329015092156e-07	1.9776089564174123e-08	2.501344124684083e-07	1.0034541277879856	0.0437623357246694
Standard	1	1	KCl	-0.3	0.01	0.1	5.714677744902039e-06	1.820344724729701e-07	5.735330767692922e-06	1.808745804149669e-07	2.0653022790883692e-08	2.566167629146678e-07	1.0036140310465114	0.0449865884217155
Standard	1	1	KCl	0.4	0.01	0.1	5.726670111955218e-06	1.810098039417411e-07	5.733719704118353e-06	1.7915074024382952e-07	7.0495921631347365e-09	2.546753558021263e-07	1.0012310106964983	0.0444994685011897
Standard	1	1	KCl	-0.4	0.01	0.1	5.748719712115154e-06	1.7759242338837918e-07	5.712161011595361e-06	1.8090007564082534e-07	-3.65587005197931e-08	2.5350326666892016e-07	0.9936405491395331	0.043959936630636
Standard	1	1	KCl	0.5	0.01	0.1	5.787394866053579e-06	1.7533422493133524e-07	5.752571079568172e-06	1.7554534026021428e-07	-3.4823786485406384e-08	2.4810936483604654e-07	0.993982821754626	0.0427420170819979
Standard	1	1	KCl	-0.5	0.01	0.1	5.719691955217913e-06	1.837454118573187e-07	5.75252343862455e-06	1.7824163531254765e-07	3.2831483406636685e-08	2.559930798625363e-07	1.0057400789524489	0.044888986814979
Standard	1	1	KCl	0.6	0.01	0.1	5.71091225109956e-06	1.747726548192554e-07	5.713767357057177e-06	1.7961777243360988e-07	2.855105957617008e-09	2.506152929224046e-07	1.0004999386844138	0.0438942542320575
Standard	1	1	KCl	-0.6	0.01	0.1	5.695526101559377e-06	1.7705431442841398e-07	5.679973182726909e-06	1.7922110807231028e-07	-1.5552918832467373e-08	2.519294263010624e-07	0.9972692744172994	0.0441732450477487
Standard	1	1	KCl	0.7	0.01	0.1	5.712208704518192e-06	1.7245500829631205e-07	5.726817888844463e-06	1.799714531257157e-07	1.4609184326270422e-08	2.492598118964683e-07	1.00255753686218	0.0436897850778172
Standard	1	1	KCl	-0.7	0.01	0.1	5.7259551539384246e-06	1.780985939790262e-07	5.718333602558976e-06	1.7700257718399505e-07	-7.621551379448393e-09	2.510956421507194e-07	0.9986689467216302	0.0438228293178648
Standard	1	1	KCl	0.8	0.01	0.1	5.71837649740104e-06	1.744550603433655e-07	5.771250855657737e-06	1.7972581507548453e-07	5.287435825669704e-08	2.504714288775359e-07	1.0092463933217284	0.0439980845530157
Standard	1	1	KCl	-0.8	0.01	0.1	5.721741595361855e-06	1.7900427994831184e-07	5.711569888044782e-06	1.774686508311472e-07	-1.0171707317072693e-08	2.520667654960511e-07	0.9982222707636224	0.0440147247812253
Standard	1	1	KCl	0.1	0.1	0.1	6.337794530938124e-06	5.100630274024517e-08	6.35014375249501e-06	5.548915855093326e-08	1.2349221556886478e-08	7.537034984607776e-08	1.0019485045620529	0.0119028226113908
Standard	1	1	KCl	-0.1	0.1	0.1	6.344171516966068e-06	5.0555097445205374e-08	6.373819141716567e-06	5.192903745942027e-08	2.9647624750498787e-08	7.247373875519383e-08	1.0046732066860444	0.0114496807781154
Standard	1	1	KCl	0.2	0.1	0.1	6.342981936127745e-06	5.410090710185845e-08	6.3707736926147705e-06	4.923194656051414e-08	2.779175648702545e-08	7.314842931588645e-08	1.0043814970256706	0.0115598501873172
Standard	1	1	KCl	-0.2	0.1	0.1	6.308955928143713e-06	4.9524769392565854e-08	6.311144730538921e-06	4.868003275037161e-08	2.1888023952081994e-09	6.944385049782365e-08	1.000346935756112	0.0110091282669068
Standard	1	1	KCl	0.3	0.1	0.1	6.310240538922156e-06	5.030746767537593e-08	6.366680798403194e-06	5.020153883459434e-08	5.644025948103809e-08	7.107063954454242e-08	1.0089442326537172	0.0113133331041591
Standard	1	1	KCl	-0.3	0.1	0.1	6.338913053892216e-06	5.0053357114734057e-08	6.351857025948105e-06	5.067147180551725e-08	1.2943972055889104e-08	7.122455063664796e-08	1.0020419860543663	0.0112474196127804
