Type	Chip	Disp	Electrolyte	Potential [V]	Pulse #	Polarization	IDSant (10sp 5sa) [A]	Std IDSant [A]	IDSdur (10sp 15sa) [A]	Std IDSdur [A]	IDSdep (10sp 30sd) [A]	Std IDSdep [A]	delIDS [A]	Std del IDS [A]	RatioIDS	Std RazIDS
Standard	1	1	KCl	0.8	1	pos	5.8103225748503e-06	3.761004305178187e-08	9.335086327345308e-06	6.213211912758681e-08	7.884469381237526e-06	4.688466431805143e-08	2.074146806387226e-06	6.010563273581978e-08	1.3569761884417693	0.0119274810079113
Standard	1	1	KCl	0.8	2	neg	7.686144411177644e-06	3.315206652235423e-08	1.692943253493014e-05	1.117173476205073e-07	6.353118163672654e-06	3.849309370031404e-08	-1.3330262475049898e-06	5.0801356057921893e-08	0.8265676292047773	0.0061474924735813
Standard	1	1	KCl	0.8	3	pos	6.136137684630738e-06	4.189393130548086e-08	8.507378263473053e-06	4.3460866452228586e-08	7.64160139720559e-06	3.661877285824727e-08	1.5054637125748515e-06	5.56420345231216e-08	1.2453438612281478	0.0103877709287586
Standard	1	1	KCl	0.8	4	neg	7.373559121756487e-06	3.533415184813619e-08	8.384100499001997e-06	3.97848868988024e-08	8.0535276247505e-06	4.871581399655477e-08	6.799685029940124e-07	6.018083432600507e-08	1.0922171358181276	0.0084287590648898
Standard	1	1	KCl	0.8	5	pos	7.885897265469062e-06	4.0155599807590766e-08	1.6528927345309384e-05	2.265592778738899e-07	6.329037884231537e-06	4.567383014281338e-08	-1.5568593812375252e-06	6.081587749775507e-08	0.8025767609153704	0.0070885237811432
Standard	1	1	KCl	0.8	6	neg	6.096948063872256e-06	4.1632016761669374e-08	8.014005608782437e-06	4.351854649547308e-08	7.520226786427147e-06	4.3640134076928534e-08	1.4232787225548914e-06	6.031323338949934e-08	1.2334411754281778	0.0110529953463689
Standard	1	1	KCl	0.8	7	pos	7.31305005988024e-06	3.9097707214060624e-08	1.5523261477045908e-05	1.624351035121842e-07	6.077912095808383e-06	3.86473224661011e-08	-1.2351379640718569e-06	5.49749601472817e-08	0.831104948830053	0.006904441118973
Standard	1	1	KCl	0.8	8	neg	5.870689381237525e-06	3.9410223194196334e-08	7.698493093812375e-06	5.8475990736448326e-08	7.372274191616768e-06	4.040876259420977e-08	1.5015848103792428e-06	5.644496245557773e-08	1.2557765728805623	0.010883197427337
Standard	1	1	KCl	0.8	9	pos	7.0544300998004e-06	3.411464581950134e-08	1.486737245508982e-05	1.563476666911294e-07	5.819483532934132e-06	3.7303665676356864e-08	-1.2349465668662678e-06	5.0550692698354056e-08	0.8249402787475051	0.0066240142884928
Standard	1	1	KCl	0.8	10	neg	5.628844071856287e-06	3.924977350491125e-08	7.283735548902195e-06	6.435550887335215e-08	7.199717065868264e-06	4.280543073926081e-08	1.5708729940119776e-06	5.807623972814087e-08	1.279075592423354	0.011720863317
Standard	1	1	KCl	0.8	11	pos	6.933554870259481e-06	3.6254545136205015e-08	1.4568874850299402e-05	1.701113384999001e-07	5.672530059880239e-06	3.917311584488018e-08	-1.2610248103792415e-06	5.3375322463002784e-08	0.818127232858828	0.0070866252927159
Standard	1	1	KCl	0.8	12	neg	5.519009520958084e-06	4.4030786826606334e-08	7.057213872255488e-06	5.6215302551668834e-08	7.101280159680639e-06	3.812314428237071e-08	1.5822706387225552e-06	5.8241602987422185e-08	1.2866946745994885	0.0123729947823248
Standard	1	1	KCl	0.8	13	pos	6.717121477045909e-06	3.7215459790441614e-08	1.4239654491017963e-05	1.55553291462413e-07	5.4935738323353295e-06	4.2706782296069e-08	-1.2235476447105792e-06	5.6646797804446184e-08	0.8178464318545156	0.0078073386262534
Standard	1	1	KCl	0.8	14	neg	5.24130736526946e-06	3.581867751668554e-08	6.701155848303393e-06	4.7059467340046933e-08	6.777583473053891e-06	4.315396489679453e-08	1.5362761077844311e-06	5.608246022918474e-08	1.2931093333629462	0.0120781677669515
Standard	1	1	KCl	0.8	15	pos	6.39152243512974e-06	3.506857636771529e-08	1.3821902195608784e-05	1.5463505661773366e-07	5.280400279441118e-06	3.9525392070436816e-08	-1.111122155688622e-06	5.2839962781781264e-08	0.8261568871945816	0.0076674297256736
Standard	1	1	KCl	0.8	16	neg	5.042695129740519e-06	3.873848482108112e-08	6.456027804391218e-06	5.553310921576119e-08	6.570573073852296e-06	4.249509872600059e-08	1.5278779441117769e-06	5.7502205366104624e-08	1.3029883633259416	0.0130846921561212
Standard	1	1	KCl	0.8	17	pos	6.175945409181636e-06	3.7391153607267135e-08	1.350332115768463e-05	1.5540872186417677e-07	5.111580359281438e-06	4.12092703244144e-08	-1.0643650499001988e-06	5.56444276523077e-08	0.8276595760840386	0.0083445870522926
Standard	1	1	KCl	0.8	18	neg	4.9271978043912175e-06	4.024194355606657e-08	6.290753233532935e-06	5.695084853383102e-08	6.403133453093813e-06	4.276866115103783e-08	1.4759356487025957e-06	5.872454680814439e-08	1.2995486902082989	0.0137112188819631
Standard	1	1	KCl	0.8	19	pos	5.885679680638722e-06	4.0773203174362056e-08	1.3097486626746506e-05	1.4727578986648956e-07	4.89179245508982e-06	4.531943189141358e-08	-9.938872255489024e-07	6.09615042798181e-08	0.8311346727178595	0.0096145934922975
Standard	1	1	KCl	0.8	20	neg	4.759995668662674e-06	4.125599304103585e-08	6.064754870259482e-06	5.6652230168221296e-08	6.138683473053892e-06	5.053097098526572e-08	1.3786878043912183e-06	6.52337028729457e-08	1.289640558597097	0.0154153640363609
Standard	1	1	KCl	0.8	21	pos	5.6750758483033925e-06	3.698271078664924e-08	1.2725554291417167e-05	1.337151719385162e-07	4.762327704590819e-06	4.2150766438115394e-08	-9.127481437125736e-07	5.60750212523321e-08	0.8391654723019346	0.0092233881342188
Standard	1	1	KCl	0.8	22	neg	4.59686259481038e-06	3.773061585044025e-08	5.910354051896208e-06	5.337865751542749e-08	5.923131217564871e-06	5.4093324755597816e-08	1.3262686227544914e-06	6.595215808120356e-08	1.2885160466296688	0.0158216596589034
Standard	1	1	KCl	0.8	23	pos	5.378718862275449e-06	3.9088089123197055e-08	1.22550500998004e-05	1.371553340741439e-07	4.484220618762475e-06	3.9271516586660664e-08	-8.944982435129743e-07	5.54087603752273e-08	0.8336967842311506	0.0094876511349098
Standard	1	1	KCl	0.8	24	neg	4.360180658682634e-06	3.752145235682213e-08	5.704938143712575e-06	5.1636236721388853e-08	5.628106347305389e-06	4.4009956973747926e-08	1.267925688622755e-06	5.783369000674621e-08	1.2907965948837177	0.015008895647468
Standard	1	1	KCl	0.8	25	pos	5.078434890219561e-06	4.5347015216416644e-08	1.175160638722555e-05	1.195571643989675e-07	4.266954630738523e-06	4.048575809483344e-08	-8.114802594810379e-07	6.079019984793019e-08	0.8402105615169254	0.0109472383868629
Standard	1	1	KCl	0.8	26	neg	4.283944131736527e-06	4.3087479279885975e-08	5.589678103792415e-06	6.154407322721832e-08	5.419002315369262e-06	5.156173935999777e-08	1.1350581836327344e-06	6.719482001257944e-08	1.2649563460045945	0.0175138826590013
Standard	1	1	KCl	0.8	27	pos	4.876516566866268e-06	3.43811856658554e-08	1.1359030538922158e-05	1.2918455652866953e-07	4.214798463073852e-06	4.2365490883892095e-08	-6.617181037924163e-07	5.4560981897535214e-08	0.8643051664607289	0.0106116934694968
Standard	1	1	KCl	0.8	28	neg	4.033034191616767e-06	3.998914429186009e-08	5.37612508982036e-06	6.224259906721377e-08	5.060469980039921e-06	6.234371103647582e-08	1.0274357884231534e-06	7.406665894310885e-08	1.254755040400804	0.0198430420942692
Standard	1	1	KCl	0.8	29	pos	4.613565808383234e-06	3.914247089792879e-08	1.0875695608782437e-05	1.0614693260136485e-07	4.01430760479042e-06	3.8390255938864163e-08	-5.992582035928142e-07	5.482649705249002e-08	0.8701095359897301	0.0111237863274023
Standard	1	1	KCl	0.8	30	neg	3.8052988822355296e-06	3.8781451498726855e-08	5.247636147704591e-06	5.2156106619744376e-08	4.820695668662675e-06	4.7370565132812183e-08	1.0153967864271452e-06	6.122067805366177e-08	1.2668375909097112	0.0179348332781861
Standard	1	1	KCl	0.8	31	pos	4.340479401197605e-06	4.485587677931093e-08	1.0393357884231536e-05	7.975024089439857e-08	3.7869769261477046e-06	3.870997595107149e-08	-5.535024750499e-07	5.9249573161106054e-08	0.8724789536157733	0.0126820335951218
Standard	1	1	KCl	0.8	32	neg	3.666721756487026e-06	3.4226586170820254e-08	4.997462614770459e-06	5.3015846160834735e-08	4.550867644710578e-06	3.6878183388576943e-08	8.841458882235525e-07	5.031361258099141e-08	1.241127073975372	0.0153417681546777
Standard	1	1	KCl	0.8	33	pos	4.226052854291417e-06	4.054142186994351e-08	1.0049652075848306e-05	8.183971077956124e-08	3.744313652694611e-06	3.998518480176296e-08	-4.817392015968061e-07	5.694226805166677e-08	0.8860072937545929	0.0127187209036703
Standard	1	1	KCl	0.8	34	neg	3.5600279441117765e-06	4.389689545702376e-08	4.895575289421158e-06	3.9395129670634e-08	4.3084526746507e-06	3.577175911849925e-08	7.48424730538923e-07	5.662646184600276e-08	1.2102300156876027	0.0179903749661375
Standard	1	1	KCl	0.8	35	pos	3.95648760479042e-06	4.29598843603134e-08	9.58064369261477e-06	7.578636825800111e-08	3.453476487025948e-06	4.1540290249760244e-08	-5.030111177644715e-07	5.97590777897871e-08	0.8728642250375213	0.0141442762491902
Standard	1	1	KCl	0.8	36	neg	3.4283977844311377e-06	3.885133629724257e-08	4.821314331337326e-06	3.913162418558677e-08	4.173776746506986e-06	4.868568623726705e-08	7.453789620758486e-07	6.228741748118197e-08	1.2174132084266085	0.0197987232089823
Standard	1	1	KCl	0.8	37	pos	3.781932614770459e-06	4.148255588737632e-08	9.22786998003992e-06	6.616050487564015e-08	3.401128602794411e-06	5.3303341835610136e-08	-3.80804011976048e-07	6.754293962949203e-08	0.8993096782082246	0.0172031602587077
