Type,Chip,Disp,Electrolyte,IDSmed (100s - 600s) [A],Std IDSmed [A],IGSmed (100s - 600s) [A],Std IGSmed [A],IDSmed_pos (90s - 100s) [A],Std IDSmed_pos_b [A],IDSmed_pos (130s - 140s) [A],Std IDSmed_pos_d [A],IDSmed_pos (150s - 160s) [A],Std IDSmed_pos_a [A],IDSmed_pos (7150s - 7160s) [A],Std IDSmed_pos_f [A],IGSmed_pos (7150s - 7160s) [A],Std IGSmed_pos_f [A],delIDSmed_pos (f-b) [A],Std delIDSmed_pos [A],a trans pos [muA],Std a trans pos [muA],Tau trans pos [s],Std Tau trans pos [s],c trans pos [muA],Std c trans pos [muA],r2 trans pos,a long pos [muA],Std a long pos [muA],Tau long pos [s],Std Tau long pos [s],c long pos [muA],Std c long pos [muA],r2 long pos,Slope pos [muA/s],Std Slope pos [muA/s],r2 linear pos,IDSmed_neg (90s - 100s) [A],Std IDSmed_neg_b [A],IDSmed_neg (130s - 140s) [A],Std IDSmed_neg_d [A],IDSmed_neg (150s - 160s) [A],Std IDSmed_neg_a [A],IDSmed_neg (2990s - 3000s) [A],Std IDSmed_neg_f [A],IGSmed_neg (2990s - 3000s) [A],Std IGSmed_neg_f [A],delIDSmed_neg (f-b) [A],Std delIDSmed_neg [A],a trans neg [muA],Std a trans neg [muA],Tau trans neg [s],Std Tau trans neg [s],c trans neg [muA],Std c trans neg [muA],r2 trans neg,a long neg [muA],Std a long neg [muA],Tau long neg [s],Std Tau long neg [s],c long neg [muA],Std c long neg [muA],r2 long neg,Slope neg [muA/s],Std Slope neg [muA/s],r2 linear neg
Standard,1,2,MgCl2,1.2717712079999998e-05,4.50377968677747e-08,-2.167463562e-07,6.36329560180303e-08,1.2574792999999998e-05,3.102561748626522e-08,1.6255014999999997e-05,3.428222254796631e-08,2.0124321000000004e-05,1.64953029920029e-07,1.3373731999999998e-05,2.213157112371452e-08,-1.037121e-08,2.7144542116794007e-08,7.989390000000001e-07,3.811030544102317e-08,-2.2035848265077056,0.0162306282241617,3.654414966416196,0.0502261289223889,20.379539887799822,0.0050004504023278,0.9904971898343522,4.183794336382905,0.0027524266609092,375.1819484637715,0.7887352454709894,16.012992178889224,0.0029924353831822,0.99615386349448,-0.0003355939112181,2.648627563273947e-07,0.9816571929736866,1.3334157999999995e-05,2.6536870405326504e-08,2.966248400000001e-05,1.1265885370077096e-07,1.4502283e-05,2.0413694059665341e-07,1.4642242000000002e-05,2.5696099535009524e-08,-9.5724944e-08,2.4345497750447296e-08,1.3080840000000049e-06,3.693907175636944e-08,2.108250655124445,0.0181773370991681,5.237259248717564,0.1026704678415842,14.065659647151495,0.0089183470007615,0.9846307508116928,1.0122342043486283,0.0018104068902471,331.2752865939261,1.825164735451681,12.678459761172398,0.0017141474389133,0.9694106791058346,-0.0002015392365391,6.515919525733873e-07,0.8644753837647373
Standard,1,1,KCl,7.155066226000001e-06,3.4421936612005235e-08,-3.151774204e-07,4.9351723361668674e-08,7.034183700000001e-06,3.032072130931541e-08,1.0818121e-05,4.467423114372338e-08,9.7495315e-06,1.586416817696314e-07,7.1462407e-06,2.4522618882957525e-08,-2.1827246e-07,2.9478905923607976e-08,1.1205699999999921e-07,3.899621747805752e-08,-1.3582446150389174,0.0179169816098893,14.789831408434482,0.4816094986619259,10.478136474005415,0.0213123099821888,0.9897500020228458,1.8067290792640136,0.0025307561793901,455.5725775547501,1.9500264550748945,8.342123687096358,0.0030590061524843,0.9882521075486532,-0.0001401602539948,2.521146854923717e-07,0.9115274419515093,7.1908233e-06,2.503227851770359e-08,2.0204666e-05,8.044249620666697e-08,8.2044599e-06,8.866139637441202e-08,7.757782e-06,2.6188166963132232e-08,-1.50680478e-07,3.261480999069915e-08,5.669586999999995e-07,3.6227545551372586e-08,0.7980213556364608,0.006884009537225,8.776709502900168,0.2389458042325722,7.917191909918397,0.007160040512421,0.9835277182530812,0.6941794963409345,0.0020708296709545,503.37755549634176,4.310691277575682,7.16533094002442,0.0025280151219988,0.9611586344766172,-0.0001867709214292,6.447173745827102e-07,0.8483837009542974
Standard,1,3,MgCl2,1.14911003e-05,5.8216623647922686e-08,-3.23624566e-07,5.978993502525538e-08,1.1286261999999998e-05,2.484944069854101e-08,1.4469971e-05,3.9009018110423815e-08,1.8009898e-05,1.307560478003356e-07,1.1475927e-05,2.4615560714575065e-08,-7.6174684e-08,3.2587123837707514e-08,1.8966500000000185e-07,3.4977428898122825e-08,-1.836880311158624,0.014500132449338,3.0631248095125,0.0424425691137428,18.1518510445895,0.0037328100654716,0.9897307121351098,4.006242324848582,0.003189282381568,372.9700804447477,0.948198276190018,13.880255926207582,0.0034488582480456,0.9943371598247682,-0.0002675840349067,2.569265282724011e-07,0.9730882445587508,1.1353843999999998e-05,2.5425706072652568e-08,2.6472326e-05,1.4226729475025376e-07,1.2629274000000002e-05,1.8955025805119002e-07,1.2549643999999998e-05,2.2581834658983027e-08,-2.346040100000001e-07,4.27933521495082e-08,1.1957999999999996e-06,3.4005966915507186e-08,1.900082544049124,0.0159808587772939,5.665642266759533,0.1145965169571972,12.197200233644688,0.0088319760107971,0.9847309579426108,0.9699014834495864,0.0016695954478791,287.2493351203055,1.3945136429907008,10.93616726871259,0.0012848571618927,0.971501796443172,-0.000163337702503,7.418205939150496e-07,0.7637343606597415
Standard,2,2,MgCl2,7.310955474e-06,5.4151976582660173e-08,-3.928662140000001e-07,4.7934683959740693e-08,7.239579399999999e-06,2.6168544183558708e-08,9.5498563e-06,2.0014462985450186e-08,1.2411003000000004e-05,5.741418621549789e-08,7.330655500000002e-06,2.5963593328646765e-08,-1.38163427e-07,2.8458153133910527e-08,9.107610000000252e-08,3.68632728229903e-08,-1.1329624277392218,0.0171992680602617,2.2669447862447463,0.0565711036274996,12.423567041769005,0.0034414604684065,0.9655160886646798,3.0921287516681084,0.0027720320310702,323.27950303807114,0.8818071994622833,8.987454429653285,0.002540388388281,0.9920744791235302,-0.0001820815112102,2.664269223993488e-07,0.9396492606515808,7.325291e-06,2.5272138229818776e-08,1.8964648e-05,1.4046790242657289e-07,8.146404999999999e-06,1.017551175542776e-07,7.9914323e-06,2.84361749212428e-08,-2.16961e-07,3.937349495061701e-08,6.661412999999997e-07,3.804335703981165e-08,1.1464396988652692,0.0120885686496533,5.075551023864884,0.1191243080370809,7.918194673748653,0.0056637192411559,0.9775660706715854,0.7692478437660693,0.0019030518168736,422.0549771251248,3.2939339363693314,6.945287536955841,0.002241333371651,0.957318546949603,-0.000115782986242,7.070836167999025e-07,0.6412919124908846
Standard,2,1,KCl,9.060240906e-06,3.229385888282008e-08,-3.916145286e-07,4.5084487462845975e-08,9.0293875e-06,2.6755177253168973e-08,1.2956271000000002e-05,5.603099484060851e-08,1.4076229e-05,2.0620479733370493e-07,9.0651532e-06,2.421977732967396e-08,-2.2721306000000002e-07,3.58957332133731e-08,3.576569999999939e-08,3.60892937551773e-08,-1.6556924617168824,0.0063323802301117,8.576508794259977,0.1029100142270397,14.659248786641191,0.0064258172343845,0.9966510266043892,3.353377650668224,0.003027935902698,373.9297601994557,1.078566102364244,11.003137481624936,0.0032820812666177,0.9927492155309884,-0.0001978011495585,3.665752842777187e-07,0.9065941746064784,9.0687295e-06,2.4531764787431323e-08,2.4028297e-05,1.376470552140181e-07,1.0246161e-05,1.1148671696482937e-07,9.8830461e-06,2.5937893378591672e-08,-2.8073782000000004e-07,3.343412156458661e-08,8.143166000000001e-07,3.570128564218723e-08,1.0403626284523737,0.0098722086090453,9.456997354023958,0.2853354035432454,9.840532058804127,0.0109813924738834,0.9818692195402688,0.7882870034861741,0.0014619387895325,366.3966304469564,2.1644470037168424,8.9793279536956,0.0015544124855863,0.9694169655923112,-0.0001676095784828,6.64005653145946e-07,0.8094640957883875
Standard,2,3,KCl,7.865539278e-06,4.5276964669958054e-08,-2.2649537134000002e-07,4.2888102341861656e-08,7.774830399999999e-06,2.1963809439414355e-08,1.0941385000000002e-05,3.948447175917405e-08,1.1301515999999995e-05,2.334691460678617e-07,8.0888269e-06,2.0710218416486945e-08,-7.9393319e-08,3.359884040210016e-08,3.139965000000012e-07,3.0188111433965225e-08,-1.7692592851067095,0.0096896502136091,9.703682033697064,0.168675120285583,11.995383352523204,0.0109797694283961,0.9941361464960397,2.337324466594989,0.0029646334465109,507.3196013499195,1.83696197741014,9.419019096821325,0.0036187505517785,0.9929191846162242,-0.0001968204413784,2.349192508944429e-07,0.9590159436505218,8.0727347e-06,2.2584817258861466e-08,2.2148369000000008e-05,1.7252155520134565e-07,9.1807843e-06,1.0884909933838577e-07,8.7602135e-06,2.4614493569579523e-08,-2.3603424000000012e-08,3.980786188218269e-08,6.874787999999991e-07,3.340579686675709e-08,0.8642627828029945,0.0079979870543578,8.766584601343139,0.2559653426277248,8.86552662715354,0.008309087870869,0.9810700738556626,0.843758356020575,0.0015987233625359,395.0310636873471,2.3923490504352256,7.927433664986964,0.0018115214335453,0.971162441921283,-0.0001112878402469,6.389555504977486e-07,0.6691644983369976
Bicamada,1,2,KCl,8.54902443e-05,6.280202215141883e-08,-1.0250568336000001e-07,9.043028155586821e-08,8.5401543e-05,3.586114707726088e-08,8.7813492e-05,4.2832560257142695e-08,8.952307699999998e-05,3.40837724608298e-07,8.7563749e-05,3.178054323454552e-08,2.1171589e-07,3.0362810497897134e-08,2.162206000000001e-06,4.7916852964064264e-08,-3.0582128609492027,0.0139808447802645,11.644682983133912,0.1574578649289693,90.9325572737587,0.0169458854996162,0.9973257961117296,13264.211504209296,196343.69308767057,12443128.84128338,184197199.79409567,-13172.944710956925,196343.6939786884,0.913552233160423,-0.0003451055229589,3.664793806059378e-07,0.9672780699007124,8.518862799999998e-05,3.3675375651244934e-08,9.9625589e-05,1.2364405077446757e-07,8.8112718e-05,3.1868329625051146e-07,8.8947663e-05,2.897079914379808e-08,3.1304352e-07,3.8734804997463384e-08,3.759035000000012e-06,4.442227063402716e-08,3.015303809836744,0.0207285230369052,6.549740284774226,0.1207368579044967,87.30259477261625,0.0143859979310058,0.9890080463617316,1.2657593820302802,0.0037039516436792,169.0128475140178,0.9658347681946036,85.66827110807186,0.0012901772163433,0.9394410200017538,-0.0001262020466417,9.389320818762808e-07,0.5463962591080613
Bicamada,1,1,MgCl2,8.9210874974995e-05,1.0153452918155961e-07,-7.007805413082618e-08,6.180033920092238e-08,8.8830469e-05,3.982640283312416e-08,8.918905500000003e-05,4.273923841155806e-08,9.365701900000003e-05,2.017507611766399e-07,9.0211757e-05,3.056924662784464e-08,6.318092999999999e-09,2.9950307775620535e-08,1.381288000000007e-06,5.020578853100777e-08,-2.0975807617562965,0.0197551600854347,5.959422081782485,0.1401517716661713,94.1657655019909,0.0118118832437797,0.9804213367309272,8139.973313623789,135791.70831088902,5899775.209465321,98428911.0039316,-8045.355359124685,135791.70908988247,0.9777475560297936,-0.0003992387725627,4.4688852330497494e-07,0.9637755994622288,8.992802999999997e-05,3.4411187105065013e-08,0.000102,1.7707042969429495e-19,9.2424154e-05,2.881910513965526e-07,9.1826562e-05,3.5361503293150665e-08,-5.9723822e-08,3.1721050844789064e-08,1.8985320000000304e-06,4.934131851837057e-08,2.7988746593013776,0.01874950865202,7.547920944423249,0.1495503750899994,91.53870039961016,0.0161490199112734,0.9892606462572572,1.99148459946854,0.0027610996180843,255.5210304323105,0.9139668611276828,89.14236734159368,0.0017625462042835,0.982172566155628,-0.0002814493796239,1.066563720550001e-06,0.8227875991994784
Bicamada,1,3,KCl,8.506668794000001e-05,4.4722371472760107e-07,2.2173151999999927e-10,6.956819803600686e-08,8.542037399999999e-05,3.5061411116710004e-08,8.7046494e-05,4.4358925900777776e-08,9.0484743e-05,4.032550994135479e-07,8.8174829e-05,2.858037150481889e-08,3.0636776e-07,2.7815540260477075e-08,2.754455000000006e-06,4.5234281080264994e-08,-3.631448533348887,0.0092497755562236,7.131803945429179,0.0517958932958509,91.5360415023734,0.0073267522655544,0.99843836220055,7.696742802566417,0.3447994336538812,4498.665862344445,225.7845857865468,84.16754325251343,0.3462197030033523,0.9797295150418942,-0.0003567498009969,3.826727991178036e-07,0.9666356390366184,8.797633899999999e-05,3.3438884082560455e-08,0.000102,1.7707042969429495e-19,8.9719295e-05,3.06832745007913e-07,8.9311124e-05,3.562152657531093e-08,3.2484527000000005e-07,3.5313584886734805e-08,1.3347850000000188e-06,4.8857467435822935e-08,3.109880075491516,0.0217678323881522,7.26509128696195,0.14681476048817,88.77411451172937,0.0177292132197083,0.9882975467505796,1.460268709113024,0.0032187709712834,291.474978710145,1.830993901754814,86.88350485878085,0.002534014340339,0.953955301914018,-0.0001841161912918,1.1641021197149296e-06,0.6251725191499348
Bicamada,2,2,MgCl2,8.73433731e-05,1.0954436146062433e-07,-3.259921472800001e-07,6.634270145317026e-08,8.704816899999999e-05,2.8077355968499144e-08,8.733594399999999e-05,5.8933942338824744e-08,9.112048200000002e-05,2.494167573853984e-07,8.8624841e-05,3.53801236643554e-08,5.3405723e-08,4.43936555623783e-08,1.5766720000000116e-06,4.516736729860282e-08,-2.381578416897644,0.0162824857763825,6.808996057031078,0.1284563906434084,91.79281645989217,0.0120106767749968,0.9889788705267574,16550.93574700121,216502.2801912452,17353927.441466298,227256420.8968605,-16458.230668634187,216502.2802521951,0.8140330351047705,-0.0004416281652599,4.203259073533602e-07,0.9735450380984348,8.849096500000001e-05,3.151138763217205e-08,0.000101,2.1793283654682456e-19,9.117877e-05,3.556095471159341e-07,9.0348725e-05,2.5863161176864853e-08,2.5212776e-07,3.4365611030173355e-08,1.857759999999978e-06,4.0766047840887096e-08,-25429.41207746093,2782884.7604512884,-227414.0496980968,24886662.365361635,25521.901022425154,2782884.7510212394,0.8659365569581616,2.243479263774048,0.0043298779465982,218.53994180909783,0.9665709116619212,87.35103571642162,0.0021595562984269,0.968786035877528,-0.0003321405535148,8.895917395976374e-07,0.9028613458156244
