Type	Chip	Disp	Electrolyte	IDSmed (100s - 600s) [A]	Std IDSmed [A]	IGSmed (100s - 600s) [A]	Std IGSmed [A]	IDSmed_pos (90s - 100s) [A]	Std IDSmed_pos_b [A]	IDSmed_pos (130s - 140s) [A]	Std IDSmed_pos_d [A]	IDSmed_pos (150s - 160s) [A]	Std IDSmed_pos_a [A]	a trans pos [muA]	Std a trans pos [muA]	Tau trans pos [s]	Std Tau trans pos [s]	c trans pos [muA]	Std c trans pos [muA]	r2 trans pos	a long pos [muA]	Std a long pos [muA]	Tau long pos [s]	Std Tau long pos [s]	c long pos [muA]	Std c long pos [muA]	r2 long pos	Slope pos [muA/s]	Std Slope pos [muA/s]	r2 linear pos	IDSmed_neg (90s - 100s) [A]	Std IDSmed_neg_b [A]	IDSmed_neg (130s - 140s) [A]	Std IDSmed_neg_d [A]	IDSmed_neg (150s - 160s) [A]	Std IDSmed_neg_a [A]	a trans neg [muA]	Std a trans neg [muA]	Tau trans neg [s]	Std Tau trans neg [s]	c trans neg [muA]	Std c trans neg [muA]	r2 trans neg	a long neg [muA]	Std a long neg [muA]	Tau long neg [s]	Std Tau long neg [s]	c long neg [muA]	Std c long neg [muA]	r2 long neg	Slope neg [muA/s]	Std Slope neg [muA/s]	r2 linear neg
Bicamada	1	1	MgCl2	8.9210874974995e-05	1.0153452918155961e-07	-7.007805413082618e-08	6.180033920092238e-08	8.8830469e-05	3.982640283312416e-08	8.918905500000003e-05	4.273923841155806e-08	9.365701900000003e-05	2.017507611766399e-07	-2.0975807617562965	0.0197551600854347	5.959422081782485	0.1401517716661713	94.1657655019909	0.0118118832437797	0.9804213367309272	8331.466102547865	89722.75990018813	6038571.393443826	65080859.648645125	-8236.848148722276	89722.75976050842	0.9777475723819928	-0.0003992387725627	4.468885233049852e-07	0.963775599462227	8.992802999999997e-05	3.4411187105065013e-08	0.000102	1.7707042969429495e-19	9.2424154e-05	2.881910513965526e-07	2.7988746593013776	0.01874950865202	7.547920944423249	0.1495503750899994	91.53870039961016	0.0161490199112734	0.9892606462572572	1.991484603054067	0.0027610996010192	255.52102927819607	0.9139668278167034	89.1423673427678	0.0017625461832905	0.9821725661556316	-0.0002814493796239	1.0665637205499986e-06	0.8227875991994792
Bicamada	1	2	KCl	8.54902443e-05	6.280202215141883e-08	-1.0250568336000001e-07	9.043028155586821e-08	8.5401543e-05	3.586114707726088e-08	8.7813492e-05	4.2832560257142695e-08	8.952307699999998e-05	3.40837724608298e-07	-3.0582128609492027	0.0139808447802645	11.644682983133912	0.1574578649289693	90.9325572737587	0.0169458854996162	0.9973257961117296	13795.756638048557	202028.85515599325	12941572.02765761	189623140.34865904	-13704.489844584392	202028.85422560395	0.9135523204329064	-0.0003451055229589	3.664793806059301e-07	0.9672780699007136	8.518862799999998e-05	3.3675375651244934e-08	9.9625589e-05	1.2364405077446757e-07	8.8112718e-05	3.1868329625051146e-07	3.015303809836744	0.0207285230369052	6.549740284774226	0.1207368579044967	87.30259477261625	0.0143859979310058	0.9890080463617316	1.2657593925665314	0.003703951660026	169.01284362808977	0.9658347557595376	85.6682711111224	0.0012901772146802	0.939441020001805	-0.0001262020466417	9.389320818762816e-07	0.5463962591080607
Bicamada	1	3	KCl	8.506668794000001e-05	4.4722371472760107e-07	2.2173151999999927e-10	6.956819803600686e-08	8.542037399999999e-05	3.5061411116710004e-08	8.7046494e-05	4.4358925900777776e-08	9.0484743e-05	4.032550994135479e-07	-3.631448533348887	0.0092497755562236	7.131803945429179	0.0517958932958509	91.5360415023734	0.0073267522655544	0.99843836220055	7.69673215457225	0.344799535623575	4498.658890634203	225.7838282865669	84.16755394472729	0.3462198043011543	0.979729515041893	-0.0003567498009969	3.826727991177899e-07	0.9666356390366208	8.797633899999999e-05	3.3438884082560455e-08	0.000102	1.7707042969429495e-19	8.9719295e-05	3.06832745007913e-07	3.109880075491516	0.0217678323881522	7.26509128696195	0.14681476048817	88.77411451172937	0.0177292132197083	0.9882975467505796	1.460268711753373	0.003218770877646	291.47497030691045	1.8309936724923424	86.88350486854529	0.0025340142799437	0.9539553019140796	-0.0001841161912918	1.1641021197149296e-06	0.6251725191499345
Bicamada	2	1	KCl	9.198361222222222e-05	3.662990088855303e-08	8.028082233333333e-08	8.589824978379407e-08	9.196782100000002e-05	4.311380827109193e-08	9.3442792e-05	4.158542061926071e-08	9.5913649e-05	3.362304883738552e-07	-2.944124001833852	0.0100493532982093	9.464612230699554	0.1027177617015721	97.05348401886842	0.0111853693328038	0.9976193660850688	12079.819396481147	214220.75685147924	17025330.94410857	301932110.8690074	-11982.222031935222	214220.7555549992	0.7775155147766399	-0.0003514085240371	3.3756545960519775e-07	0.9730644813757544	9.398843099999995e-05	2.9738247640492924e-08	0.000106	1.3620802284176537e-19	9.580910700000002e-05	3.044302133478044e-07	2.99674156701452	0.0204529982508566	7.258365518621154	0.142934290962454	94.90194579682152	0.0166354777214084	0.9888683689917078	1.4799982402552083	0.0033237007186148	260.5971369044025	1.5331098778355043	92.95222673579588	0.0021899598679275	0.954118924639584	-6.453522542436271e-05	8.8700616768797e-07	0.2608716542337473
Bicamada	2	2	MgCl2	8.73433731e-05	1.0954436146062433e-07	-3.259921472800001e-07	6.634270145317026e-08	8.704816899999999e-05	2.8077355968499144e-08	8.733594399999999e-05	5.893394233882474e-08	9.112048200000002e-05	2.494167573853984e-07	-2.381578416897644	0.0162824857763825	6.808996057031078	0.1284563906434084	91.79281645989217	0.0120106767749968	0.9889788705267574	18083.715610372496	223041.2093506459	18961376.96891292	233870726.8658144	-17991.01053217454	223041.20931729503	0.8140333196279549	-0.0004416281652599	4.203259073533636e-07	0.9735450380984344	8.849096500000001e-05	3.151138763217205e-08	0.000101	2.1793283654682456e-19	9.117877e-05	3.556095471159341e-07	-18728.567196265703	2435200.4748098617	-167494.61973574955	21777027.070632808	18821.056123701303	2435200.467279792	0.8659335168928212	2.24347926315416	0.0043298779724316	218.5399423509685	0.9665709055612722	87.35103571540985	0.0021595562903305	0.9687860358775232	-0.0003321405535148	8.8959173959764e-07	0.9028613458156236
Bicamada	2	3	MgCl2	8.842286518e-05	9.92629281824268e-08	-3.1431914752e-07	8.153261405687336e-08	8.8404649e-05	4.018695324494146e-08	8.847427e-05	5.8750333762215816e-08	9.360336999999998e-05	1.879485769452844e-07	-2.1097003280730062	0.0233424301208508	5.721847490953849	0.1533613108721017	94.10805171778026	0.0130982749311023	0.9737318600829116	2.700521425971228	0.0237884989141841	1136.0311437527205	16.11173539639742	91.84051410464804	0.0253156396466112	0.9755723781864176	-0.0004093916265268	4.19212074273309e-07	0.9695047705300924	8.9581726e-05	3.4648951242746265e-08	0.000102	1.7707042969429495e-19	9.2079397e-05	2.878465533469826e-07	2.881354117401241	0.0212286246332175	6.807613709578008	0.1383810793916938	91.27602505926572	0.0156532688638628	0.9872250151683988	2.06580078693512	0.0040873627676101	227.8824357583016	1.0654748459022487	88.65559241623157	0.0021747347554299	0.9664658455163994	-0.0002472433686313	1.0607086275493565e-06	0.7836728421800077
Standard	1	1	KCl	7.155066226000001e-06	3.4421936612005235e-08	-3.151774204e-07	4.9351723361668674e-08	7.034183700000001e-06	3.032072130931541e-08	1.0818121e-05	4.4674231143723384e-08	9.7495315e-06	1.586416817696314e-07	-1.3582446150389174	0.0179169816098893	14.789831408434482	0.4816094986619258	10.478136474005415	0.0213123099821888	0.9897500020228458	1.8067290791411093	0.002530756164709	455.5725776849326	1.9500264551152733	8.342123686994578	0.0030590061288985	0.9882521075486532	-0.0001401602539948	2.521146854923697e-07	0.9115274419515104	7.1908233e-06	2.503227851770359e-08	2.0204666e-05	8.044249620666697e-08	8.2044599e-06	8.866139637441202e-08	0.7980213569110883	0.0068840098692535	8.776709696225616	0.2389458524051945	7.917191904661575	0.007160041506674	0.9835277182530802	0.6941794955997528	0.0020708297088654	503.3775532506325	4.310691286405678	7.165330941265422	0.0025280151770513	0.9611586344766172	-0.0001867709214292	6.447173745827089e-07	0.8483837009542978
Standard	1	2	MgCl2	1.2717712079999998e-05	4.50377968677747e-08	-2.167463562e-07	6.36329560180303e-08	1.2574792999999998e-05	3.102561748626522e-08	1.6255014999999997e-05	3.428222254796631e-08	2.0124321000000004e-05	1.64953029920029e-07	-2.203584820487193	0.0162306281152413	3.654414996566363	0.0502261303195159	20.379539889570843	0.0050004503519893	0.9904971898343466	4.183794336486512	0.0027524266645173	375.1819488077095	0.7887352474432769	16.012992177781125	0.0029924353860522	0.99615386349448	-0.0003355939112181	2.648627563274105e-07	0.9816571929736844	1.3334157999999995e-05	2.6536870405326504e-08	2.966248400000001e-05	1.1265885370077096e-07	1.4502283e-05	2.0413694059665341e-07	2.1082506551262967	0.0181773370992347	5.237259248803806	0.1026704678513345	14.065659647141883	0.0089183470012693	0.9846307508116926	1.012234204012501	0.0018104068967912	331.2752870763345	1.825164765355783	12.678459760882316	0.0017141474471005	0.9694106791058336	-0.0002015392365391	6.515919525733904e-07	0.8644753837647361
Standard	1	3	MgCl2	1.14911003e-05	5.8216623647922686e-08	-3.23624566e-07	5.978993502525538e-08	1.1286261999999998e-05	2.484944069854101e-08	1.4469971e-05	3.9009018110423815e-08	1.8009898e-05	1.307560478003356e-07	-1.836880311311736	0.014500132564996	3.063124794634321	0.0424425670929672	18.15185104349709	0.0037328100288831	0.9897307121351064	4.006242324958327	0.0031892823811419	372.9700797992062	0.9481982717533778	13.880255928103606	0.0034488582341851	0.994337159824768	-0.0002675840349067	2.569265282723962e-07	0.973088244558752	1.1353843999999998e-05	2.5425706072652568e-08	2.6472326e-05	1.4226729475025376e-07	1.2629274000000002e-05	1.8955025805119002e-07	1.90008254242861	0.015980858315159	5.6656422738741865	0.1145965155284347	12.19720023350144	0.0088319760622586	0.98473095794261	0.9699014832401354	0.0016695954486478	287.24933498649875	1.394513667555108	10.936167268882764	0.0012848571756277	0.9715017964431722	-0.000163337702503	7.418205939150504e-07	0.763734360659741
Standard	2	1	KCl	9.060240906e-06	3.229385888282008e-08	-3.916145286e-07	4.5084487462845975e-08	9.0293875e-06	2.6755177253168973e-08	1.2956271000000002e-05	5.603099484060851e-08	1.4076229e-05	2.0620479733370493e-07	-1.6556924610459829	0.0063323802960427	8.576508786047425	0.1029100127556652	14.659248785986088	0.0064258170655933	0.9966510266043892	3.3533776502684103	0.0030279359066759	373.92975986734297	1.0785661011237462	11.003137482597964	0.003282081265386	0.9927492155309884	-0.0001978011495585	3.665752842777242e-07	0.9065941746064756	9.0687295e-06	2.4531764787431317e-08	2.4028297e-05	1.376470552140181e-07	1.0246161e-05	1.1148671696482937e-07	1.0403626284523737	0.0098722086090453	9.456997354023958	0.2853354035432454	9.840532058804127	0.0109813924738834	0.9818692195402688	0.7882870028076506	0.0014619387896424	366.3966275179448	2.1644469310095182	8.979327955674904	0.0015544124776674	0.9694169655923116	-0.0001676095784828	6.640056531459474e-07	0.8094640957883867
