Type	Chip	Disp	Electrolyte	Measure	Sweep	VGSmin [V]	IDSmin [A]	IDSmax [A]	Ronoff	Res [ohm]	IDS(-0.6V) [A]	IDS(+0.6V) [A]	VGS min |gm| [V]	min |gm| [S]	VGS min gm [V]	min gm [S]	VGS max gm [V]	max gm [S]
Standard	1	2	MgCl2	230	2	0.2	9.950633e-06	1.95586e-05	1.9655633968210864	9460.621581759166	1.95586e-05	1.173627e-05	0.2	1.4567500000001957e-07	-0.6	-2.4836499999999988e-05	0.6	8.284999999999949e-06
Standard	1	2	MgCl2	210	2	0.12	9.80261e-06	1.8593e-05	1.8967397458431987	9990.00999000999	1.8593e-05	1.21817e-05	0.12	2.3260000000000858e-07	-0.6	-2.3448499999999964e-05	0.6	8.3935e-06
Standard	1	2	MgCl2	250	2	0.3	9.90062e-06	2.01374e-05	2.0339534291791828	9061.229445733656	2.01374e-05	1.08793e-05	0.3	4.235000000002171e-08	-0.6	-2.5218500000000114e-05	0.6	6.174999999999982e-06
Standard	1	2	MgCl2	152	1	0.24	1.252073e-05	2.0922e-05	1.6709888321208108	7588.710124174064	2.0922e-05	1.37772e-05	0.24	1.482499999999761e-07	-0.6	-2.399500000000008e-05	0.6	6.073499999999997e-06
Standard	1	2	MgCl2	140	2	0.18	1.260073e-05	2.34322e-05	1.85959067450854	7636.794073847799	2.34322e-05	1.46278e-05	0.18	5.849999999999954e-08	-0.6	-3.0283499999999867e-05	0.58	8.389249999999954e-06
Standard	1	2	MgCl2	110	2	0.14	1.33148e-05	2.555823e-05	1.9195354042118544	7268.376818820445	2.555823e-05	1.571133e-05	0.14	2.507500000000179e-07	-0.6	-3.1225e-05	0.52	7.862499999999981e-06
Standard	1	2	MgCl2	151	1	0.36	1.316277e-05	2.614353e-05	1.9861723634159072	6573.528532071918	2.614353e-05	1.39024e-05	0.36	5.0750000000013024e-08	-0.44	-2.213149999999995e-05	0.6	5.528499999999988e-06
Standard	1	2	MgCl2	150	1	0.16	1.252187e-05	2.1486e-05	1.7158779000261142	7719.742469391222	2.1486e-05	1.45506e-05	0.16	1.665000000000195e-07	-0.46	-1.834150000000001e-05	0.6	8.41499999999998e-06
Standard	1	2	MgCl2	330	2	0.16	5.970877e-06	1.150443e-05	1.926757158119318	16091.173878489431	1.150443e-05	7.480097e-06	0.16	3.774999999999807e-08	-0.6	-1.7057999999999985e-05	0.6	5.8988499999999935e-06
Standard	1	2	MgCl2	310	2	0.08	7.45456e-06	1.51671e-05	2.034607005644866	13237.779510750202	1.51671e-05	1.010187e-05	0.08	5.692499999997744e-08	-0.6	-2.015849999999996e-05	0.6	8.091349999999971e-06
Standard	1	1	KCl	230	2	0.14	1.021737e-05	2.146787e-05	2.101115061899491	9407.691728757432	2.146787e-05	1.29044e-05	0.14	6.499999999999346e-08	-0.6	-2.7429999999999983e-05	0.6	9.714999999999948e-06
Standard	1	1	KCl	210	2	0.08	1.007477e-05	2.122843e-05	2.1070883007751045	9778.61221935383	2.122843e-05	1.323883e-05	0.08	7.50000000038914e-10	-0.6	-2.7230000000000053e-05	0.6	9.86649999999996e-06
Standard	1	1	KCl	250	2	0.24	1.01185e-05	2.1378e-05	2.112763749567624	8954.635814961406	2.1378e-05	1.165423e-05	0.26	2.474999999999938e-07	-0.6	-2.68515e-05	0.6	7.977999999999987e-06
Standard	1	1	KCl	150	1	0.1	6.69244e-06	1.445583e-05	2.1600238478043883	14651.742011540591	1.445583e-05	8.938323e-06	0.1	1.4107499999999593e-07	-0.6	-7.960299999999994e-05	0.6	7.827000000000012e-06
Standard	1	1	KCl	140	2	0.12	6.79169e-06	1.463017e-05	2.1541280594373418	14257.193787912553	1.463017e-05	8.86931e-06	0.12	7.100000000008792e-09	-0.6	-2.3843499999999983e-05	0.6	7.769350000000061e-06
Standard	1	1	KCl	152	1	0.14	6.758933e-06	1.417263e-05	2.096873870476301	14356.724697026451	1.417263e-05	8.381707e-06	0.14	3.0250000000015514e-08	-0.6	-8.468149999999987e-05	0.6	6.194349999999998e-06
Standard	1	1	KCl	151	1	0.24	7.02049e-06	1.793847e-05	2.555159255265658	12660.96357782625	1.793847e-05	8.314217e-06	0.24	6.707500000002341e-08	-0.6	-8.411699999999985e-05	0.6	6.348350000000013e-06
Standard	1	1	KCl	110	2	0.08	7.222443e-06	1.48764e-05	2.0597462659103023	13634.64629068766	1.48764e-05	9.83026e-06	0.08	4.9674999999998815e-08	-0.6	-2.3211499999999983e-05	0.6	8.464650000000048e-06
Standard	1	1	KCl	310	2	0.04	6.976753e-06	1.488717e-05	2.1338250042677447	14239.685519393242	1.488717e-05	1.01509e-05	0.04	3.5207499999998426e-07	-0.54	-1.800074999999999e-05	0.6	8.867849999999995e-06
Standard	1	1	KCl	330	2	0.12	6.049803e-06	1.211313e-05	2.0022354446913395	16032.706721712291	1.211313e-05	8.177133e-06	0.12	7.575000000002718e-08	-0.6	-1.6896499999999952e-05	0.6	8.027300000000014e-06
Standard	1	3	MgCl2	250	2	0.3	8.286577e-06	1.759993e-05	2.1239083399575	10707.245700237809	1.759993e-05	9.152317e-06	0.3	4.9425000000021984e-08	-0.6	-2.423650000000003e-05	0.6	5.237850000000002e-06
Standard	1	3	MgCl2	230	2	0.2	8.28356e-06	1.698157e-05	2.050032836123599	11312.681731161583	1.698157e-05	9.960917e-06	0.2	1.9750000000012813e-08	-0.6	-2.3581999999999985e-05	0.6	7.4904999999999345e-06
Standard	1	3	MgCl2	210	2	0.1	8.15109e-06	1.608747e-05	1.97365873766576	12012.23854912339	1.608747e-05	1.048133e-05	0.1	1.0617499999999397e-07	-0.6	-2.183849999999999e-05	0.6	7.572999999999946e-06
Standard	1	3	MgCl2	152	1	0.22	1.09369e-05	1.864497e-05	1.7047764905960554	8774.600689859106	1.864497e-05	1.21101e-05	0.22	1.1674999999996801e-07	-0.6	-3.085500000000004e-05	0.58	5.356749999999965e-06
Standard	1	3	MgCl2	110	2	0.16	1.209557e-05	2.37416e-05	1.9628343269478	7944.117897064887	2.37416e-05	1.410237e-05	0.16	1.4424999999996732e-07	-0.6	-3.169849999999992e-05	0.52	7.005999999999939e-06
Standard	1	3	MgCl2	151	1	0.34	1.15894e-05	2.367597e-05	2.0428986832795486	7568.189386371205	2.367597e-05	1.22895e-05	0.34	4.249999999985602e-09	-0.6	-2.2679999999999905e-05	0.6	4.959999999999945e-06
Standard	1	3	MgCl2	150	1	0.16	1.104757e-05	1.957577e-05	1.7719525651342332	8765.52484018257	1.957577e-05	1.286267e-05	0.16	6.499999999999346e-08	-0.6	-2.606000000000003e-05	0.6	7.573499999999981e-06
Standard	1	3	MgCl2	140	2	0.16	1.11118e-05	2.087753e-05	1.8788612106049427	8686.308727047515	2.087753e-05	1.293303e-05	0.18	1.932499999999799e-07	-0.6	-2.8920000000000028e-05	0.6	7.5264999999999965e-06
Standard	1	3	MgCl2	330	2	0.24	5.44777e-06	1.14751e-05	2.1063848143368755	16787.22693476987	1.14751e-05	6.378103e-06	0.24	1.6392500000000877e-07	-0.6	-1.7336499999999982e-05	0.6	4.631299999999998e-06
Standard	1	3	MgCl2	310	2	0.1	6.442923e-06	1.338033e-05	2.0767483950995533	15207.05084036444	1.338033e-05	8.677373e-06	0.1	2.1674999999999762e-07	-0.6	-1.8303e-05	0.6	7.139650000000023e-06
Standard	2	2	MgCl2	230	2	0.2	4.708223e-06	1.118513e-05	2.3756585021567584	19809.445024531025	1.118513e-05	5.977993e-06	0.2	1.3925000000001057e-07	-0.6	-2.0199999999999976e-05	0.6	5.443650000000007e-06
