Type,Chip,Disp,Electrolyte,Measure,Sweep,VGSmin [V],IDSmin [A],IDSmax [A],Ronoff,Res [ohm],IDS(-0.6V) [A],IDS(+0.6V) [A],VGS min |gm| [V],min |gm| [S],VGS min gm [V],min gm [S],VGS max gm [V],max gm [S]
Standard,1,1,KCl,410,0,0.0,5.407837e-06,9.99724e-06,1.8486577905362165,18491.681609486383,9.99724e-06,8.809337e-06,-0.02,1.854000000000135e-07,-0.6,-1.4020999999999968e-05,0.6,8.135200000000006e-06
Standard,1,1,KCl,410,1,-0.02,5.492203e-06,1.016958e-05,1.8516394969377497,18199.90889125609,1.016958e-05,8.77834e-06,-0.02,4.810000000000383e-08,-0.6,-4.111065000000001e-05,0.6,8.362649999999943e-06
Standard,1,1,KCl,410,2,-0.02,5.523407e-06,1.02217e-05,1.8506150280071705,18089.505789274983,1.02217e-05,8.74279e-06,-0.02,2.663999999999879e-07,-0.6,-4.1842649999999975e-05,0.6,8.481649999999966e-06
Standard,1,1,KCl,410,3,-0.02,5.54826e-06,1.024573e-05,1.846656429222856,18000.14760121033,1.024573e-05,8.717157e-06,-0.02,8.292499999998026e-08,-0.6,-4.129834999999996e-05,0.6,8.605349999999928e-06
Standard,1,1,KCl,410,4,-0.02,5.56128e-06,1.029367e-05,1.8509533776396805,17966.652814377347,1.029367e-05,8.687997e-06,0.0,3.271750000000042e-07,-0.6,-4.193150000000002e-05,0.6,8.53735e-06
Standard,1,1,KCl,410,5,0.0,5.574847e-06,1.031527e-05,1.8503234259164425,17937.71201254492,1.031527e-05,8.667263e-06,0.0,6.60000000000092e-08,-0.6,-4.167414999999996e-05,0.6,8.66829999999996e-06
Standard,1,1,KCl,410,6,0.0,5.581933e-06,1.03776e-05,1.859140910505375,17914.940935335482,1.03776e-05,8.64239e-06,0.0,5.407499999998135e-08,-0.6,-4.323714999999994e-05,0.6,8.626349999999957e-06
Standard,1,1,KCl,410,7,0.0,5.595463e-06,1.039597e-05,1.8579284681178303,17871.622062374467,1.039597e-05,8.620503e-06,0.0,2.3425000000019177e-08,-0.6,-4.260249999999995e-05,0.6,8.730299999999978e-06
Standard,1,1,KCl,410,8,0.02,5.599487e-06,1.043667e-05,1.863861814484077,17851.796881541013,1.043667e-05,8.59875e-06,0.0,1.9857500000000682e-07,-0.6,-4.310350000000001e-05,0.6,8.623649999999988e-06
Standard,1,1,KCl,410,9,0.0,5.596563e-06,1.04641e-05,1.8697368366978089,17868.10940929281,1.04641e-05,8.58072e-06,0.0,9.490000000002513e-08,-0.6,-4.339065000000001e-05,0.6,8.814150000000016e-06
Standard,1,1,KCl,410,10,0.04,5.593307e-06,1.04697e-05,1.8718264525798425,17860.405570517618,1.04697e-05,8.56213e-06,0.02,1.4174999999998217e-07,-0.6,-4.215684999999996e-05,0.6,8.80514999999998e-06
Standard,1,1,KCl,410,11,0.02,5.604967e-06,1.051657e-05,1.8762947221633952,17829.9299265924,1.051657e-05,8.54542e-06,0.02,1.7132499999998436e-07,-0.6,-4.316499999999991e-05,0.6,8.838349999999964e-06
