Type,Electrolyte,Measure,Sweep,VGSmin [V],VGSmin [V],IDSmin [A],IDSmin [A],IDSmax [A],IDSmax [A],Ronoff,Ronoff,Res [ohm],Res [ohm],IDS(-0.6V) [A],IDS(-0.6V) [A],IDS(+0.6V) [A],IDS(+0.6V) [A],VGS min |gm| [V],VGS min |gm| [V],min |gm| [S],min |gm| [S],VGS min gm [V],VGS min gm [V],min gm [S],min gm [S],VGS max gm [V],VGS max gm [V],max gm [S],max gm [S]
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Standard,KCl,410,0,0.02,0.034641016151377546,6.417983333333333e-06,3.79064020784647e-06,1.1941996666666669e-05,5.7543435260187015e-06,1.958533945025686,0.29374562223350903,19500.760332169888,10617.470324751974,1.1872253333333334e-05,5.636697025540164e-06,9.496423333333334e-06,4.493435856749525e-06,0.01333333333333333,0.041633319989322654,9.782500000001517e-08,9.236148074279117e-08,-0.5466666666666666,0.0923760430703401,-2.2207449999999963e-05,1.0205340864346485e-05,0.19999999999999998,0.6928203230275509,8.431733333333322e-06,1.898944776272698e-06
Standard,KCl,410,1,0.013333333333333334,0.030550504633038936,6.502486666666666e-06,3.842341733832681e-06,1.2007926666666666e-05,5.421143722512191e-06,1.969201925023117,0.358035279046171,19290.64070970794,10591.978548960284,1.2007926666666666e-05,5.421143722512191e-06,9.4595e-06,4.4618177048933776e-06,0.02,0.04,2.2366666666667374e-07,2.096192520579388e-07,-0.5533333333333333,0.08082903768654759,-3.85721833333333e-05,1.9425992412315345e-05,0.5666666666666667,0.05773502691896256,7.620099999999974e-06,7.986885391064382e-07
Standard,KCl,410,2,0.02,0.034641016151377546,6.538556666666667e-06,3.87316374595657e-06,1.2042569999999998e-05,5.524466450101765e-06,1.9588245942988793,0.339371611290615,19222.73558270925,10622.633432142378,1.2042569999999998e-05,5.524466450101765e-06,9.428308999999999e-06,4.445055319466002e-06,0.02,0.034641016151377546,1.5054999999999246e-07,1.242972545955771e-07,-0.5533333333333333,0.08082903768654759,-3.813271666666663e-05,1.8458027198642676e-05,0.6,0.0,8.010666666666637e-06,9.970709632886406e-07
Standard,KCl,410,3,0.02666666666666666,0.041633319989322654,6.563985666666666e-06,3.8912793071940145e-06,1.2075274333333333e-05,5.568618331542065e-06,1.9552904585719466,0.3357246169058114,19155.768379867925,10619.223313234615,1.2075274333333333e-05,5.568618331542065e-06,9.403158e-06,4.436201906510004e-06,0.02,0.034641016151377546,1.949166666666638e-07,1.5088760786870643e-07,-0.5599999999999999,0.06928203230275508,-3.8323949999999964e-05,1.890555730684764e-05,0.5866666666666667,0.023094010767584987,7.849183333333331e-06,9.114111206438546e-07
Standard,KCl,410,4,0.03333333333333333,0.04618802153517006,6.5806690000000006e-06,3.907304712844009e-06,1.2119479999999998e-05,5.607081973031961e-06,1.9569740920244083,0.33319723944856455,19121.37035632347,10620.270505199407,1.2119479999999998e-05,5.607081973031961e-06,9.381125666666667e-06,4.43056140861588e-06,0.03333333333333333,0.030550504633038933,2.947500000000105e-07,1.2954265465476965e-07,-0.5533333333333333,0.08082903768654759,-3.886870000000001e-05,1.9296223417614612e-05,0.6,0.0,7.856066666666649e-06,8.886901405064389e-07
Standard,KCl,410,5,0.04,0.034641016151377546,6.593816666666667e-06,3.919305231681035e-06,1.2148097666666666e-05,5.6277955903014396e-06,1.9581660582215958,0.3348534731333866,19100.18640346358,10628.703002647198,1.2148097666666666e-05,5.6277955903014396e-06,9.36218e-06,4.426760556010343e-06,0.03333333333333333,0.030550504633038933,1.4564166666666584e-07,8.210167603850549e-08,-0.5599999999999999,0.06928203230275508,-3.898404999999996e-05,1.9617821477103408e-05,0.5866666666666667,0.023094010767584987,7.927583333333354e-06,9.344785234735639e-07
Standard,KCl,410,6,0.04,0.034641016151377546,6.60303e-06,3.9313662242048876e-06,1.2171952333333335e-05,5.6572786081309745e-06,1.9580989773740933,0.32778249588110664,19092.422196257674,10658.30481911866,1.2165462333333335e-05,5.646374871211292e-06,9.34283e-06,4.425519879935012e-06,0.04,0.034641016151377546,9.499166666668241e-08,3.7991054319863023e-08,-0.5599999999999999,0.06928203230275508,-3.9098833333333285e-05,1.9060638002984896e-05,0.5866666666666667,0.023094010767584987,7.953733333333343e-06,9.390700803631974e-07
Standard,KCl,410,7,0.04,0.034641016151377546,6.614155333333333e-06,3.941430384150699e-06,1.2191732333333333e-05,5.653946202163258e-06,1.9598124188615393,0.33313166268310784,19070.022863116395,10667.736313233654,1.2191732333333333e-05,5.653946202163258e-06,9.325128666666666e-06,4.42572947872058e-06,-0.18000000000000002,0.3649657518178932,4.2666666666626954e-08,4.5452326214818296e-08,-0.5599999999999999,0.06928203230275508,-3.9344116666666645e-05,1.9561032315315887e-05,0.5866666666666667,0.023094010767584987,7.991183333333344e-06,9.967984253766385e-07
Standard,KCl,410,8,0.04666666666666667,0.023094010767585032,6.61732e-06,3.945586657589591e-06,1.2222967666666666e-05,5.662688588014207e-06,1.964509275554966,0.33451544655991206,19054.291430402027,10664.156509117669,1.2222967666666666e-05,5.662688588014207e-06,9.309180999999999e-06,4.426341310249696e-06,0.04,0.034641016151377546,1.1490833333329673e-07,7.247457456473256e-08,-0.5599999999999999,0.06928203230275508,-3.964210000000001e-05,1.9776409226146163e-05,0.5933333333333333,0.011547005383792509,7.97248333333331e-06,9.348437734901343e-07
