Type,Electrolyte,Measure,Sweep,VGSmin [V],VGSmin [V],IDSmin [A],IDSmin [A],IDSmax [A],IDSmax [A],Ronoff,Ronoff,Res [ohm],Res [ohm],IDS(-0.6V) [A],IDS(-0.6V) [A],IDS(+0.6V) [A],IDS(+0.6V) [A],VGS min |gm| [V],VGS min |gm| [V],min |gm| [S],min |gm| [S],VGS min gm [V],VGS min gm [V],min gm [S],min gm [S],VGS max gm [V],VGS max gm [V],max gm [S],max gm [S]
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Enode,KCl,110,2,0.14666666666666667,0.03055050463303893,1.188859e-05,1.2782635398461468e-06,2.6665333333333334e-05,2.095508365584193e-06,2.2483765580336086,0.08676790660688515,8057.560743429426,1028.453066824066,2.6665333333333334e-05,2.095508365584193e-06,1.4768656666666667e-05,8.124167308305093e-07,0.14666666666666667,0.03055050463303893,3.137499999999618e-07,6.342466003064204e-08,-0.54,0.07211102550927977,-2.8739750000000063e-05,7.231035109166555e-07,0.5866666666666667,0.023094010767584956,9.23158333333333e-06,9.46942987108169e-07
Enode,KCl,140,2,0.12,0.02,1.1096276666666666e-05,9.464379512854144e-07,2.25383e-05,1.3370998515069849e-06,2.034501892061949,0.0650501311747548,8796.743685362335,815.7751179136435,2.25383e-05,1.3370998515069849e-06,1.3698946666666666e-05,6.20722481172813e-07,0.12,0.02,1.735833333333469e-07,7.722383591442206e-08,-0.6,0.0,-2.7904333333333293e-05,2.1930352444348095e-06,0.6,0.0,8.694666666666645e-06,7.512132409198928e-07
Enode,KCl,150,1,0.12,0.02,1.0978415666666665e-05,9.304229684698961e-07,1.883411e-05,1.2795648593174168e-06,1.7173635858972471,0.03792757112594423,8908.73237716681,819.9050232589082,1.7997500000000002e-05,1.3537905000036009e-06,1.3614156666666667e-05,6.397779588523922e-07,0.12,0.02,1.52608333333332e-07,3.721354200197419e-08,-0.4066666666666667,0.011547005383792493,-1.7828833333333335e-05,5.6595965698397e-07,-0.6,0.0,3.604116666666663e-05,4.2159308679500525e-06
Enode,KCl,151,1,0.2866666666666667,0.023094010767585025,1.1376746666666666e-05,8.891815307536102e-07,2.3065256666666667e-05,1.3827861839898928e-06,2.029653028587067,0.054717480930625464,7688.369039467375,627.2889134550021,2.2074609999999998e-05,1.5773629833364292e-06,1.2668909999999999e-05,6.291294280193861e-07,0.2866666666666667,0.023094010767585025,1.9350000000001094e-07,6.92563174013803e-08,-0.39999999999999997,0.019999999999999983,-2.1501999999999958e-05,9.176059543725949e-07,-0.6,0.0,4.750499999999999e-05,8.849005537347092e-06
Enode,KCl,152,1,0.15333333333333335,0.011547005383792512,1.100958e-05,7.719923699752476e-07,1.7794763333333333e-05,7.407170669920707e-07,1.6185193418961694,0.04756791530403346,8812.458386977589,621.2367412144405,1.7401256666666668e-05,9.527423002225382e-07,1.2903653333333333e-05,5.708082406844999e-07,0.15333333333333335,0.011547005383792512,1.042500000000061e-07,4.530383537847048e-08,-0.42,0.019999999999999976,-1.4953083333333383e-05,7.416802433215637e-08,-0.6,0.0,1.8710500000000047e-05,9.158485996604418e-06
Enode,KCl,210,2,0.11333333333333334,0.03055050463303894,7.729531e-06,5.07012712516165e-07,1.8402633333333332e-05,7.727707294103048e-07,2.383858191285885,0.08243803935002914,12473.444899601505,965.8085030144231,1.8402633333333332e-05,7.727707294103048e-07,1.0618356666666666e-05,1.9509650569226843e-07,0.11333333333333334,0.03055050463303894,2.847583333333383e-07,1.7353659976595204e-07,-0.5666666666666668,0.030550504633038916,-2.2937166666666658e-05,1.002260736202588e-06,0.6,0.0,9.014999999999967e-06,2.4608890669838063e-07
Enode,KCl,230,2,0.09333333333333334,0.011547005383792518,7.776612333333334e-06,5.117737422194826e-07,1.73445e-05,4.470018544704259e-07,2.234402303334828,0.09258872568383011,12589.71663067487,866.1007998793702,1.73445e-05,4.470018544704259e-07,1.0768290000000001e-05,2.5893806460232887e-07,0.09333333333333334,0.011547005383792518,1.951999999999853e-07,1.8323333996571933e-07,-0.5533333333333333,0.011547005383792509,-2.1515583333333375e-05,4.183865089045752e-07,0.5866666666666666,0.011547005383792535,8.991999999999973e-06,2.3388739277698274e-07
Enode,KCl,250,2,0.14,0.0,7.823662e-06,5.105292697906754e-07,1.7141513333333334e-05,4.065863347843033e-07,2.1951283171853797,0.09570683329967555,12215.616256172,722.3749419527246,1.7141513333333334e-05,4.065863347843033e-07,1.0135907666666666e-05,4.6011733458579135e-07,0.14,0.0,1.4774166666667722e-07,1.3352771794027606e-07,-0.58,0.01999999999999995,-2.080333333333341e-05,4.0231209381933945e-07,0.6,0.0,8.291433333333325e-06,2.0778838594431664e-07
Enode,MgCl2,110,2,0.13333333333333333,0.09018499505645788,1.086328e-05,4.715904274897877e-07,2.3551433333333333e-05,2.171224710464887e-06,2.1649509846220703,0.11030706089576679,8820.366850710328,665.8119265523133,2.3551433333333333e-05,2.171224710464887e-06,1.351161e-05,9.344933104629475e-07,0.13333333333333333,0.09018499505645788,2.594166666666945e-07,1.29714189020823e-07,-0.47333333333333333,0.023094010767584997,-2.6906583333333358e-05,2.459229939601686e-06,0.5266666666666667,0.03055050463303897,7.846583333333344e-06,1.394457832217675e-06
