Cycle #	V Indo	ids_Oupt01__--0.1000	ABS_ids_Oupt01__--0.1000	deviation	IGS Indo	ABS_igs_Oupt02__--0.1000	deviation.1	time_Oupt03__--0.1000	ABS_time_Oupt03__--0.1000	deviation.2	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	gm [S]	|gm| [S]	A	A	Cycle #	V Voltando	ids_Oupt01__--0.1000	ABS_ids_Oupt01__--0.1000	deviation	IGS Voltando	ABS_igs_Oupt02__--0.1000	deviation.1	time_Oupt03__--0.1000	ABS_time_Oupt03__--0.1000	deviation.2	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	gm [S]	|gm| [S]
2.0	-0.6	6.539033e-05	6.539033e-05	3.05505e-10	-1.72798e-08	1.72798e-08	1.599988e-10	1342198.0	1342198.0																																		
2.0	-0.58	6.535843e-05	6.535843e-05	6.110101e-10	-1.20791e-08	1.20791e-08	6.440373e-11	1342199.0	1342199.0										-1.6607499999997215e-06	1.6607499999997215e-06																							
2.0	-0.56	6.53239e-05	6.53239e-05	4.358899e-10	-9.051957e-09	9.051957e-09	1.307749e-10	1342200.0	1342200.0										-1.7457499999998672e-06	1.7457499999998672e-06																							
2.0	-0.54	6.52886e-05	6.52886e-05	9.165151e-10	-7.041293e-09	7.041293e-09	1.404805e-10	1342200.0	1342200.0										-1.6257500000001462e-06	1.6257500000001462e-06																							
2.0	-0.52	6.525887e-05	6.525887e-05	8.326664e-10	-5.595287e-09	5.595287e-09	1.189216e-10	1342201.0	1342201.0										-1.5582500000003302e-06	1.5582500000003302e-06																							
2.0	-0.5	6.522627e-05	6.522627e-05	2.886751e-10	-4.432997e-09	4.432997e-09	1.21976e-10	1342201.0	1342201.0										-1.6567500000000922e-06	1.6567500000000922e-06																							
2.0	-0.48	6.51926e-05	6.51926e-05	1.410674e-09	-3.53336e-09	3.53336e-09	1.623346e-10	1342202.0	1342202.0										-1.6467500000001516e-06	1.6467500000001516e-06																							
2.0	-0.46	6.51604e-05	6.51604e-05	2.645751e-10	-2.830427e-09	2.830427e-09	1.704404e-10	1342203.0	1342203.0										-1.507499999999504e-06	1.507499999999504e-06																							
2.0	-0.44	6.51323e-05	6.51323e-05	9.848858e-10	-2.539557e-09	2.539557e-09	1.849721e-10	1342203.0	1342203.0										-1.6474999999997568e-06	1.6474999999997568e-06																							
2.0	-0.42	6.50945e-05	6.50945e-05	1.178983e-09	-1.87278e-09	1.87278e-09	1.679216e-10	1342204.0	1342204.0										-1.7782500000003247e-06	1.7782500000003247e-06																							
2.0	-0.4	6.506117e-05	6.506117e-05	7.371115e-10	-1.477403e-09	1.477403e-09	1.442466e-10	1342205.0	1342205.0										-1.6474999999999736e-06	1.6474999999999736e-06																							
2.0	-0.38	6.50286e-05	6.50286e-05	1.442221e-09	-1.09116e-09	1.09116e-09	1.668929e-10	1342205.0	1342205.0										-1.673500000000383e-06	1.673500000000383e-06																							
2.0	-0.36	6.499423e-05	6.499423e-05	7.371115e-10	-7.005533e-10	7.005533e-10	2.857974e-10	1342206.0	1342206.0										-1.5982500000000927e-06	1.5982500000000927e-06																							
2.0	-0.34	6.496467e-05	6.496467e-05	2.081666e-10	-3.41336e-10	3.41336e-10	1.702207e-10	1342206.0	1342206.0										-1.5024999999999674e-06	1.5024999999999674e-06																							
2.0	-0.32	6.493413e-05	6.493413e-05	1.833939e-09	-1.223881e-10	1.223881e-10	1.085873e-10	1342207.0	1342207.0										-1.5860000000000353e-06	1.5860000000000353e-06																							
2.0	-0.3	6.490123e-05	6.490123e-05	8.962886e-10	-1.20004e-10	1.20004e-10	8.972697e-11	1342208.0	1342208.0										-1.5514999999997631e-06	1.5514999999997631e-06																							
2.0	-0.28	6.487207e-05	6.487207e-05	3.05505e-10	5.880993e-11	5.880993e-11	1.033232e-10	1342208.0	1342208.0										-1.323249999999991e-06	1.323249999999991e-06																							
2.0	-0.26	6.48483e-05	6.48483e-05	3.464102e-10	2.173582e-10	2.173582e-10	1.136016e-10	1342209.0	1342209.0										-1.2750000000000174e-06	1.2750000000000174e-06																							
2.0	-0.24	6.482107e-05	6.482107e-05	7.371115e-10	3.39349e-10	3.39349e-10	1.317377e-10	1342210.0	1342210.0										-1.3174999999999819e-06	1.3174999999999819e-06																							
2.0	-0.22	6.47956e-05	6.47956e-05	2.787472e-09	4.935267e-10	4.935267e-10	1.283536e-10	1342210.0	1342210.0										-1.2610000000000138e-06	1.2610000000000138e-06																							
2.0	-0.2	6.477063e-05	6.477063e-05	1.457166e-09	6.29822e-10	6.29822e-10	1.488987e-10	1342211.0	1342211.0										-1.21499999999994e-06	1.21499999999994e-06																							
2.0	-0.18	6.4747e-05	6.4747e-05	8.185353e-10	7.446607e-10	7.446607e-10	1.372632e-10	1342211.0	1342211.0										-1.0764999999997651e-06	1.0764999999997651e-06																							
2.0	-0.16	6.472757e-05	6.472757e-05	2.886751e-10	8.761867e-10	8.761867e-10	1.296727e-10	1342212.0	1342212.0										-1.034249999999886e-06	1.034249999999886e-06																							
2.0	-0.14	6.470563e-05	6.470563e-05	1.563117e-09	9.409583e-10	9.409583e-10	2.12076e-10	1342213.0	1342213.0										-1.0725000000001358e-06	1.0725000000001358e-06																							
2.0	-0.12	6.468467e-05	6.468467e-05	3.511885e-10	1.038709e-09	1.038709e-09	1.378411e-10	1342213.0	1342213.0										-9.450000000000257e-07	9.450000000000257e-07																							
2.0	-0.1	6.466783e-05	6.466783e-05	1.167619e-09	1.206797e-09	1.206797e-09	1.354067e-10	1342214.0	1342214.0										-8.06749999999936e-07	8.06749999999936e-07																							
2.0	-0.08	6.46524e-05	6.46524e-05	6.244998e-10	1.327597e-09	1.327597e-09	1.323536e-10	1342215.0	1342215.0										-7.289999999998773e-07	7.289999999998773e-07																							
2.0	-0.06	6.463867e-05	6.463867e-05	8.082904e-10	1.499257e-09	1.499257e-09	1.548043e-10	1342215.0	1342215.0										-5.992500000005178e-07	5.992500000005178e-07																							
2.0	-0.04	6.462843e-05	6.462843e-05	7.637626e-10	1.684823e-09	1.684823e-09	1.473653e-10	1342216.0	1342216.0										-6.200000000000042e-07	6.200000000000042e-07																							
2.0	-0.02	6.461387e-05	6.461387e-05	3.511885e-10	1.881917e-09	1.881917e-09	1.684454e-10	1342216.0	1342216.0										-5.774999999996061e-07	5.774999999996061e-07																							
2.0	0.0	6.460533e-05	6.460533e-05	6.658328e-10	2.06709e-09	2.06709e-09	1.675197e-10	1342217.0	1342217.0										-5.575000000001586e-07	5.575000000001586e-07																							
2.0	0.02	6.459157e-05	6.459157e-05	2.309401e-10	2.26458e-09	2.26458e-09	1.794103e-10	1342218.0	1342218.0										-5.34000000000168e-07	5.34000000000168e-07																							
2.0	0.04	6.458397e-05	6.458397e-05	1.721434e-09	2.23438e-09	2.23438e-09	1.424325e-10	1342218.0	1342218.0										-3.7849999999983383e-07	3.7849999999983383e-07																							
2.0	0.06	6.457643e-05	6.457643e-05	3.21455e-10	2.419157e-09	2.419157e-09	1.865653e-10	1342219.0	1342219.0										-2.5499999999978665e-07	2.5499999999978665e-07																							
2.0	0.08	6.457377e-05	6.457377e-05	1.855622e-09	2.760887e-09	2.760887e-09	1.81388e-10	1342220.0	1342220.0										-1.1900000000003054e-07	1.1900000000003054e-07																							
2.0	0.1	6.457167e-05	6.457167e-05	3.785939e-10	3.020367e-09	3.020367e-09	1.90144e-10	1342220.0	1342220.0										-1.5999999999991715e-07	1.5999999999991715e-07																							
2.0	0.12	6.456737e-05	6.456737e-05	6.027714e-10	3.344617e-09	3.344617e-09	1.975424e-10	1342221.0	1342221.0										-1.5349999999986902e-07	1.5349999999986902e-07																							
2.0	0.14	6.456553e-05	6.456553e-05	5.859465e-10	3.608467e-09	3.608467e-09	2.39138e-10	1342221.0	1342221.0										-1.3599999999997295e-07	1.3599999999997295e-07																							
