,Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
286,Standard,MgCl2,-0.8,1.0,0.1,5.657433866666667e-06,1.9019486372891384e-06,5.595049e-06,1.8881288130839685e-06,-6.238486666666672e-08,1.1142484294632534e-07,0.9878600547972485,0.021586727271446095
298,Standard,MgCl2,-0.7,1.0,0.1,5.4116236e-06,1.7873072152619763e-06,5.4331614e-06,1.786544544151452e-06,2.153779999999919e-08,1.3585014795722558e-08,1.004224189655785,0.0025466693442036856
313,Standard,MgCl2,-0.6,1.0,0.1,5.300601533333333e-06,1.7293415194510576e-06,5.335092933333333e-06,1.7492390657991759e-06,3.449140000000012e-08,2.004003858179953e-08,1.006080200921233,0.0021203040077970936
330,Standard,MgCl2,-0.5,1.0,0.1,5.294721333333333e-06,1.7493035264656998e-06,5.314351133333334e-06,1.7267473103421969e-06,1.9629800000000027e-08,2.4526261563475047e-08,1.0050079799445812,0.005942991818222844
350,Standard,MgCl2,-0.4,1.0,0.1,5.248785333333334e-06,1.6952388941670774e-06,5.277792800000001e-06,1.7026043805433727e-06,2.9007466666666714e-08,3.9475644982866176e-08,1.0053106608673799,0.00750418049889737
370,Standard,MgCl2,-0.3,1.0,0.1,5.241315266666667e-06,1.7263141081502444e-06,5.283116733333334e-06,1.7368777828195094e-06,4.1801466666666375e-08,1.118485744269177e-08,1.0081633486089787,0.0012000692885021772
390,Standard,MgCl2,-0.2,1.0,0.1,5.245367599999999e-06,1.7339023617220897e-06,5.275329933333333e-06,1.693158585639919e-06,2.996233333333363e-08,4.4942968769023486e-08,1.008000953565513,0.010503958948647925
410,Standard,MgCl2,-0.1,1.0,0.1,5.2661897333333325e-06,1.7136229930124561e-06,5.271513866666666e-06,1.7153450318646606e-06,5.324133333333819e-09,4.3088664153965405e-08,1.0006667838544718,0.008420945014643305
430,Standard,MgCl2,0.1,1.0,0.1,5.256334599999999e-06,1.7353280828982284e-06,5.260705466666666e-06,1.7514089026878481e-06,4.370866666667195e-09,3.150828926510035e-08,1.0003774365798404,0.00510720728329994
450,Standard,MgCl2,0.2,1.0,0.1,5.263726599999999e-06,1.70381634735469e-06,5.271354666666668e-06,1.7279329083424198e-06,7.628066666667267e-09,2.4221266338763734e-08,1.0004465646223968,0.004664734860145396
470,Standard,MgCl2,0.3,1.0,0.1,5.214453600000001e-06,1.711379757132204e-06,5.248308933333333e-06,1.710512168825541e-06,3.385533333333274e-08,1.1563816467470932e-08,1.007179243590433,0.004144960965125352
490,Standard,MgCl2,0.4,1.0,0.1,5.258639866666667e-06,1.7122472596294297e-06,5.261977733333334e-06,1.7185394530147545e-06,3.337866666666845e-09,8.605615850904079e-09,1.00043852854524,0.001293619215546551
510,Standard,MgCl2,0.5,1.0,0.1,5.2711963333333335e-06,1.7202182261010302e-06,5.2862972e-06,1.6974136091791764e-06,1.5100866666666358e-08,3.4966153793251897e-08,1.004417811049404,0.009437470221245666
528,Standard,MgCl2,0.6,1.0,0.1,5.262932933333333e-06,1.6654023800708627e-06,5.350748533333334e-06,1.729697411327627e-06,8.781560000000012e-08,8.587625241590352e-08,1.0155136912592309,0.0111870263332993
543,Standard,MgCl2,0.7,1.0,0.1,5.288045333333334e-06,1.7528725617417187e-06,5.425292933333335e-06,1.7861203617686729e-06,1.3724760000000044e-07,6.902223653171423e-08,1.0271387495617124,0.01341906257502158
556,Standard,MgCl2,0.8,1.0,0.1,5.332073533333334e-06,1.7519585641054907e-06,5.679290133333333e-06,1.949508480841203e-06,3.4721659999999964e-07,2.272686211938645e-07,1.0624331430088823,0.023194496629344724
