Type,Chip,Disp,Electrolyte,Potential [V],Period [s],Pulses #,IDSant (2-3s) [A],Std IDSant [A],"IDSdep (+3, +4s) [A]",Std IDSdep [A],delIDS [A],Std del IDS [A],RatioIDS,Std RazIDS
Enode,1,1,MgCl2,-0.5,0.25,10,9.085230348258697e-06,9.551579407814256e-08,9.283793880597006e-06,9.721340561293825e-08,1.9856353233830882e-07,1.3628541062506948e-07,1.0218556409388526,0.0151626895261647
Enode,1,1,MgCl2,-0.5,0.15,10,1.0098388009950252e-05,1.1810127506940766e-07,1.0182488308457724e-05,1.0551024793888204e-07,8.410029850747161e-08,1.5836768481336166e-07,1.0083280914166306,0.0157552387343694
Enode,1,1,MgCl2,-0.5,0.125,10,1.0235634079602e-05,1.0480540656508909e-07,1.036635621890548e-05,1.0398854972366821e-07,1.3072213930348282e-07,1.4764075222954349e-07,1.012771279071415,0.0145173126612472
Enode,1,1,MgCl2,-0.5,0.11,10,1.0288537810945276e-05,9.41031979434497e-08,1.045169800995025e-05,9.488041734741613e-08,1.6316019900497269e-07,1.336327260037897e-07,1.015858443833622,0.0130910518526142
Enode,1,1,MgCl2,-0.5,0.105,10,1.0303072636815927e-05,9.95288179248224e-08,1.0454957213930353e-05,9.628094235205105e-08,1.518845771144236e-07,1.384774546910486e-07,1.0147416777953884,0.0135431181286809
Enode,1,1,MgCl2,-0.5,0.25,20,9.256571343283573e-06,9.887293391867441e-08,9.511596517412942e-06,1.0231085235599876e-07,2.550251741293692e-07,1.4227918882077428e-07,1.0275507166392026,0.0155765532412157
Enode,1,1,MgCl2,-0.5,0.15,20,9.785778407960194e-06,1.0766465891578684e-07,1.010900213930349e-05,1.0690491848320405e-07,3.232237313432969e-07,1.517245542928145e-07,1.0330299458937648,0.0157645482117214
Enode,1,1,MgCl2,-0.5,0.125,20,9.95219631840796e-06,1.0088874637628381e-07,1.0183082487562202e-05,1.0779880351275277e-07,2.308861691542429e-07,1.4764525452637885e-07,1.023199519158117,0.0149971311255279
Enode,1,1,MgCl2,-0.5,0.11,20,9.873436218905465e-06,8.76958512623708e-08,1.0123118159203988e-05,1.0912040494836217e-07,2.49681940298522e-07,1.3999223230139025e-07,1.0252882517051598,0.0143204475714095
Enode,1,1,MgCl2,-0.5,0.105,20,1.0015890149253735e-05,1.077642783740402e-07,1.03155804477612e-05,1.2272461827318297e-07,2.9969029850746424e-07,1.6332321214014897e-07,1.0299214841658175,0.0165206012589764
Enode,1,1,MgCl2,-0.5,0.25,50,9.565389104477607e-06,9.369232907337741e-08,9.889568258706458e-06,9.8081141543381e-08,3.241791542288486e-07,1.3563982768216264e-07,1.0338908486302034,0.0144115702619099
Enode,1,1,MgCl2,-0.5,0.15,50,9.806476268656704e-06,1.1084241960778132e-07,1.0172229253731343e-05,1.110694045268107e-07,3.657529850746397e-07,1.5691543775692613e-07,1.037297085625308,0.0163017250632809
Enode,1,1,MgCl2,-0.5,0.125,50,9.866614029850743e-06,1.119929227191573e-07,1.026024870646767e-05,1.246782012314839e-07,3.936346766169272e-07,1.6759197057585284e-07,1.039895619249523,0.0172916565707731
Enode,1,1,MgCl2,-0.5,0.11,50,9.991041094527366e-06,9.749906582011968e-08,1.0332133830845774e-05,1.0078765474874009e-07,3.410927363184081e-07,1.4022916667208448e-07,1.034139859208991,0.0142691402148838
Enode,1,1,MgCl2,-0.5,0.105,50,9.94170084577114e-06,9.24536581525096e-08,1.0329757711442786e-05,1.0494428356388117e-07,3.880568656716449e-07,1.398605790010802e-07,1.0390332470964172,0.0143106191899746
Enode,1,1,MgCl2,0.5,0.25,10,9.09572825870645e-06,1.0076157994222184e-07,9.115536716417898e-06,1.0215433376105094e-07,1.9808457711447412e-08,1.4348659832408374e-07,1.0021777758908406,0.0157921142039216
Enode,1,1,MgCl2,0.5,0.15,10,9.91417985074627e-06,1.09817930910565e-07,9.85546402985074e-06,1.1990719071923544e-07,-5.8715820895529154e-08,1.6259677836801294e-07,0.9940775917141436,0.0163561907021575
Enode,1,1,MgCl2,0.5,0.125,10,1.004204810945274e-05,1.311560514326655e-07,9.985287661691544e-06,1.0834832481402285e-07,-5.67604477611974e-08,1.70121337043338e-07,0.9943477219843462,0.0168840518861114
Enode,1,1,MgCl2,0.5,0.11,10,1.0059481641791047e-05,9.448100583075437e-08,1.0016484079601987e-05,9.379087024478265e-08,-4.2997562189059976e-08,1.331292146903327e-07,0.9957256682083468,0.0132057415100485
Enode,1,1,MgCl2,0.5,0.105,10,1.0152418706467662e-05,9.650335124915821e-08,1.00019539800995e-05,1.0226982770142729e-07,-1.5046472636816184e-07,1.4061299534679585e-07,0.9851794207155476,0.0137538941994205
Enode,1,1,MgCl2,0.5,0.25,20,9.303128308457702e-06,1.0096401149481113e-07,9.131253383084562e-06,9.97692606542593e-08,-1.7187492537314045e-07,1.4194237206916716e-07,0.9815250397850706,0.0151155269586305
Enode,1,1,MgCl2,0.5,0.15,20,9.72872298507462e-06,9.901811307051236e-08,9.582232786069654e-06,1.0505358443765273e-07,-1.464901990049669e-07,1.4436357684417424e-07,0.9849425048662906,0.0147342091468961
Enode,1,1,MgCl2,0.5,0.125,20,9.707846766169147e-06,9.56273218959417e-08,9.586562437810946e-06,9.774255573969504e-08,-1.212843283582017e-07,1.3674133206721898e-07,0.9875065674933328,0.01399986210277
Enode,1,1,MgCl2,0.5,0.11,20,9.831207960198994e-06,9.377499951116177e-08,9.648479502487558e-06,9.37779318749952e-08,-1.827284577114367e-07,1.3261994963077628e-07,0.981413427683434,0.0133649185352994
Enode,1,1,MgCl2,0.5,0.105,20,9.822668208955218e-06,1.075568831120358e-07,9.711701542288552e-06,1.0569933829551368e-07,-1.1096666666666434e-07,1.5080064065144276e-07,0.988703001638038,0.0152643274881204
Enode,1,1,MgCl2,0.5,0.25,50,9.496414179104484e-06,1.1453880834655041e-07,9.344525124378116e-06,1.0185942938240645e-07,-1.5188905472636937e-07,1.5327909828661328e-07,0.9840056413018948,0.0159970930498861
Enode,1,1,MgCl2,0.5,0.15,50,9.604236119402988e-06,1.0323454451328633e-07,9.431827164179113e-06,1.150545912487542e-07,-1.7240895522387657e-07,1.545798503954626e-07,0.9820486550850652,0.0159667476419017
Enode,1,1,MgCl2,0.5,0.125,50,9.630983880597016e-06,1.0677389429006353e-07,9.482061293532344e-06,1.030278383172162e-07,-1.4892258706467292e-07,1.483758739491839e-07,0.9845371367130312,0.0152831974394346
Enode,1,1,MgCl2,0.5,0.11,50,9.671312985074618e-06,9.891938166024273e-08,9.501751840796027e-06,1.1514730496670145e-07,-1.6956114427859052e-07,1.5180232511111057e-07,0.9824676189737352,0.0155798852047739
Enode,1,1,MgCl2,0.5,0.105,50,9.83612980099502e-06,1.0298983474576617e-07,9.606548855721394e-06,1.0367342911847812e-07,-2.295809452736248e-07,1.4613379474353057e-07,0.976659422972397,0.0146856257097666
Enode,1,1,MgCl2,-0.8,0.25,10,9.080486069651725e-06,9.542633368717014e-08,9.434852139303488e-06,9.109209467292153e-08,3.5436606965176305e-07,1.3192404963794753e-07,1.039025011098922,0.014827658355328
Enode,1,1,MgCl2,-0.8,0.15,10,9.876756119402983e-06,1.2088316140333892e-07,1.0059122636815926e-05,1.1714417632777337e-07,1.8236651741294098e-07,1.6833150851334441e-07,1.0184642118533918,0.0172062031655656
Enode,1,1,MgCl2,-0.8,0.125,10,1.0067489353233831e-05,1.1065925231122608e-07,1.0178159751243778e-05,1.0994213546424233e-07,1.1067039800994505e-07,1.559895614216458e-07,1.0109928497688847,0.0155803356950138
Enode,1,1,MgCl2,-0.8,0.11,10,1.0003732089552245e-05,9.84816337882956e-08,1.0215762288557222e-05,1.103728314927923e-07,2.120301990049778e-07,1.4792158099935348e-07,1.0211951096957523,0.0149263676709687
Enode,1,1,MgCl2,-0.8,0.105,10,9.956286517412932e-06,1.0207738078443722e-07,1.0184740895522396e-05,9.540523805428109e-08,2.284543781094637e-07,1.397209759341991e-07,1.0229457416387036,0.0142062217026127
Enode,1,1,MgCl2,-0.8,0.25,20,9.171701393034812e-06,9.374143455830913e-08,9.608328109452734e-06,9.839937118908834e-08,4.3662671641792194e-07,1.3590398376595788e-07,1.0476058582488856,0.0151574602514001
Enode,1,1,MgCl2,-0.8,0.15,20,9.644031343283586e-06,1.1339279202703573e-07,1.00796468159204e-05,1.113949510382359e-07,4.3561547263681453e-07,1.5895521507801358e-07,1.0451694376688427,0.0168652077895695
Enode,1,1,MgCl2,-0.8,0.125,20,9.658146965174124e-06,1.0157999936131017e-07,9.995608656716418e-06,1.195770356577156e-07,3.374616915422923e-07,1.5689857783590765e-07,1.0349406250245652,0.0164855061498409
Enode,1,1,MgCl2,-0.8,0.11,20,9.631754875621884e-06,1.019488644326628e-07,9.99821815920398e-06,1.08664541171877e-07,3.6646328358209683e-07,1.4900185726092144e-07,1.0380474055158548,0.0157481396320307
