IDSant (2-3s) [A],IDSant (2-3s) [A],"IDSdep (+3, +4s) [A]","IDSdep (+3, +4s) [A]",delIDS [A],delIDS [A],RatioIDS,RatioIDS
mean,std,mean,std,mean,std,mean,std
8.163345074626862e-06,4.407788637973982e-07,8.28654781094527e-06,4.0199581283628185e-07,1.2320273631840984e-07,4.221039396003224e-08,1.0152971980178573,0.005967164241894232
8.064557578772793e-06,4.468395352841098e-07,8.377921840796016e-06,3.896639269583255e-07,3.1336426202322294e-07,6.356407365869983e-08,1.0392140896044164,0.010148669678052596
8.093460199004967e-06,4.983513522549403e-07,8.583365870646758e-06,4.352875599420766e-07,4.899056716417916e-07,6.522496242692562e-08,1.0610232127764379,0.012120310509123914
8.112656451077939e-06,5.41347811271035e-07,8.296788407960192e-06,5.156392175225004e-07,1.8413195688225308e-07,2.570868101249736e-08,1.0229140801336447,0.0048826262081105
8.03672217247097e-06,4.862053962311898e-07,8.350383034825869e-06,4.376149331013911e-07,3.1366086235489894e-07,6.855885243426723e-08,1.0393919364591169,0.0105407547890867
8.080471956882245e-06,4.802089939825462e-07,8.545744643449412e-06,3.894393896732782e-07,4.652726865671666e-07,9.582376136821042e-08,1.0581878949936443,0.015741247022179015
7.996946301824208e-06,5.261232222759135e-07,8.248610414593695e-06,4.74811164100573e-07,2.516641127694867e-07,7.840554578108952e-08,1.0318727735746236,0.011354977880096486
7.947384411276941e-06,5.772931482533878e-07,8.300524825870642e-06,4.578284640095654e-07,3.531404145937007e-07,1.1978821308756872e-07,1.0453616349403567,0.019164706331836336
7.97648490878938e-06,4.638060948849468e-07,8.445414610281918e-06,3.92890407954242e-07,4.6892970149253894e-07,7.695211788052388e-08,1.059285013755528,0.013179164936236602
7.923325174129343e-06,5.00362715011914e-07,8.15705849087893e-06,5.157186112319809e-07,2.3373331674958758e-07,1.6153137619515788e-08,1.029496314926013,0.0006237817780133024
7.933269237147586e-06,5.176743422056536e-07,8.267292603648419e-06,4.5259318066843314e-07,3.340233665008325e-07,6.689216194814022e-08,1.0426020897511645,0.011598715617114822
7.940524461028182e-06,5.010495207458772e-07,8.425289436152566e-06,4.4853154206356256e-07,4.847649751243851e-07,7.158742723105034e-08,1.061521097399791,0.012533561223653643
7.77218835820895e-06,5.292370137971453e-07,8.060722205638467e-06,5.229404963723024e-07,2.8853384742951747e-07,1.3642078163075394e-08,1.037282650389681,0.0037958515557375504
7.736484958540627e-06,4.798484790269388e-07,8.085552603648416e-06,5.080476718969737e-07,3.4906764510778893e-07,3.3213076691959835e-08,1.0450844906056707,0.0024137503137567394
7.804293731343278e-06,5.071598089961473e-07,8.259087827529014e-06,4.983676251980653e-07,4.547940961857343e-07,2.6984780587766908e-08,1.0584980556022379,0.005994652113737023
8.334449320066334e-06,4.7670739263945826e-07,8.379978043117742e-06,4.346659532939365e-07,4.5528723051408055e-08,4.410756735871036e-08,1.0056755648267273,0.005791401806154569
8.074916451077935e-06,4.563416692822451e-07,8.268953134328353e-06,4.37951189290604e-07,1.940366832504186e-07,3.9834603372751924e-08,1.02417444315216,0.0056233712307858855
8.085789767827521e-06,5.146029961471295e-07,8.401111459369818e-06,5.097443312770524e-07,3.153216915422961e-07,5.092473090130415e-09,1.039133124695171,0.003212233587354588
8.221091310116082e-06,5.777228340589912e-07,8.31843597014925e-06,4.7304167534035424e-07,9.734466003316724e-08,1.1146956162170727e-07,1.0125128998491268,0.014902277822984915
8.085256019900492e-06,5.147081717633884e-07,8.27079160862354e-06,5.116514149137974e-07,1.855355887230486e-07,8.468096966518046e-09,1.0230292211749445,0.0021508092644619585
8.103107761194021e-06,4.845804208019506e-07,8.421809933665003e-06,4.3362746492306354e-07,3.1870217247098235e-07,5.8353019608752834e-08,1.0396914978916112,0.009576910425228229
8.174653217247091e-06,4.789789593676073e-07,8.22941419568822e-06,4.495076655800339e-07,5.47609784411287e-08,2.9769310793637644e-08,1.0068608261573184,0.004171684045607967
8.005130762852397e-06,5.191372827415109e-07,8.18062344941956e-06,5.252436495595011e-07,1.754926865671647e-07,8.479745501068445e-09,1.021952401322124,0.0009927473786722533
