IDSmed [A],IDSmed [A],delIDS [A],delIDS [A],Gn [S],Gn [S]
mean,std,mean,std,mean,std
6.63286355973014e-06,2.6574031595249617e-06,0.0,0.0,0.0,0.0
6.64265823028624e-06,2.6744224299516e-06,9.794670556098695e-09,1.9983380248441652e-08,2.164033904777e-07,2.4956680379254086e-07
6.650787753414988e-06,2.6875359858923057e-06,8.12952312875002e-09,1.4631170558648914e-08,2.962669525778463e-07,4.1476395283731693e-07
6.6612185586715595e-06,2.6936574277408544e-06,1.043080525657028e-08,6.459136885261117e-09,5.013824866119456e-07,7.408126618215318e-07
6.671065420960076e-06,2.6981767819976284e-06,9.846862288517189e-09,4.52015609185893e-09,6.240600215776101e-07,6.271811614625745e-07
6.679678165255609e-06,2.7055613723626614e-06,8.612744295532765e-09,7.498128801762303e-09,7.436449518871446e-07,7.851074994904591e-07
6.683775628365158e-06,2.7100901810628744e-06,4.097463109549629e-09,5.591037428280999e-09,5.881959615511802e-07,8.662450517958797e-07
6.684870011023729e-06,2.708529874523259e-06,1.0943826585695605e-09,1.8611051576194651e-09,4.5724796443262104e-07,5.085906544245078e-07
6.689300211822531e-06,2.7118670875351253e-06,4.430200798803223e-09,4.956417163023182e-09,4.671445150362843e-07,5.471346686871748e-07
6.6937578679926455e-06,2.7134130651308543e-06,4.45765617011384e-09,5.375054290862719e-09,4.964312366682788e-07,6.208170377925929e-07
6.812983031068143e-06,2.6700719372793754e-06,1.1922516307549673e-07,8.269402273354848e-08,1.608753709073382e-06,1.5749731864195615e-07
6.800132993589614e-06,2.6560183311663663e-06,-1.2850037478528413e-08,1.4104776353142835e-08,1.5703429928658285e-06,2.7061047121126916e-07
6.789735285413674e-06,2.6457031730754544e-06,-1.0397708175938857e-08,1.0955590550691376e-08,1.3438572355684948e-06,3.280465568212367e-07
6.784624081509112e-06,2.63682086081658e-06,-5.1112039045622715e-09,8.889164831884172e-09,1.4765475562186752e-06,4.880812840665617e-07
6.779369854825745e-06,2.630324601133567e-06,-5.254226683367072e-09,6.521090687420799e-09,1.4951292707760888e-06,4.4540719212592886e-07
6.779070436853847e-06,2.6283647213571586e-06,-2.994179718977345e-10,4.102293322928105e-09,1.3656563098119805e-06,3.3751919994507354e-07
6.7738194549823065e-06,2.6270302883678916e-06,-5.2509818715409985e-09,1.6581259570764823e-09,1.3014299802910573e-06,4.7568329662390126e-07
6.7726740079857945e-06,2.622964505380289e-06,-1.1454469965122882e-09,4.489148574441497e-09,1.3208537290992838e-06,3.2140006211362086e-07
6.766444651399676e-06,2.6205036919001585e-06,-6.229356586118511e-09,4.281982580158223e-09,1.2517381694396053e-06,6.256987722053288e-07
6.766090677956527e-06,2.620925645882522e-06,-3.539734431491126e-10,1.6631316189554791e-09,1.4059360062214798e-06,4.490072894818205e-07
