Type	Chip	Disp	Electrolyte	Potential [V]	Width [s]	VDS [V]	IDSant (5sp 1sa) [A]	Std IDSant [A]	IDSdep (5sp 10sd) [A]	Std IDSdep [A]	delIDS [A]	Std del IDS [A]	RatioIDS	Std RazIDS
Standard	1	1	KCl	0.1	0.01	0.1	5.689653678528596e-06	1.7922811716464073e-07	5.770993410635752e-06	1.815949683173045e-07	8.133973210715654e-08	2.551459396121071e-07	1.0142960778815262	0.0451613214128923
Standard	1	1	KCl	-0.1	0.01	0.1	5.764959172331084e-06	1.8167775401978786e-07	5.765888564574185e-06	1.7595035591910224e-07	9.293922431003223e-10	2.5291368894097704e-07	1.000161214019964	0.043874504854428
Standard	1	1	KCl	0.2	0.01	0.1	5.735602463014809e-06	1.7953689349482305e-07	5.724358396641349e-06	1.751156584832669e-07	-1.1244066373459755e-08	2.507967104485216e-07	0.9980396015159758	0.0436823984154557
Standard	1	1	KCl	-0.2	0.01	0.1	5.742346997201129e-06	1.775278530067316e-07	5.782571327469024e-06	1.7726774819621638e-07	4.0224330267894514e-08	2.508784429633939e-07	1.0070048588647638	0.0438426916473579
Standard	1	1	KCl	0.3	0.01	0.1	5.725349720111978e-06	1.7437584333043905e-07	5.745125809676151e-06	1.793329015092156e-07	1.9776089564173266e-08	2.501344124684083e-07	1.0034541277879854	0.0437623357246693
Standard	1	1	KCl	-0.3	0.01	0.1	5.714677744902048e-06	1.820344724729701e-07	5.735330767692939e-06	1.808745804149669e-07	2.0653022790891306e-08	2.566167629146678e-07	1.0036140310465127	0.0449865884217154
Standard	1	1	KCl	0.4	0.01	0.1	5.726670111955229e-06	1.810098039417411e-07	5.733719704118364e-06	1.7915074024382952e-07	7.0495921631347365e-09	2.546753558021263e-07	1.0012310106964983	0.0444994685011897
Standard	1	1	KCl	-0.4	0.01	0.1	5.748719712115164e-06	1.7759242338837918e-07	5.712161011595371e-06	1.8090007564082534e-07	-3.655870051979225e-08	2.5350326666892016e-07	0.9936405491395334	0.0439599366306359
Standard	1	1	KCl	0.5	0.01	0.1	5.787394866053614e-06	1.7533422493133524e-07	5.752571079568198e-06	1.7554534026021428e-07	-3.482378648541654e-08	2.4810936483604654e-07	0.9939828217546244	0.0427420170819976
Standard	1	1	KCl	-0.5	0.01	0.1	5.71969195521793e-06	1.837454118573187e-07	5.752523438624571e-06	1.7824163531254765e-07	3.283148340664092e-08	2.559930798625363e-07	1.0057400789524495	0.0448889868149789
Standard	1	1	KCl	0.6	0.01	0.1	5.710912251099569e-06	1.747726548192554e-07	5.713767357057185e-06	1.7961777243360988e-07	2.855105957616161e-09	2.506152929224046e-07	1.0004999386844136	0.0438942542320574
Standard	1	1	KCl	-0.6	0.01	0.1	5.695526101559389e-06	1.7705431442841398e-07	5.679973182726923e-06	1.7922110807231028e-07	-1.5552918832465675e-08	2.519294263010624e-07	0.9972692744172996	0.0441732450477487
Standard	1	1	KCl	0.7	0.01	0.1	5.712208704518212e-06	1.7245500829631205e-07	5.726817888844472e-06	1.799714531257157e-07	1.4609184326260258e-08	2.492598118964683e-07	1.0025575368621782	0.043689785077817
Standard	1	1	KCl	-0.7	0.01	0.1	5.7259551539384525e-06	1.780985939790262e-07	5.718333602558992e-06	1.7700257718399505e-07	-7.621551379460251e-09	2.510956421507194e-07	0.998668946721628	0.0438228293178645
Standard	1	1	KCl	0.8	0.01	0.1	5.718376497401046e-06	1.744550603433655e-07	5.77125085565777e-06	1.7972581507548453e-07	5.28743582567233e-08	2.504714288775359e-07	1.0092463933217328	0.0439980845530157
Standard	1	1	KCl	-0.8	0.01	0.1	5.721741595361851e-06	1.7900427994831184e-07	5.71156988804479e-06	1.774686508311472e-07	-1.0171707317060833e-08	2.520667654960511e-07	0.9982222707636244	0.0440147247812253
Standard	1	1	KCl	0.1	0.1	0.1	6.337794530938139e-06	5.100630274024517e-08	6.350143752495024e-06	5.548915855093326e-08	1.2349221556884784e-08	7.537034984607776e-08	1.0019485045620526	0.0119028226113908
Standard	1	1	KCl	-0.1	0.1	0.1	6.344171516966082e-06	5.0555097445205374e-08	6.373819141716577e-06	5.192903745942027e-08	2.9647624750494552e-08	7.247373875519383e-08	1.0046732066860438	0.0114496807781153
Standard	1	1	KCl	0.2	0.1	0.1	6.342981936127765e-06	5.410090710185845e-08	6.370773692614789e-06	4.923194656051414e-08	2.779175648702375e-08	7.314842931588645e-08	1.00438149702567	0.0115598501873171
Standard	1	1	KCl	-0.2	0.1	0.1	6.308955928143727e-06	4.9524769392565854e-08	6.311144730538929e-06	4.868003275037161e-08	2.1888023952022702e-09	6.944385049782365e-08	1.0003469357561112	0.0110091282669068
Standard	1	1	KCl	0.3	0.1	0.1	6.310240538922173e-06	5.030746767537593e-08	6.366680798403208e-06	5.020153883459434e-08	5.6440259481035584e-08	7.107063954454242e-08	1.0089442326537168	0.0113133331041591
Standard	1	1	KCl	-0.3	0.1	0.1	6.338913053892225e-06	5.0053357114734057e-08	6.3518570259481166e-06	5.067147180551725e-08	1.2943972055891644e-08	7.122455063664796e-08	1.0020419860543668	0.0112474196127804
Standard	1	1	KCl	0.4	0.1	0.1	6.3176644510978175e-06	4.967310013224564e-08	6.37550824351299e-06	5.250368789436217e-08	5.7843792415172496e-08	7.227761838395544e-08	1.0091558823459073	0.0114901534752392
Standard	1	1	KCl	-0.4	0.1	0.1	6.348597325349319e-06	5.120079452930336e-08	6.3676564670658845e-06	4.950428251064152e-08	1.9059141716565595e-08	7.121934672071452e-08	1.0030021027858331	0.0112355419379738
Standard	1	1	KCl	0.5	0.1	0.1	6.303173652694631e-06	5.657165303604934e-08	6.311596846307397e-06	5.314731156356207e-08	8.423193612766035e-09	7.76208003931001e-08	1.0013363416711778	0.0123233025274405
Standard	1	1	KCl	-0.5	0.1	0.1	6.374747125748518e-06	4.909700405648146e-08	6.374247185628755e-06	4.85138732803667e-08	-4.999401197624436e-10	6.902254492544907e-08	0.9999215749095768	0.0108270657220542
Standard	1	1	KCl	0.6	0.1	0.1	6.371391956087837e-06	5.249208603747877e-08	6.379363213572864e-06	5.4058420005141604e-08	7.971257485027151e-09	7.535072574314309e-08	1.00125110141394	0.0118335979259865
