Type	Chip	Disp	Electrolyte	IDSmed (100s - 600s) [A]	Std IDSmed [A]	IGSmed (100s - 600s) [A]	Std IGSmed [A]	IDSmed_pos (90s - 100s) [A]	Std IDSmed_pos_b [A]	IDSmed_pos (130s - 140s) [A]	Std IDSmed_pos_d [A]	IDSmed_pos (150s - 160s) [A]	Std IDSmed_pos_a [A]	a trans pos [muA]	Std a trans pos [muA]	Tau trans pos [s]	Std Tau trans pos [s]	c trans pos [muA]	Std c trans pos [muA]	r2 trans pos	a long pos [muA]	Std a long pos [muA]	Tau long pos [s]	Std Tau long pos [s]	c long pos [muA]	Std c long pos [muA]	r2 long pos	Slope pos [muA/s]	Std Slope pos [muA/s]	r2 linear pos	IDSmed_neg (90s - 100s) [A]	Std IDSmed_neg_b [A]	IDSmed_neg (130s - 140s) [A]	Std IDSmed_neg_d [A]	IDSmed_neg (150s - 160s) [A]	Std IDSmed_neg_a [A]	a trans neg [muA]	Std a trans neg [muA]	Tau trans neg [s]	Std Tau trans neg [s]	c trans neg [muA]	Std c trans neg [muA]	r2 trans neg	a long neg [muA]	Std a long neg [muA]	Tau long neg [s]	Std Tau long neg [s]	c long neg [muA]	Std c long neg [muA]	r2 long neg	Slope neg [muA/s]	Std Slope neg [muA/s]	r2 linear neg
Enode	1	1	MgCl2	1.090443634e-05	6.784402399417886e-08	-1.3943192854e-07	7.29605405611459e-08	1.0692724999999997e-05	3.0897233948309395e-08	1.4991748e-05	3.123869809364431e-08	1.5676141000000003e-05	2.4833274805503545e-07	-2.8095257140705754	0.0167536223154585	4.88331311849042	0.0632014205881356	16.187177999147732	0.0074275690241753	0.9928620223324164	3.665225553427984	0.0035721205075756	467.9030566030408	1.3730968415823617	12.614652092537662	0.004339301964171	0.994676657628882	-0.000144997848034	4.271164245138138e-07	0.7934665669149212	1.0973104e-05	2.6386826832778426e-08	2.9805541000000003e-05	1.8071293553505522e-07	1.2752533999999998e-05	1.8999651310995002e-07	2.5284811120172943	0.0299114827993102	4.855668096785101	0.1242220152436552	12.269472696290494	0.0131544107894844	0.9725661606170588	1.0175814254866808	0.0021666501114435	246.4075442983376	1.315885556303631	10.86105080297339	0.0013045810240248	0.95969596230146	-0.0002048877790234	1.0157412949616614e-06	0.7306681860462311
Enode	1	2	KCl	1.221617384e-05	7.955633310857213e-08	2.615212334e-08	4.110180826004516e-08	1.2127872e-05	2.765815159216092e-08	1.5876892999999998e-05	4.2398232893898375e-08	1.5720245999999995e-05	2.805241502486502e-07	-2.397820567188353	0.0072934176845129	10.36761268610241	0.098639908978296	16.721759682602308	0.0085733426436628	0.9984052088453106	2.43200387518599	0.0029887604786841	481.2947254451057	1.750426502882827	14.16776132854731	0.0036426407199267	0.9922108515098708	-0.0001988669165846	2.390917503363056e-07	0.958441302838564	1.242328e-05	1.93995053566014e-08	2.9335496e-05	1.940855678833594e-07	1.3156894000000005e-05	1.6293948050448273e-07	1.6215226764510746	0.014599539400981	6.34077974465203	0.1493974408488988	12.737000498912655	0.0096272863482385	0.9815400030697654	0.5870536074400566	0.0021904929748952	137.2475349699932	0.9129082605804584	11.93161440251984	0.0006005428663895	0.912456686612176	-0.0001263610067317	7.687556217120598e-07	0.6430388161381143
Enode	1	3	KCl	1.036635356e-05	4.667760382738432e-08	6.111479281599999e-07	2.7807542624024257e-07	1.0363340999999998e-05	2.4628513060182173e-08	1.5400529000000002e-05	3.006357672424468e-08	1.2787939999999996e-05	1.906990600793604e-07	-1.518290490864637	0.0322969320002558	16.50089643210958	0.792847092226327	13.661941062965992	0.0375652196300079	0.981788283514542	1.4877710165786606	0.0024430611047	411.3416493274825	2.1455072802505084	12.00940461392448	0.0028397813136205	0.9797031247322096	-0.0001514479636874	4.05400971964713e-07	0.8230799619448262	1.0824557e-05	4.409559462867655e-08	2.840375900000001e-05	1.252685552254947e-07	1.1739854000000002e-05	1.639559299126913e-07	1.7367950761688664	0.0190335727603173	5.130870199908864	0.1260705920839374	11.390566795615255	0.0090602908278296	0.9756703146467924	0.6787824773121612	0.0031292286082574	100.04345097890598	0.7533575639940397	10.52150710390402	0.0006393905936617	0.8826672005883519	-7.099959344911217e-05	9.78671790929806e-07	0.2597619955607804
Enode	2	1	KCl	1.212114204e-05	4.027735465119252e-08	1.8863645480000007e-08	9.194139604015097e-08	1.2140265999999998e-05	2.0104294832375403e-08	1.5810968e-05	4.8397574611573634e-08	1.5976673999999998e-05	3.308040326296529e-07	-2.840200233983026	0.0070603941732478	9.094648198798478	0.0717708418877678	17.040223159927333	0.007601165590931	0.9986643268201888	2.5360957663707846	0.0024809224280916	476.55438916443256	1.3882416903809427	14.480073773794574	0.0030208649124835	0.9949072927879896	-0.0002232647177409	2.948875992568364e-07	0.950270687144042	1.2723451e-05	2.804518898585852e-08	3.0170554e-05	2.468916019534715e-07	1.343596e-05	1.864353507251241e-07	1.8435256584326416	0.0160958514222622	6.307701780790793	0.1435498786223691	12.955120515490531	0.0105267138644632	0.9826617700706854	0.6929781208991822	0.0017842926530864	169.26002607479305	0.8517283612741943	11.999242768059544	0.0006226414842256	0.9524331259543126	-0.0001110204524828	6.361234402450587e-07	0.6700656585593416
Enode	2	2	MgCl2	1.046666198e-05	3.9507622491445416e-08	-3.86340675e-07	5.249909365877381e-08	1.0354399e-05	2.4619428539593774e-08	1.3049242000000002e-05	2.006629003975544e-08	1.4230251000000004e-05	2.125661905208007e-07	-2.2361858168954982	0.0119255925350636	6.281598647127394	0.0870458150775606	14.791544753770207	0.0077482460623377	0.9934725179479538	2.8354594713763386	0.0028904701408996	552.3560985082438	1.5055084530012808	12.172097607667132	0.0035034226699712	0.9965141253734416	-0.0002411794596155	2.277408603860866e-07	0.9739486847232468	1.0493995e-05	2.2763861910732588e-08	2.6771189999999995e-05	2.377691264120461e-07	1.1723399e-05	2.1975333715534105e-07	2.4258419796670085	0.0221578214299525	5.646444159896746	0.1237232863295552	11.16285265994401	0.0121821887119826	0.9820724460829172	0.8968625528392523	0.0018354586958542	201.58824689478527	0.8940481903775025	9.976115169153598	0.0008117098517132	0.9665714066000508	-0.0001408716207138	6.420804829831338e-07	0.7624409920934114
Enode	2	3	MgCl2	1.0051322876e-05	4.590796790135661e-08	-1.0062451940000001e-07	6.689249032717176e-08	9.9855696e-06	4.6259672554925046e-08	1.5032284000000005e-05	4.02398709759563e-08	1.3622278e-05	1.475492402521609e-07	-1.5815774070688324	0.0089620448544257	5.186297705441103	0.0663735634500178	13.921215926503812	0.0043338134020849	0.9933386715597872	3.0344546980408555	0.0019478359854384	314.8089619099934	0.6057388092775285	10.846868727936718	0.0017200319635502	0.9959021953659172	-0.0001120841038757	4.938444901123073e-07	0.6319711144164382	1.0080813e-05	2.9567753575730893e-08	2.8926491e-05	1.1324893835879409e-07	1.2244821e-05	2.805944668147801e-07	3.01330684931064	0.0308433806130489	4.962968117828902	0.1114113612740628	11.65507044956834	0.0139915632367147	0.9790817577342222	0.927406941572186	0.00302236340044	208.95329247781896	1.5119564869191833	10.276142957882977	0.0014087900648935	0.9178455594589814	-0.0002430628412701	1.2688877367677276e-06	0.7098563450093012
Standard	1	1	KCl	7.155066226000001e-06	3.4421936612005235e-08	-3.151774204e-07	4.9351723361668674e-08	7.034183700000001e-06	3.032072130931541e-08	1.0818121e-05	4.4674231143723384e-08	9.7495315e-06	1.586416817696314e-07	-1.3582446150389174	0.0179169816098893	14.789831408434482	0.4816094986619258	10.478136474005415	0.0213123099821888	0.9897500020228458	1.8067290791411093	0.002530756164709	455.5725776849326	1.9500264551152733	8.342123686994578	0.0030590061288985	0.9882521075486532	-0.0001401602539948	2.521146854923697e-07	0.9115274419515104	7.1908233e-06	2.503227851770359e-08	2.0204666e-05	8.044249620666697e-08	8.2044599e-06	8.866139637441202e-08	0.7980213569110883	0.0068840098692535	8.776709696225616	0.2389458524051945	7.917191904661575	0.007160041506674	0.9835277182530802	0.6941794955997528	0.0020708297088654	503.3775532506325	4.310691286405678	7.165330941265422	0.0025280151770513	0.9611586344766172	-0.0001867709214292	6.447173745827089e-07	0.8483837009542978
Standard	1	2	MgCl2	1.2717712079999998e-05	4.50377968677747e-08	-2.167463562e-07	6.36329560180303e-08	1.2574792999999998e-05	3.102561748626522e-08	1.6255014999999997e-05	3.428222254796631e-08	2.0124321000000004e-05	1.64953029920029e-07	-2.203584820487193	0.0162306281152413	3.654414996566363	0.0502261303195159	20.379539889570843	0.0050004503519893	0.9904971898343466	4.183794336486512	0.0027524266645173	375.1819488077095	0.7887352474432769	16.012992177781125	0.0029924353860522	0.99615386349448	-0.0003355939112181	2.648627563274105e-07	0.9816571929736844	1.3334157999999995e-05	2.6536870405326504e-08	2.966248400000001e-05	1.1265885370077096e-07	1.4502283e-05	2.0413694059665341e-07	2.1082506551262967	0.0181773370992347	5.237259248803806	0.1026704678513345	14.065659647141883	0.0089183470012693	0.9846307508116926	1.012234204012501	0.0018104068967912	331.2752870763345	1.825164765355783	12.678459760882316	0.0017141474471005	0.9694106791058336	-0.0002015392365391	6.515919525733904e-07	0.8644753837647361
Standard	1	3	MgCl2	1.14911003e-05	5.8216623647922686e-08	-3.23624566e-07	5.978993502525538e-08	1.1286261999999998e-05	2.484944069854101e-08	1.4469971e-05	3.9009018110423815e-08	1.8009898e-05	1.307560478003356e-07	-1.836880311311736	0.014500132564996	3.063124794634321	0.0424425670929672	18.15185104349709	0.0037328100288831	0.9897307121351064	4.006242324958327	0.0031892823811419	372.9700797992062	0.9481982717533778	13.880255928103606	0.0034488582341851	0.994337159824768	-0.0002675840349067	2.569265282723962e-07	0.973088244558752	1.1353843999999998e-05	2.5425706072652568e-08	2.6472326e-05	1.4226729475025376e-07	1.2629274000000002e-05	1.8955025805119002e-07	1.90008254242861	0.015980858315159	5.6656422738741865	0.1145965155284347	12.19720023350144	0.0088319760622586	0.98473095794261	0.9699014832401354	0.0016695954486478	287.24933498649875	1.394513667555108	10.936167268882764	0.0012848571756277	0.9715017964431722	-0.000163337702503	7.418205939150504e-07	0.763734360659741
Standard	2	1	KCl	9.060240906e-06	3.229385888282008e-08	-3.916145286e-07	4.5084487462845975e-08	9.0293875e-06	2.6755177253168973e-08	1.2956271000000002e-05	5.603099484060851e-08	1.4076229e-05	2.0620479733370493e-07	-1.6556924610459829	0.0063323802960427	8.576508786047425	0.1029100127556652	14.659248785986088	0.0064258170655933	0.9966510266043892	3.3533776502684103	0.0030279359066759	373.92975986734297	1.0785661011237462	11.003137482597964	0.003282081265386	0.9927492155309884	-0.0001978011495585	3.665752842777242e-07	0.9065941746064756	9.0687295e-06	2.4531764787431317e-08	2.4028297e-05	1.376470552140181e-07	1.0246161e-05	1.1148671696482937e-07	1.0403626284523737	0.0098722086090453	9.456997354023958	0.2853354035432454	9.840532058804127	0.0109813924738834	0.9818692195402688	0.7882870028076506	0.0014619387896424	366.3966275179448	2.1644469310095182	8.979327955674904	0.0015544124776674	0.9694169655923116	-0.0001676095784828	6.640056531459474e-07	0.8094640957883867
