VGSmin [V]	VGSmin [V]	IDSmin [A]	IDSmin [A]	IDSmax [A]	IDSmax [A]	Ronoff	Ronoff	Res [ohm]	Res [ohm]	IDS(-0.6V) [A]	IDS(-0.6V) [A]	IDS(+0.6V) [A]	IDS(+0.6V) [A]	VGS min |gm| [V]	VGS min |gm| [V]	min |gm| [S]	min |gm| [S]	VGS min gm [V]	VGS min gm [V]	min gm [S]	min gm [S]	VGS max gm [V]	VGS max gm [V]	max gm [S]	max gm [S]
mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std
0.03	0.042426406871192854	4.32129e-06	1.5366095035557992e-06	8.70463e-06	1.828026592859086e-06	2.0700180582093375	0.3130506927138661	24539.213574587106	8552.501723930262	8.70463e-06	1.828026592859086e-06	7.0977199999999995e-06	2.42059197498835e-06	0.019999999999999997	0.0565685424949238	9.336250000000905e-08	1.3016068074692003e-07	-0.6	0.0	-2.3831174999999974e-05	1.387368253425349e-05	0.6	0.0	7.416849999999988e-06	1.0159003125307396e-06
0.01	0.042426406871192854	4.379215e-06	1.5740027243585065e-06	8.957289999999999e-06	1.7144369595292793e-06	2.111438506748688	0.36741128316573035	24292.844902153134	8616.712741282023	8.957289999999999e-06	1.7144369595292793e-06	7.077884999999999e-06	2.4048065232051407e-06	0.019999999999999997	0.0565685424949238	1.0762500000001407e-07	8.418106230027297e-08	-0.6	0.0	-4.885739999999998e-05	1.0955558914313729e-05	0.6	0.0	7.568899999999961e-06	1.1225320151336197e-06
0.01	0.042426406871192854	4.398735e-06	1.5905263956212732e-06	8.94004e-06	1.8125409543511018e-06	2.0948604517448564	0.3454151907973991	24228.028698538805	8681.182351218844	8.94004e-06	1.8125409543511018e-06	7.0543135e-06	2.3878663660482553e-06	0.01	0.042426406871192854	2.1619999999998623e-07	7.09935208311317e-08	-0.6	0.0	-4.8148324999999955e-05	8.91757110491694e-06	0.6	0.0	7.673499999999968e-06	1.1428966904318152e-06
0.019999999999999997	0.0565685424949238	4.4147785e-06	1.6029849099989993e-06	8.9486615e-06	1.8343318640269256e-06	2.089268542475684	0.343105340958147	24152.842499349033	8701.2245700915	8.9486615e-06	1.8343318640269256e-06	7.033536999999999e-06	2.3809982378825893e-06	0.01	0.042426406871192854	1.091249999999835e-07	3.705239533417967e-08	-0.6	0.0	-4.8432174999999965e-05	1.0088752066596252e-05	0.6	0.0	7.721274999999968e-06	1.2502708551549382e-06
0.019999999999999997	0.0565685424949238	4.4226885e-06	1.6102115413027259e-06	8.97327e-06	1.8673275877574348e-06	2.0906173652371325	0.3389360616727339	24119.23322812454	8701.062664712348	8.97327e-06	1.8673275877574348e-06	7.012988500000001e-06	2.3688197377902153e-06	0.02	0.0282842712474619	2.396249999999986e-07	1.2381439738577238e-07	-0.6	0.0	-4.919092499999999e-05	1.026637729003027e-05	0.6	0.0	7.694099999999986e-06	1.1925355864711336e-06
0.03	0.042426406871192854	4.42974e-06	1.619425849768368e-06	8.9902315e-06	1.8738874173665029e-06	2.0919881133505935	0.34176547851603173	24100.0266111289	8714.82888092718	8.9902315e-06	1.8738874173665029e-06	6.995619999999999e-06	2.364060202046047e-06	0.02	0.0282842712474619	1.034625000000041e-07	5.297997558039486e-08	-0.6	0.0	-4.939607499999996e-05	1.0920451062627855e-05	0.6	0.0	7.772999999999981e-06	1.2661454023926019e-06
0.03	0.042426406871192854	4.432445e-06	1.6256215193851243e-06	9.0035285e-06	1.9432305509703435e-06	2.0915498841638795	0.3286759225650679	24102.757693496394	8750.894380870677	9.0035285e-06	1.9432305509703435e-06	6.975845e-06	2.3568505413050694e-06	0.03	0.042426406871192854	9.161249999999508e-08	5.3086041597599465e-08	-0.6	0.0	-4.949374999999993e-05	8.848168574343492e-06	0.6	0.0	7.753599999999976e-06	1.2342548865610933e-06
0.03	0.042426406871192854	4.438768e-06	1.6358137565291468e-06	9.024863499999999e-06	1.939037407757905e-06	2.094958561424577	0.3352111726449618	24078.98825754472	8778.541459826047	9.024863499999999e-06	1.939037407757905e-06	6.957242999999999e-06	2.3522048497526737e-06	0.03	0.042426406871192854	5.9000000000014173e-08	5.0310647481415784e-08	-0.6	0.0	-4.983692499999996e-05	1.023102195097099e-05	0.6	0.0	7.793899999999986e-06	1.3242695798061535e-06
0.04	0.0282842712474619	4.43993e-06	1.6398612357446591e-06	9.0527515e-06	1.95715631191903e-06	2.1008274016345974	0.335119947163969	24060.261314362255	8780.094602406785	9.0527515e-06	1.95715631191903e-06	6.9398865e-06	2.3459872598257e-06	0.03	0.042426406871192854	1.3661250000000563e-07	8.762820785854458e-08	-0.6	0.0	-5.02814e-05	1.015108352935782e-05	0.6	0.0	7.762475000000004e-06	1.2178853645766286e-06
0.01	0.01414213562373095	4.432813e-06	1.6457910332116896e-06	9.06252e-06	1.9821334447508835e-06	2.106601725415792	0.3349775380749654	24072.587417501745	8774.456946654684	9.06252e-06	1.9821334447508835e-06	6.9246185e-06	2.3420812019664264e-06	0.03	0.042426406871192854	6.395000000002164e-08	4.376990975545221e-08	-0.6	0.0	-5.013964999999995e-05	9.544527332455941e-06	0.6	0.0	7.902750000000017e-06	1.288914240746839e-06
0.05	0.014142135623730945	4.434922e-06	1.638203777449558e-06	9.074575000000001e-06	1.9730046962057656e-06	2.1077983598928682	0.3337146716611284	24069.73018371573	8781.31108116184	9.074575000000001e-06	1.9730046962057656e-06	6.9072964999999995e-06	2.340287979169337e-06	0.04	0.0282842712474619	7.683749999999145e-08	9.18001378675304e-08	-0.6	0.0	-4.992759999999996e-05	1.098950003981072e-05	0.6	0.0	7.870074999999987e-06	1.3223957468360097e-06
0.04	0.0282842712474619	4.4402285e-06	1.6471889833180952e-06	9.1055265e-06	1.9955168547984e-06	2.112701855218453	0.3343301738082032	24058.403614197538	8808.391961895155	9.1055265e-06	1.9955168547984e-06	6.8926615e-06	2.3373534860274124e-06	0.04	0.0282842712474619	8.896249999998587e-08	1.1647816453095191e-07	-0.6	0.0	-5.065139999999995e-05	1.0587368413349985e-05	0.6	0.0	7.887924999999983e-06	1.344103925018422e-06
0.04	0.0282842712474619	4.444018e-06	1.655556177859876e-06	9.1186435e-06	2.003638683287108e-06	2.1146492008465025	0.33692074721136783	24039.374397010717	8831.671344294582	9.1186435e-06	2.003638683287108e-06	6.87342e-06	2.3332402458812507e-06	0.04	0.0282842712474619	6.371249999999486e-08	4.7535253365289615e-08	-0.6	0.0	-5.066149999999995e-05	1.0799429737027799e-05	0.59	0.014142135623730963	7.803462500000002e-06	1.1546523406690568e-06
0.05	0.042426406871192854	4.442562e-06	1.6550753452486684e-06	9.1497085e-06	2.0344756100146545e-06	2.121475268407937	0.3324040952680288	24046.13076563717	8833.105066945878	9.1497085e-06	2.0344756100146545e-06	6.86065e-06	2.330591423878926e-06	0.04	0.0282842712474619	7.150000000000092e-08	5.773526868388602e-08	-0.6	0.0	-5.137142499999994e-05	1.0137683855854361e-05	0.6	0.0	7.867500000000028e-06	1.3524831403755418e-06
0.04	0.0282842712474619	4.4391015e-06	1.6579129647615703e-06	9.1554435e-06	2.0384283369214864e-06	2.124901544317634	0.33440854691982225	24041.657265553822	8834.111656093122	9.1554435e-06	2.0384283369214864e-06	6.845192999999999e-06	2.3280925085142122e-06	0.04	0.0282842712474619	1.0333750000000214e-07	4.735847666994231e-08	-0.6	0.0	-5.086532499999994e-05	1.0406030879314654e-05	0.6	0.0	7.854974999999973e-06	1.345164585190216e-06
